 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 12.12.12 23:00 0.07 0.07 0.27 0.01 0.46 0.00 0.03 0.01
 -------- 00:00 0.10 0.10 0.31 0.01 0.43 0.00 0.04 0.02
 -------- 01:00 0.07 0.06 0.28 0.01 0.47 0.00 0.03 0.01
 -------- 02:00 0.08 0.08 0.28 0.02 0.46 0.00 0.04 0.01
 -------- 03:00 0.04 0.09 0.29 0.01 0.48 0.00 0.04 0.01
 13.12.12 04:00 0.03 0.10 0.28 0.02 0.51 0.00 0.04 0.01
 -------- 05:00 0.02 0.11 0.28 0.01 0.50 0.00 0.03 0.01
 -------- 06:00 0.03 0.11 0.30 0.02 0.50 0.00 0.05 0.01
 -------- 07:00 0.01 0.08 0.26 0.01 0.49 0.00 0.03 0.00
 -------- 08:00 0.01 0.12 0.25 0.01 0.48 0.00 0.04 0.00
 13.12.12 09:00 0.01 0.11 0.26 0.01 0.50 0.00 0.03 0.00
 -------- 10:00 0.01 0.09 0.29 0.01 0.48 0.00 0.03 0.00
 -------- 11:00 0.01 0.13 0.30 0.01 0.49 0.00 0.03 0.01
 -------- 12:00 0.01 0.07 0.27 0.02 0.48 0.00 0.04 0.01
 -------- 13:00 0.01 0.11 0.27 0.01 0.47 0.00 0.03 0.01
 13.12.12 14:00 0.01 0.11 0.26 0.01 0.46 0.00 0.05 0.01
 -------- 15:00 0.02 0.08 0.27 0.02 0.47 0.00 0.05 0.00
 -------- 16:00 0.02 0.12 0.27 0.00 0.47 0.00 0.05 0.01
 -------- 17:00 0.02 0.09 0.26 0.01 0.47 0.00 0.06 0.00
 -------- 18:00 0.02 0.10 0.26 0.01 0.46 0.00 0.04 0.01
 13.12.12 19:00 0.01 0.11 0.24 0.01 0.46 0.00 0.05 0.01
 -------- 20:00 0.01 0.09 0.25 0.01 0.47 0.00 0.03 0.00
 -------- 21:00 0.01 0.12 0.25 0.02 0.47 0.00 0.04 0.01
 -------- 22:00 0.01 0.10 0.24 0.01 0.48 0.00 0.03 0.00
 -------- 23:00 0.01 0.07 0.22 0.00 0.47 0.00 0.02 0.01
 14.12.12 00:00 0.01 0.05 0.19 0.02 0.46 0.00 0.02 0.01
 -------- 01:00 0.01 0.07 0.19 0.01 0.47 0.00 0.04 0.01
 -------- 02:00 0.01 0.08 0.15 0.02 0.47 0.00 0.04 0.01
 -------- 03:00 0.02 0.06 0.16 0.01 0.45 0.00 0.04 0.01
 -------- 04:00 0.02 0.07 0.16 0.01 0.45 0.00 0.05 0.01
 14.12.12 05:00 0.02 0.07 0.16 0.02 0.46 0.00 0.03 0.01
 -------- 06:00 0.02 0.09 0.21 0.02 0.47 0.00 0.03 0.01
 -------- 07:00 0.02 0.07 0.25 0.02 0.46 0.00 0.03 0.00
 -------- 08:00 0.02 0.05 0.24 0.01 0.47 0.00 0.01 0.00
 -------- 09:00 0.02 0.04 0.23 0.01 0.46 0.00 0.04 0.00
 14.12.12 10:00 0.02 0.05 0.25 0.02 0.46 0.00 0.05 0.00
 -------- 11:00 0.02 0.08 0.27 0.01 0.46 0.00 0.04 0.00
 -------- 12:00 0.02 0.05 0.26 0.01 0.46 0.00 0.01 0.00
 -------- 13:00 0.02 0.09 0.26 0.01 0.46 0.00 0.06 0.01
 -------- 14:00 0.02 0.05 0.29 0.01 0.46 0.00 0.04 0.01
 14.12.12 15:00 0.02 0.09 0.32 0.01 0.47 0.00 0.06 0.01
 -------- 16:00 0.02 0.14 0.33 0.01 0.47 0.00 0.05 0.01
 -------- 17:00 0.01 0.10 0.35 0.00 0.47 0.00 0.03 0.01
 -------- 18:00 0.01 0.08 0.33 0.01 0.47 0.00 0.04 0.00
 -------- 19:00 0.01 0.09 0.36 0.02 0.47 0.00 0.04 0.00
 14.12.12 20:00 0.01 0.08 0.33 0.01 0.49 0.00 0.04 0.01
 -------- 21:00 0.01 0.07 0.32 0.02 0.47 0.00 0.05 0.01
 -------- 22:00 0.01 0.05 0.35 0.00 0.48 0.00 0.04 0.01
