 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 22.03.13 00:00 0.01 0.07 ---- 0.27 0.06 0.47 0.00 0.04 0.01
 -------- 01:00 0.02 0.10 ---- 0.33 0.01 0.49 0.00 0.05 0.00
 -------- 02:00 0.02 0.09 ---- 0.29 0.01 0.49 0.00 0.05 0.01
 -------- 03:00 0.02 0.11 0.04 0.29 ---- 0.48 0.00 0.03 0.01
 -------- 04:00 0.02 0.16 0.08 0.47 0.05 0.50 0.00 0.02 0.02
 22.03.13 05:00 0.01 0.16 0.10 0.51 ---- 0.51 0.00 0.08 ----
 -------- 06:00 0.01 0.13 0.06 0.35 0.02 0.50 0.00 0.04 0.01
 -------- 07:00 0.01 0.13 0.02 0.33 0.02 0.49 0.00 0.05 0.01
 -------- 08:00 0.01 0.15 0.06 0.43 0.01 0.49 0.00 0.06 0.01
 -------- 09:00 0.02 0.16 0.17 0.45 ---- 0.50 0.00 0.06 0.01
 22.03.13 10:00 0.02 0.14 0.12 0.45 0.02 0.50 0.00 0.05 0.01
 -------- 11:00 0.02 0.15 0.17 0.49 0.02 0.51 0.00 ---- 0.00
 -------- 12:00 0.01 0.10 0.08 0.36 0.02 0.50 0.00 0.05 0.00
 -------- 13:00 0.01 0.07 0.06 0.23 0.00 0.48 0.00 0.05 0.00
 -------- 14:00 0.01 0.07 ---- 0.21 0.01 0.48 0.00 0.02 0.00
 22.03.13 15:00 0.01 0.09 ---- 0.23 0.01 0.48 0.00 0.04 0.01
 -------- 16:00 0.01 0.07 0.02 0.21 0.01 0.49 0.00 0.04 0.01
 -------- 17:00 0.01 0.10 0.03 0.30 0.00 0.49 0.00 0.03 0.01
 -------- 18:00 0.01 0.11 0.06 0.32 0.01 0.50 0.00 0.04 ----
 -------- 19:00 0.01 0.14 0.03 0.32 0.02 0.50 0.00 0.12 ----
 22.03.13 20:00 0.01 0.11 0.01 0.27 ---- 0.49 0.00 0.03 ----
 -------- 21:00 0.01 0.13 0.01 0.25 0.05 0.50 0.00 0.05 0.04
 -------- 22:00 0.00 0.14 ---- 0.24 0.04 0.50 0.00 0.04 0.01
 -------- 23:00 0.01 0.14 0.01 0.20 0.02 0.51 0.00 0.02 0.01
 -------- 00:00 0.01 0.14 0.02 0.24 0.04 0.49 0.00 0.08 0.01
 23.03.13 01:00 0.02 0.14 ---- 0.23 ---- 0.49 0.00 0.06 0.02
 -------- 02:00 0.02 0.16 0.01 0.28 0.05 0.50 0.00 0.11 0.04
 -------- 03:00 0.01 0.14 ---- 0.26 0.03 0.49 0.00 0.05 0.01
 -------- 04:00 0.01 0.10 0.00 0.17 0.03 0.48 0.00 0.05 0.01
 -------- 05:00 0.02 0.08 0.01 0.15 0.01 0.48 0.00 0.05 0.01
 23.03.13 06:00 0.02 0.11 ---- 0.17 0.02 0.50 0.00 0.03 0.01
 -------- 07:00 0.02 0.12 ---- 0.22 0.02 0.48 0.00 0.04 ----
 -------- 08:00 0.02 0.14 ---- 0.25 0.02 0.49 0.00 0.05 0.01
 -------- 09:00 0.02 0.12 ---- 0.23 0.04 0.49 0.00 0.08 0.00
 -------- 10:00 0.02 0.10 ---- 0.25 0.01 0.49 0.00 0.07 0.01
 23.03.13 11:00 0.01 0.07 0.01 0.17 0.04 0.47 0.00 0.03 0.01
 -------- 12:00 0.01 0.04 ---- 0.12 ---- 0.48 0.00 0.05 0.02
 -------- 13:00 0.01 0.04 ---- 0.10 0.03 0.48 0.00 0.06 ----
 -------- 14:00 0.01 0.02 ---- 0.13 ---- 0.48 0.00 0.01 ----
 -------- 15:00 0.01 0.05 ---- 0.17 ---- 0.48 0.00 0.06 ----
 23.03.13 16:00 0.01 0.04 ---- 0.16 0.05 0.47 0.00 0.01 0.02
 -------- 17:00 0.01 0.07 ---- 0.21 0.06 0.48 0.00 0.09 0.02
 -------- 18:00 0.01 0.07 ---- 0.21 ---- 0.48 0.00 0.04 ----
 -------- 19:00 0.01 0.07 ---- 0.22 ---- 0.48 0.00 0.06 ----
 -------- 20:00 0.01 0.06 0.02 0.17 ---- 0.49 0.00 0.03 ----
 23.03.13 21:00 0.01 0.06 ---- 0.18 ---- 0.47 0.00 ---- ----
 -------- 22:00 0.01 0.05 0.01 0.17 ---- 0.47 0.00 ---- ----
 -------- 23:00 0.01 0.06 0.01 0.19 ---- 0.48 0.00 ---- ----
