 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 04.12.12 00:00 0.01 0.20 0.16 0.01 0.49 0.00 0.05 0.00
 -------- 01:00 0.01 0.17 0.17 0.02 0.50 0.00 0.06 0.00
 -------- 02:00 0.01 0.11 0.12 0.01 0.50 0.00 0.04 0.00
 -------- 03:00 0.00 0.10 0.12 0.02 0.50 0.00 0.04 0.01
 -------- 04:00 0.01 0.06 0.13 0.02 0.50 0.00 0.07 0.01
 04.12.12 05:00 0.00 0.11 0.12 0.02 0.50 0.00 0.07 0.00
 -------- 06:00 0.01 0.12 0.15 0.01 0.50 0.00 0.08 0.01
 -------- 07:00 0.01 0.13 0.17 0.02 0.52 0.00 0.06 0.00
 -------- 08:00 0.01 0.12 0.19 0.01 0.52 0.00 0.04 0.01
 -------- 09:00 0.01 0.11 0.20 0.02 0.53 0.00 0.02 0.01
 04.12.12 10:00 0.01 0.10 0.21 0.00 0.53 0.00 0.05 0.01
 -------- 11:00 0.01 0.14 0.21 0.00 0.52 0.00 0.03 0.00
 -------- 12:00 0.02 0.19 0.20 0.01 0.53 0.00 0.04 0.02
 -------- 13:00 0.04 0.13 0.24 0.00 0.51 0.00 0.06 0.01
 -------- 14:00 0.01 0.15 0.25 0.01 0.53 0.00 0.03 0.00
 04.12.12 15:00 0.01 0.12 0.19 0.01 0.51 0.00 0.03 0.01
 -------- 16:00 0.01 0.09 0.13 0.02 0.51 0.00 0.05 0.01
 -------- 17:00 0.01 0.16 0.13 0.01 0.52 0.00 0.02 0.01
 -------- 18:00 0.01 0.12 0.17 0.01 0.53 0.00 0.05 0.01
 -------- 19:00 0.00 0.12 0.12 0.01 0.50 0.00 0.03 0.01
 04.12.12 20:00 0.01 0.12 0.12 0.00 0.50 0.00 0.02 0.01
 -------- 21:00 0.00 0.09 0.11 0.01 0.50 0.00 0.02 0.01
 -------- 22:00 0.01 0.12 0.10 0.02 0.50 0.00 0.03 0.01
 -------- 23:00 0.01 0.07 0.09 0.01 0.49 0.00 0.02 0.01
 -------- 00:00 0.01 0.08 0.08 0.01 0.49 0.00 0.04 0.00
 05.12.12 01:00 0.00 0.09 0.06 0.01 0.49 0.00 0.03 0.01
 -------- 02:00 0.00 0.06 0.09 0.02 0.50 0.00 0.04 0.00
 -------- 03:00 0.00 0.07 0.07 0.01 0.49 0.00 0.04 0.01
 -------- 04:00 0.00 0.06 0.05 0.01 0.49 0.00 0.04 0.01
 -------- 05:00 0.00 0.06 0.06 0.01 0.49 0.00 0.02 0.00
 05.12.12 06:00 0.01 0.07 0.11 0.01 0.50 0.00 0.03 0.00
 -------- 07:00 0.00 0.04 0.12 0.02 0.49 0.00 0.05 0.00
 -------- 08:00 0.01 0.06 0.14 0.01 0.50 0.00 0.03 0.01
 -------- 09:00 0.01 0.10 0.24 0.01 0.51 0.00 0.03 0.01
 -------- 10:00 0.01 0.12 0.24 0.01 0.51 0.00 0.04 0.01
 05.12.12 11:00 0.01 0.15 0.19 0.01 0.50 0.00 0.04 0.00
 -------- 12:00 0.01 0.16 0.25 0.02 0.50 0.00 0.05 0.01
 -------- 13:00 0.01 0.14 0.21 0.02 0.50 0.00 0.05 0.01
 -------- 14:00 0.01 0.16 0.19 0.01 0.50 0.00 0.03 0.01
 -------- 15:00 0.01 0.20 0.23 0.01 0.50 0.00 0.03 0.01
 05.12.12 16:00 0.01 0.21 0.30 0.01 0.51 0.00 0.03 0.00
 -------- 17:00 0.01 0.24 0.37 0.01 0.51 0.00 0.06 0.01
 -------- 18:00 0.01 0.16 0.32 0.01 0.50 0.00 0.04 0.01
 -------- 19:00 0.01 0.17 0.32 0.01 0.50 0.00 0.04 0.01
 -------- 20:00 0.01 0.24 0.35 0.00 0.52 0.00 0.04 0.01
 05.12.12 21:00 0.01 0.16 0.29 0.01 0.51 0.00 0.05 0.00
 -------- 22:00 0.01 0.17 0.32 0.01 0.50 0.00 0.05 0.00
 -------- 23:00 0.00 0.16 0.28 0.01 0.50 0.00 0.03 0.01
