 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 10.12.12 23:00 0.01 0.12 0.15 0.02 0.49 0.00 0.06 0.00
 -------- 00:00 0.01 0.10 0.19 0.00 0.49 0.00 0.04 0.01
 -------- 01:00 0.01 0.09 0.13 0.02 0.49 0.00 0.05 0.01
 -------- 02:00 0.01 0.12 0.13 0.01 0.49 0.00 0.04 0.01
 -------- 03:00 0.01 0.08 0.13 0.01 0.48 0.00 0.07 0.00
 11.12.12 04:00 0.01 0.10 0.12 0.01 0.48 0.00 0.05 0.01
 -------- 05:00 0.01 0.12 0.13 0.01 0.47 0.00 0.04 0.01
 -------- 06:00 0.01 0.10 0.18 0.01 0.48 0.00 0.05 0.00
 -------- 07:00 0.01 0.15 0.18 0.01 0.48 0.00 0.03 0.01
 -------- 08:00 0.01 0.13 0.18 0.01 0.48 0.00 0.05 0.01
 11.12.12 09:00 0.01 0.14 0.21 0.01 0.49 0.00 0.05 0.01
 -------- 10:00 0.01 0.16 0.21 0.01 0.49 0.00 0.04 0.01
 -------- 11:00 0.01 0.13 0.23 0.02 0.49 0.00 0.03 0.01
 -------- 12:00 0.01 0.17 0.27 0.01 0.49 0.00 0.04 0.00
 -------- 13:00 0.01 0.19 0.28 0.01 0.50 0.00 0.01 0.01
 11.12.12 14:00 0.00 0.13 0.24 0.01 0.49 0.00 0.04 0.01
 -------- 15:00 0.01 0.17 0.28 0.02 0.50 0.00 0.05 0.01
 -------- 16:00 0.01 0.12 0.35 0.01 0.50 0.00 0.05 0.01
 -------- 17:00 0.01 0.15 0.32 0.02 0.49 0.00 0.01 0.00
 -------- 18:00 0.01 0.14 0.30 ---- 0.51 0.00 0.05 0.00
 11.12.12 20:00 0.04 ---- ---- 0.04 1.39 0.00 ---- 0.01
 -------- 21:00 0.02 0.15 0.26 0.01 0.49 0.00 0.03 0.01
 -------- 22:00 0.02 0.15 0.27 0.01 0.50 0.00 0.06 0.01
 -------- 23:00 0.02 0.12 0.27 0.01 0.50 0.00 0.02 0.00
 -------- 00:00 0.02 0.12 0.27 0.02 0.49 0.00 0.07 0.01
 12.12.12 01:00 0.02 0.13 0.27 0.01 0.49 0.00 0.04 0.00
 -------- 02:00 0.02 0.09 0.28 0.01 0.49 0.00 0.02 0.01
 -------- 03:00 0.02 0.11 0.28 0.02 0.49 0.00 0.04 0.00
 -------- 04:00 0.02 0.12 0.25 0.01 0.48 0.00 0.03 0.01
 -------- 05:00 0.02 0.18 0.26 0.01 0.49 0.00 0.06 0.01
 12.12.12 06:00 0.02 0.12 0.30 0.01 0.49 0.00 0.05 0.01
 -------- 07:00 0.02 0.15 0.30 0.01 0.50 0.00 0.05 0.01
 -------- 08:00 0.02 0.17 0.30 0.01 0.49 0.00 0.05 0.00
 -------- 09:00 0.02 0.14 0.30 0.02 0.48 0.00 0.05 0.01
 -------- 10:00 0.02 0.13 0.30 0.02 0.49 0.00 0.03 0.01
 12.12.12 11:00 0.02 0.15 0.25 0.01 0.49 0.00 0.04 0.01
 -------- 12:00 0.02 0.21 0.25 0.01 0.47 0.00 0.04 0.00
 -------- 13:00 0.02 0.17 0.23 0.01 0.47 0.00 0.05 0.01
 -------- 14:00 0.02 0.16 0.25 0.01 0.48 0.00 0.03 0.01
 -------- 15:00 0.03 0.21 0.28 0.01 0.49 0.00 0.05 0.00
 12.12.12 16:00 0.19 0.26 0.35 0.01 0.41 0.00 0.03 0.01
 -------- 17:00 0.22 0.19 0.37 0.02 0.40 0.00 0.03 0.01
 -------- 18:00 0.05 0.16 0.35 0.01 0.49 0.00 0.06 0.01
 -------- 19:00 0.08 0.18 0.35 0.01 0.48 0.00 0.04 0.01
 -------- 20:00 0.06 0.09 0.31 0.01 0.48 0.00 0.06 0.01
 12.12.12 21:00 0.10 0.10 0.32 0.02 0.47 0.00 0.06 0.00
 -------- 22:00 0.09 0.10 0.31 0.02 0.47 0.00 0.05 0.01
