 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 23.01.13 12:00 0.01 0.18 0.18 0.42 0.01 0.52 0.00 0.05 0.01
 -------- 13:00 0.01 0.16 0.22 0.36 0.02 0.51 0.00 0.04 0.00
 -------- 14:00 0.01 0.14 0.08 0.30 0.01 0.50 0.00 0.04 0.00
 -------- 15:00 0.01 0.15 0.07 0.30 0.02 0.49 0.00 0.05 0.00
 -------- 16:00 0.00 0.15 0.03 0.30 0.03 0.49 0.00 0.04 0.01
 23.01.13 17:00 0.01 0.18 0.11 0.36 0.02 0.51 0.00 0.03 0.01
 -------- 18:00 0.00 0.19 0.13 0.44 0.02 0.51 0.00 0.06 0.01
 -------- 19:00 0.01 0.18 0.13 0.44 0.01 0.51 0.00 0.01 0.01
 -------- 20:00 0.01 0.19 0.14 0.43 0.01 0.51 0.00 0.03 0.01
 -------- 21:00 0.01 0.20 0.11 0.43 0.02 0.51 0.00 0.03 0.01
 23.01.13 22:00 0.01 0.18 0.12 0.41 0.03 0.52 0.00 0.03 0.01
 -------- 23:00 0.01 0.18 0.14 0.40 0.02 0.51 0.00 0.03 0.01
 -------- 00:00 0.01 0.20 0.14 0.41 0.01 0.53 0.00 0.03 0.01
 -------- 01:00 0.01 0.20 0.16 0.43 0.02 0.52 0.00 0.03 0.01
 -------- 02:00 0.01 0.21 0.13 0.40 0.01 0.53 0.00 0.05 0.00
 24.01.13 03:00 0.01 0.20 0.14 0.44 0.01 0.53 0.00 0.05 0.00
 -------- 04:00 0.01 0.18 0.16 0.44 0.02 0.52 0.00 0.05 0.01
 -------- 05:00 0.01 0.20 0.14 0.45 0.01 0.53 0.00 0.03 0.01
 -------- 06:00 0.01 0.18 0.15 0.46 0.02 0.53 0.00 0.03 0.00
 -------- 07:00 0.01 0.19 0.11 0.45 0.02 0.52 0.00 0.03 0.01
 24.01.13 08:00 0.01 0.21 0.14 0.41 0.02 0.53 0.00 0.02 0.01
 -------- 09:00 0.01 0.21 0.16 0.47 0.02 0.53 0.00 0.04 0.01
 -------- 10:00 0.01 0.20 0.16 0.45 0.02 0.54 0.00 0.04 0.01
 -------- 11:00 0.01 0.21 0.15 0.44 0.02 0.53 0.00 0.06 0.01
 -------- 12:00 0.01 0.21 0.18 0.37 0.01 0.53 0.00 0.03 0.01
 24.01.13 13:00 0.01 0.20 0.17 0.40 0.01 0.53 0.00 0.06 0.01
 -------- 14:00 0.01 0.17 0.11 0.37 0.03 0.52 0.00 0.06 0.01
 -------- 15:00 0.01 0.20 0.15 0.35 0.02 0.54 0.00 0.04 0.01
 -------- 16:00 0.01 0.16 0.06 0.29 0.01 0.52 0.00 ---- 0.00
 -------- 17:00 0.00 0.16 0.06 0.32 0.01 0.52 0.00 0.03 0.01
 24.01.13 18:00 0.00 0.14 0.04 0.25 0.00 0.51 0.00 0.02 0.01
 -------- 19:00 0.00 0.12 0.01 0.20 0.01 0.50 0.00 0.04 0.01
 -------- 20:00 0.01 0.13 0.02 0.22 0.02 0.50 0.00 0.06 0.01
 -------- 21:00 0.00 0.14 0.01 0.27 0.01 0.51 0.00 0.04 0.01
 -------- 22:00 0.00 0.15 0.01 0.25 0.01 0.51 0.00 0.03 0.01
 24.01.13 23:00 0.00 0.12 ---- 0.19 0.02 0.49 0.00 0.05 0.01
 -------- 00:00 0.00 0.11 ---- 0.15 0.02 0.50 0.00 0.03 0.01
 -------- 01:00 0.00 0.14 0.02 0.22 0.01 0.49 0.00 0.05 0.00
 -------- 02:00 0.00 0.12 0.02 0.19 0.02 0.49 0.00 0.03 0.01
 -------- 03:00 0.01 0.13 ---- 0.19 0.01 0.50 0.00 0.04 0.01
 25.01.13 04:00 0.01 0.13 0.04 0.18 0.02 0.50 0.00 0.03 0.01
 -------- 05:00 0.00 0.11 0.01 0.14 0.01 0.49 0.00 0.05 0.01
 -------- 06:00 0.00 0.13 0.01 0.19 0.01 0.50 0.00 0.05 0.01
 -------- 07:00 0.00 0.16 0.04 0.24 0.01 0.52 0.00 0.05 0.01
 -------- 08:00 0.01 0.19 0.08 0.34 0.01 0.53 0.00 0.03 0.01
 25.01.13 09:00 0.01 0.18 0.09 0.32 0.01 0.52 0.00 0.04 0.00
 -------- 10:00 0.01 0.17 0.06 0.29 0.01 0.51 0.00 0.03 0.00
 -------- 11:00 0.00 0.17 0.07 0.27 0.01 0.50 0.00 0.07 0.01
