 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 30.09.12 12:00 0.00 0.26 0.14 0.01 0.50 0.00 0.03
 -------- 13:00 ---- 0.14 0.15 0.02 0.50 0.00 0.03
 -------- 14:00 0.00 0.10 0.15 0.02 0.50 0.00 0.03
 -------- 15:00 0.00 0.10 0.14 0.02 0.50 0.00 0.05
 -------- 16:00 0.00 0.16 0.14 0.01 0.50 0.00 0.05
 30.09.12 17:00 0.00 0.22 0.24 0.02 0.47 0.00 0.04
 -------- 18:00 0.00 0.23 0.29 0.02 0.50 0.00 0.04
 -------- 19:00 0.01 0.19 0.28 0.01 0.50 0.00 0.05
 -------- 20:00 0.01 0.22 0.30 0.02 0.50 0.00 0.03
 -------- 21:00 0.00 0.24 0.23 0.02 0.50 0.00 0.04
 30.09.12 22:00 ---- 0.18 0.15 0.02 0.50 0.00 0.04
 -------- 23:00 ---- 0.19 0.10 0.01 0.50 0.00 0.03
 -------- 00:00 0.00 0.23 0.07 0.01 0.50 0.00 0.03
 -------- 01:00 ---- 0.19 0.04 0.02 0.47 0.00 0.03
 -------- 02:00 ---- 0.20 0.02 0.01 0.50 0.00 0.04
 01.10.12 03:00 ---- 0.21 0.02 0.01 0.43 0.00 0.05
 -------- 04:00 ---- 0.21 0.02 0.01 0.43 0.00 0.03
 -------- 05:00 ---- 0.21 0.02 0.02 0.43 0.00 0.04
 -------- 06:00 0.00 0.23 0.06 0.01 0.50 0.00 0.04
 -------- 07:00 0.00 0.27 0.10 0.01 0.50 0.00 0.03
 01.10.12 08:00 0.00 0.26 0.13 0.01 0.50 0.00 0.04
 -------- 09:00 0.00 0.26 0.15 0.02 0.53 0.00 0.04
 -------- 10:00 0.00 0.24 0.13 0.02 0.50 0.00 0.05
 -------- 11:00 0.00 0.17 0.12 0.02 0.50 0.00 0.03
 -------- 12:00 0.00 0.16 0.10 0.01 0.50 0.00 0.03
 01.10.12 13:00 0.00 0.17 0.10 0.01 0.47 0.00 0.03
 -------- 14:00 0.00 0.14 0.13 0.01 0.50 0.00 0.05
 -------- 15:00 0.00 0.20 0.14 0.01 0.50 0.00 0.05
 -------- 16:00 0.00 0.19 0.16 0.02 0.50 0.00 0.03
 -------- 17:00 0.00 0.19 0.18 0.01 0.50 0.00 0.04
 01.10.12 18:00 0.00 0.24 0.19 0.01 0.50 0.00 0.04
 -------- 19:00 0.00 0.26 0.19 0.01 0.50 0.00 0.05
 -------- 20:00 0.00 0.30 0.27 0.01 0.50 0.00 0.05
 -------- 21:00 0.00 0.31 0.30 0.01 0.50 0.00 0.05
 -------- 22:00 0.01 0.34 0.32 0.02 0.50 0.00 0.03
 01.10.12 23:00 0.01 0.38 0.30 0.01 0.50 0.00 0.05
 -------- 00:00 0.01 0.39 0.32 0.02 0.50 0.00 0.03
 -------- 01:00 0.01 0.41 0.29 0.01 0.50 0.00 0.04
 -------- 02:00 0.01 0.38 0.27 0.02 0.50 0.00 0.04
 -------- 03:00 0.01 0.36 0.22 0.01 0.50 0.00 0.03
 02.10.12 04:00 0.01 0.37 0.21 0.02 0.50 0.00 0.03
 -------- 05:00 0.01 0.38 0.22 0.02 0.50 0.00 0.03
 -------- 06:00 0.00 0.38 0.25 0.01 0.50 0.00 0.03
 -------- 07:00 0.01 0.46 0.26 0.02 0.50 0.00 0.03
 -------- 08:00 0.01 0.49 0.26 0.02 0.50 0.00 0.03
 02.10.12 09:00 0.01 0.41 0.29 0.02 0.50 0.00 0.03
 -------- 10:00 0.01 0.37 0.28 0.01 0.50 0.00 0.04
 -------- 11:00 0.01 0.30 0.29 0.01 0.50 0.00 0.05
