 Date Time CO OZ NO2 CHX NO
 04.02.13 00:00 0.06 0.12 0.05 1.51 ----
 -------- 01:00 0.06 0.13 0.04 1.49 ----
 -------- 02:00 0.06 0.15 0.01 1.48 ----
 -------- 03:00 0.06 0.14 0.01 1.48 ----
 -------- 04:00 0.06 0.11 0.02 1.49 ----
 04.02.13 05:00 0.06 0.08 0.04 1.50 ----
 -------- 06:00 0.11 0.02 0.09 1.58 0.05
 -------- 07:00 0.17 ---- 0.12 1.64 0.16
 -------- 08:00 0.26 ---- 0.14 2.15 0.30
 -------- 09:00 0.25 ---- 0.16 2.20 0.29
 04.02.13 10:00 0.20 ---- 0.15 1.69 0.18
 -------- 11:00 0.23 ---- 0.16 1.90 0.24
 -------- 12:00 0.17 ---- 0.14 1.92 0.16
 -------- 13:00 0.12 0.02 0.11 1.67 0.09
 -------- 14:00 0.09 0.04 0.07 1.56 0.03
 04.02.13 15:00 0.10 0.06 0.07 1.51 0.02
 -------- 16:00 0.07 0.07 0.05 1.52 0.01
 -------- 17:00 0.06 0.09 0.03 1.53 0.01
 -------- 18:00 0.06 0.12 0.01 1.49 0.01
 -------- 19:00 0.06 0.14 ---- 1.46 0.00
 04.02.13 20:00 0.04 0.19 ---- 1.45 ----
 -------- 21:00 0.05 0.19 0.02 1.46 0.01
 -------- 22:00 0.05 0.14 0.02 1.48 0.01
 -------- 23:00 0.06 0.12 0.02 1.49 0.01
 -------- 00:00 0.04 0.16 ---- 1.47 0.00
 05.02.13 01:00 0.04 0.19 ---- 1.45 0.00
 -------- 02:00 0.04 0.24 ---- 1.44 ----
 -------- 03:00 0.04 0.26 ---- 1.43 ----
 -------- 04:00 0.04 0.18 ---- 1.43 ----
 -------- 05:00 0.04 0.25 ---- 1.43 ----
 05.02.13 06:00 0.05 0.26 ---- 1.43 ----
 -------- 07:00 0.06 0.28 ---- 1.44 ----
 -------- 08:00 0.07 0.23 0.02 1.47 ----
 -------- 09:00 0.08 0.12 0.09 1.52 0.01
 -------- 10:00 0.09 0.06 0.15 1.54 0.04
 05.02.13 11:00 0.09 0.06 0.15 1.54 0.05
 -------- 12:00 0.08 0.10 0.11 1.52 0.04
 -------- 13:00 0.08 0.12 0.08 1.52 0.04
 -------- 14:00 0.08 0.13 0.05 1.51 0.03
 -------- 15:00 0.08 0.08 0.10 1.54 0.05
 05.02.13 16:00 0.09 0.09 0.10 1.52 0.03
 -------- 17:00 0.09 0.06 0.14 1.64 0.03
 -------- 18:00 0.08 0.06 0.14 1.68 0.02
