 Date Time CO OZ NO2 CHX NO
 17.03.13 00:00 0.05 0.33 0.04 1.49 0.03
 -------- 01:00 0.04 0.31 0.05 1.51 0.03
 -------- 02:00 0.04 0.32 0.05 1.48 0.03
 -------- 03:00 0.04 0.36 0.03 1.48 0.03
 -------- 04:00 0.04 0.36 0.03 1.46 0.03
 17.03.13 05:00 0.04 0.36 0.02 1.46 0.03
 -------- 06:00 0.04 0.33 0.04 1.47 0.03
 -------- 07:00 0.04 0.33 0.04 1.47 0.04
 -------- 08:00 0.04 0.31 0.06 1.47 0.04
 -------- 09:00 0.04 0.33 0.04 1.47 0.04
 17.03.13 10:00 0.04 0.33 0.04 1.47 0.05
 -------- 11:00 0.05 0.32 0.04 1.48 0.06
 -------- 12:00 0.04 0.35 0.03 1.48 0.05
 -------- 13:00 0.04 0.37 0.02 1.46 0.05
 -------- 14:00 0.05 0.36 0.02 1.46 0.05
 17.03.13 15:00 0.05 0.41 0.01 1.45 0.04
 -------- 16:00 0.05 0.42 0.01 1.45 0.04
 -------- 17:00 0.06 0.38 0.02 1.46 0.04
 -------- 18:00 0.06 0.34 0.05 1.48 0.04
 -------- 19:00 0.06 0.33 0.06 1.48 0.04
 17.03.13 20:00 0.06 0.24 0.12 1.50 0.04
 -------- 21:00 0.08 0.12 0.19 1.54 0.05
 -------- 22:00 0.08 0.11 0.21 1.52 0.05
 -------- 23:00 0.08 0.11 0.20 1.54 0.05
 -------- 00:00 0.11 0.08 0.24 1.67 0.11
 18.03.13 01:00 0.13 0.01 0.28 1.72 0.08
 -------- 02:00 0.11 0.01 0.27 1.73 0.14
 -------- 03:00 0.11 ---- 0.28 1.77 0.12
 -------- 04:00 0.08 0.02 0.25 1.75 0.06
 -------- 05:00 0.06 0.05 0.21 1.66 0.05
 18.03.13 06:00 0.07 0.03 0.24 1.63 0.06
 -------- 07:00 0.10 0.02 0.24 1.62 0.09
 -------- 08:00 0.14 0.02 0.25 1.66 0.14
 -------- 09:00 0.16 0.04 0.24 1.69 0.18
 -------- 10:00 0.17 0.06 0.24 1.74 0.22
 18.03.13 11:00 0.15 0.10 0.22 1.68 0.18
 -------- 12:00 0.13 0.11 0.21 1.66 0.15
 -------- 13:00 0.11 0.15 0.18 1.61 0.13
 -------- 14:00 0.10 0.15 0.18 1.59 0.11
 -------- 15:00 0.08 0.20 0.15 1.56 0.08
 18.03.13 16:00 0.08 0.16 0.15 1.58 0.08
 -------- 17:00 0.08 0.11 0.15 1.56 0.07
 -------- 18:00 0.08 0.10 0.14 1.57 0.07
 -------- 19:00 0.08 0.09 0.15 1.58 0.07
 -------- 20:00 0.08 0.11 0.13 1.55 0.06
 18.03.13 21:00 0.06 0.19 0.07 1.52 0.05
 -------- 22:00 0.06 0.18 0.09 1.51 0.05
 -------- 23:00 0.06 0.16 0.10 1.51 0.05
