 Date Time CO OZ NO2 CHX NO
 21.10.12 00:00 0.07 0.07 0.07 1.51 ----
 -------- 01:00 0.07 0.09 0.06 1.49 ----
 -------- 02:00 0.06 0.11 0.03 1.45 ----
 -------- 03:00 0.06 0.11 0.03 1.44 ----
 -------- 04:00 0.06 0.10 0.03 1.45 ----
 21.10.12 05:00 0.06 0.09 0.05 1.47 ----
 -------- 06:00 0.06 0.09 0.07 1.46 ----
 -------- 07:00 0.05 0.21 0.03 1.42 ----
 -------- 08:00 0.06 0.23 0.04 1.42 ----
 -------- 09:00 0.06 0.16 0.06 1.43 ----
 21.10.12 10:00 0.06 0.20 0.04 1.43 0.00
 -------- 11:00 0.06 0.21 0.03 1.44 ----
 -------- 12:00 0.06 0.23 0.04 1.45 0.00
 -------- 13:00 0.06 0.23 0.05 1.44 0.00
 -------- 14:00 0.06 0.23 0.05 1.45 0.00
 21.10.12 15:00 0.06 0.26 0.04 1.45 0.00
 -------- 16:00 0.07 0.14 0.06 1.50 0.00
 -------- 17:00 0.08 0.14 0.09 1.49 0.00
 -------- 18:00 0.09 0.06 0.14 1.51 0.01
 -------- 19:00 0.09 0.07 0.12 1.51 0.01
 21.10.12 20:00 0.08 0.13 0.05 1.47 0.00
 -------- 21:00 0.07 0.12 0.04 1.45 ----
 -------- 22:00 0.07 0.15 0.03 1.45 ----
 -------- 23:00 0.07 0.15 0.04 1.45 0.00
 -------- 00:00 0.06 0.17 0.03 1.43 ----
 22.10.12 01:00 0.06 0.21 0.02 1.43 ----
 -------- 02:00 0.06 0.21 0.02 1.44 ----
 -------- 03:00 0.06 0.20 0.03 1.45 ----
 -------- 04:00 0.06 0.15 0.02 1.44 ----
 -------- 05:00 0.06 0.10 0.03 1.45 ----
 22.10.12 06:00 0.07 0.05 0.07 1.47 ----
 -------- 07:00 0.09 0.02 0.10 1.50 0.01
 -------- 08:00 0.10 0.01 0.11 1.51 0.02
 -------- 09:00 0.09 0.01 0.10 1.51 0.02
 -------- 10:00 0.09 0.01 0.10 1.58 0.05
 22.10.12 11:00 0.09 0.01 0.08 1.53 0.06
 -------- 12:00 0.09 0.01 0.07 1.48 0.04
 -------- 13:00 0.07 0.01 0.06 1.45 0.03
 -------- 14:00 0.07 0.03 0.05 1.43 0.02
 -------- 15:00 0.07 0.09 0.09 1.42 0.01
 22.10.12 16:00 0.07 0.10 0.11 1.42 0.01
 -------- 17:00 0.06 0.15 0.09 1.40 0.00
 -------- 18:00 0.06 0.15 0.10 1.41 0.00
 -------- 19:00 0.06 0.13 0.12 1.41 0.00
 -------- 20:00 0.05 0.19 0.07 1.41 ----
 22.10.12 21:00 0.06 0.12 0.12 1.43 0.00
 -------- 22:00 0.05 0.13 0.10 1.42 0.00
 -------- 23:00 0.04 0.18 0.06 1.41 ----
