 Date Time CO OZ NO2 CHX NO
 13.02.13 00:00 0.06 0.11 0.09 1.56 ----
 -------- 01:00 0.06 0.07 0.12 1.57 ----
 -------- 02:00 0.06 0.07 0.11 1.59 ----
 -------- 03:00 0.06 0.06 0.11 1.61 ----
 -------- 04:00 0.06 0.04 0.12 1.63 ----
 13.02.13 05:00 0.06 0.01 0.14 1.66 0.01
 -------- 06:00 0.06 0.01 0.16 1.60 0.02
 -------- 07:00 0.09 ---- 0.19 1.62 0.08
 -------- 08:00 0.12 ---- 0.20 1.72 0.12
 -------- 09:00 0.13 ---- 0.21 1.74 0.19
 13.02.13 10:00 0.14 ---- 0.22 1.63 0.17
 -------- 11:00 0.10 0.02 0.19 1.59 0.09
 -------- 12:00 0.10 0.04 0.19 1.60 0.09
 -------- 13:00 0.10 0.06 0.18 1.60 0.10
 -------- 14:00 0.11 0.07 0.20 1.61 0.10
 13.02.13 15:00 0.11 0.04 0.21 1.63 0.10
 -------- 16:00 0.11 0.03 0.22 1.66 0.08
 -------- 17:00 0.12 0.02 0.24 1.69 0.08
 -------- 18:00 0.12 0.01 0.25 1.70 0.08
 -------- 19:00 0.12 ---- 0.25 1.71 0.07
 13.02.13 20:00 0.13 ---- 0.25 1.71 0.09
 -------- 21:00 0.13 ---- 0.24 1.69 0.07
 -------- 22:00 0.10 0.06 0.18 1.55 0.02
 -------- 23:00 0.10 0.03 0.20 1.58 0.02
 -------- 00:00 0.11 ---- 0.23 1.61 0.04
 14.02.13 01:00 0.11 ---- 0.22 1.64 0.05
 -------- 02:00 0.10 ---- 0.21 1.65 0.05
 -------- 03:00 0.10 ---- 0.21 1.62 0.03
 -------- 04:00 0.08 ---- 0.20 1.63 0.02
 -------- 05:00 0.08 ---- 0.20 1.60 0.02
 14.02.13 06:00 0.08 0.01 0.18 1.59 0.02
 -------- 07:00 0.11 0.01 0.20 1.74 0.06
 -------- 08:00 0.14 ---- 0.20 1.70 0.10
 -------- 09:00 0.14 0.01 0.18 1.66 0.08
 -------- 10:00 0.11 0.06 0.15 1.63 0.08
 14.02.13 11:00 0.12 0.07 0.15 1.63 0.09
 -------- 12:00 0.13 0.09 0.18 1.65 0.10
 -------- 13:00 0.15 0.08 0.21 1.67 0.14
 -------- 14:00 0.14 0.08 0.21 1.65 0.12
 -------- 15:00 0.13 0.09 0.20 1.64 0.10
 14.02.13 16:00 0.12 0.08 0.21 1.64 0.08
 -------- 17:00 0.15 0.03 0.25 1.68 0.10
 -------- 18:00 0.14 0.01 0.26 1.64 0.09
 -------- 19:00 0.13 0.01 0.26 1.64 0.09
 -------- 20:00 0.13 ---- 0.25 1.66 0.07
 14.02.13 21:00 0.11 0.03 0.24 1.65 0.04
 -------- 22:00 0.12 0.03 0.24 1.73 0.06
 -------- 23:00 0.12 0.02 0.24 1.73 0.07
