 Date Time CO OZ CHX
 22.12.12 12:00 0.08 0.05 1.72
 -------- 13:00 0.11 0.04 1.75
 -------- 14:00 0.11 0.04 1.74
 -------- 15:00 0.12 0.03 1.80
 -------- 16:00 0.09 0.02 1.74
 22.12.12 17:00 0.09 0.01 1.72
 -------- 18:00 0.09 0.01 1.72
 -------- 19:00 0.09 0.01 1.74
 -------- 20:00 0.08 ---- 1.71
 -------- 21:00 0.08 0.01 1.67
 22.12.12 22:00 0.06 ---- 1.66
 -------- 23:00 0.07 ---- 1.66
 -------- 00:00 0.06 ---- 1.64
 -------- 01:00 0.06 ---- 1.69
 -------- 02:00 0.06 ---- 1.71
 23.12.12 03:00 0.06 0.01 1.72
 -------- 04:00 0.06 ---- 1.71
 -------- 05:00 0.06 ---- 1.69
 -------- 06:00 0.06 ---- 1.68
 -------- 07:00 0.06 ---- 1.69
 23.12.12 08:00 0.07 ---- 1.68
 -------- 09:00 0.09 0.01 1.71
 -------- 10:00 0.09 0.01 1.76
 -------- 11:00 0.11 0.02 1.79
 -------- 12:00 0.13 0.03 1.81
 23.12.12 13:00 0.13 0.04 1.81
 -------- 14:00 0.13 0.03 1.84
 -------- 15:00 0.17 0.02 1.90
 -------- 16:00 0.18 0.01 1.92
 -------- 17:00 0.17 0.01 1.89
 23.12.12 18:00 0.13 0.01 1.83
 -------- 19:00 0.16 0.01 1.93
 -------- 20:00 0.11 0.01 1.78
 -------- 21:00 0.10 0.01 1.74
 -------- 22:00 0.12 0.01 1.79
 23.12.12 23:00 0.12 0.01 1.81
 -------- 00:00 0.12 0.01 1.81
 -------- 01:00 0.11 0.01 1.82
 -------- 02:00 0.10 ---- 1.99
 -------- 03:00 0.13 0.01 2.16
 24.12.12 04:00 0.14 0.01 1.97
 -------- 05:00 0.17 0.01 1.93
 -------- 06:00 0.23 0.01 2.27
 -------- 07:00 0.45 0.03 3.05
 -------- 08:00 0.36 0.03 3.39
 24.12.12 09:00 0.41 0.04 3.28
 -------- 10:00 0.58 0.05 3.41
 -------- 11:00 0.38 0.04 2.90
