 Date Time CO OZ CHX
 23.12.12 00:00 0.06 ---- 1.64
 -------- 01:00 0.06 ---- 1.69
 -------- 02:00 0.06 ---- 1.71
 -------- 03:00 0.06 0.01 1.72
 -------- 04:00 0.06 ---- 1.71
 23.12.12 05:00 0.06 ---- 1.69
 -------- 06:00 0.06 ---- 1.68
 -------- 07:00 0.06 ---- 1.69
 -------- 08:00 0.07 ---- 1.68
 -------- 09:00 0.09 0.01 1.71
 23.12.12 10:00 0.09 0.01 1.76
 -------- 11:00 0.11 0.02 1.79
 -------- 12:00 0.13 0.03 1.81
 -------- 13:00 0.13 0.04 1.81
 -------- 14:00 0.13 0.03 1.84
 23.12.12 15:00 0.17 0.02 1.90
 -------- 16:00 0.18 0.01 1.92
 -------- 17:00 0.17 0.01 1.89
 -------- 18:00 0.13 0.01 1.83
 -------- 19:00 0.16 0.01 1.93
 23.12.12 20:00 0.11 0.01 1.78
 -------- 21:00 0.10 0.01 1.74
 -------- 22:00 0.12 0.01 1.79
 -------- 23:00 0.12 0.01 1.81
 -------- 00:00 0.12 0.01 1.81
 24.12.12 01:00 0.11 0.01 1.82
 -------- 02:00 0.10 ---- 1.99
 -------- 03:00 0.13 0.01 2.16
 -------- 04:00 0.14 0.01 1.97
 -------- 05:00 0.17 0.01 1.93
 24.12.12 06:00 0.23 0.01 2.27
 -------- 07:00 0.45 0.03 3.05
 -------- 08:00 0.36 0.03 3.39
 -------- 09:00 0.41 0.04 3.28
 -------- 10:00 0.58 0.05 3.41
 24.12.12 11:00 0.37 0.04 2.88
 -------- 12:00 0.28 0.03 2.60
 -------- 13:00 0.15 0.01 1.92
 -------- 14:00 0.11 0.02 1.78
 -------- 15:00 0.11 0.01 1.73
 24.12.12 16:00 0.11 0.01 1.73
 -------- 17:00 0.13 0.01 1.86
 -------- 18:00 0.10 ---- 1.81
 -------- 19:00 0.10 0.01 1.82
 -------- 20:00 0.13 0.01 1.83
 24.12.12 21:00 0.11 0.01 1.86
 -------- 22:00 0.10 0.01 1.74
 -------- 23:00 0.07 0.01 1.65
