 Date Time CO OZ CHX
 23.12.12 12:00 0.14 0.03 1.82
 -------- 13:00 0.13 0.04 1.81
 -------- 14:00 0.13 0.03 1.84
 -------- 15:00 0.17 0.02 1.90
 -------- 16:00 0.18 0.01 1.92
 23.12.12 17:00 0.17 0.01 1.89
 -------- 18:00 0.13 0.01 1.83
 -------- 19:00 0.16 0.01 1.93
 -------- 20:00 0.11 0.01 1.78
 -------- 21:00 0.10 0.01 1.74
 23.12.12 22:00 0.12 0.01 1.79
 -------- 23:00 0.12 0.01 1.81
 -------- 00:00 0.12 0.01 1.81
 -------- 01:00 0.11 0.01 1.82
 -------- 02:00 0.10 ---- 1.99
 24.12.12 03:00 0.13 0.01 2.16
 -------- 04:00 0.14 0.01 1.97
 -------- 05:00 0.17 0.01 1.93
 -------- 06:00 0.23 0.01 2.27
 -------- 07:00 0.45 0.03 3.05
 24.12.12 08:00 0.36 0.03 3.39
 -------- 09:00 0.41 0.04 3.28
 -------- 10:00 0.58 0.05 3.41
 -------- 11:00 0.37 0.04 2.88
 -------- 12:00 0.28 0.03 2.60
 24.12.12 13:00 0.15 0.01 1.92
 -------- 14:00 0.11 0.02 1.78
 -------- 15:00 0.11 0.01 1.73
 -------- 16:00 0.11 0.01 1.73
 -------- 17:00 0.13 0.01 1.86
 24.12.12 18:00 0.10 ---- 1.81
 -------- 19:00 0.10 0.01 1.82
 -------- 20:00 0.13 0.01 1.83
 -------- 21:00 0.11 0.01 1.86
 -------- 22:00 0.10 0.01 1.74
 24.12.12 23:00 0.07 0.03 1.63
 -------- 00:00 0.06 0.02 1.62
 -------- 01:00 0.06 0.03 1.62
 -------- 02:00 0.06 0.07 1.60
 -------- 03:00 0.05 0.08 1.59
 25.12.12 04:00 0.05 0.09 1.59
 -------- 05:00 0.06 0.09 1.59
 -------- 06:00 0.07 0.01 1.63
 -------- 07:00 0.08 0.02 1.66
 -------- 08:00 0.07 0.05 1.74
 25.12.12 09:00 0.07 0.04 1.70
 -------- 10:00 0.06 0.05 1.72
 -------- 11:00 0.06 0.08 1.72
