 Date Time CO OZ CHX
 17.12.12 00:00 0.06 0.01 ----
 -------- 01:00 0.06 0.03 ----
 -------- 02:00 0.06 0.01 ----
 -------- 03:00 0.06 0.01 ----
 -------- 04:00 0.06 ---- ----
 17.12.12 05:00 0.07 ---- ----
 -------- 06:00 0.08 ---- ----
 -------- 07:00 0.12 0.02 ----
 -------- 08:00 0.15 0.01 ----
 -------- 09:00 0.15 0.01 ----
 17.12.12 10:00 0.17 0.01 ----
 -------- 11:00 0.23 0.01 ----
 -------- 12:00 0.18 0.01 1.98
 -------- 13:00 0.17 0.02 1.96
 -------- 14:00 0.14 0.02 1.87
 17.12.12 15:00 0.14 0.02 1.88
 -------- 16:00 0.13 0.01 1.91
 -------- 17:00 0.12 0.01 1.82
 -------- 18:00 0.11 0.01 1.82
 -------- 19:00 0.10 0.01 1.92
 17.12.12 20:00 0.09 0.01 1.90
 -------- 21:00 0.08 0.01 1.79
 -------- 22:00 0.07 0.02 1.63
 -------- 23:00 0.08 0.01 1.65
 -------- 00:00 0.07 0.01 1.64
 18.12.12 01:00 0.06 0.02 1.62
 -------- 02:00 0.06 0.01 1.61
 -------- 03:00 0.06 0.01 1.65
 -------- 04:00 0.06 0.01 1.62
 -------- 05:00 0.06 0.02 1.61
 18.12.12 06:00 0.06 0.04 1.62
 -------- 07:00 0.06 0.01 1.66
 -------- 08:00 0.08 ---- 1.65
 -------- 09:00 0.08 ---- 1.67
 -------- 10:00 0.09 0.01 1.69
 18.12.12 11:00 0.08 0.02 1.88
 -------- 12:00 0.09 0.03 1.84
 -------- 13:00 0.10 0.04 1.82
 -------- 14:00 0.09 0.03 1.75
 -------- 15:00 0.09 0.02 1.74
 18.12.12 16:00 0.09 0.01 1.74
 -------- 17:00 0.08 0.01 1.69
 -------- 18:00 0.06 0.01 1.67
 -------- 19:00 0.06 0.01 1.67
 -------- 20:00 0.06 0.01 1.65
 18.12.12 21:00 0.06 0.01 1.66
 -------- 22:00 0.05 0.02 1.68
 -------- 23:00 0.04 0.02 1.70
