 Date Time CO OZ NO2 CHX NO
 07.12.12 23:00 0.10 ---- 0.10 1.72 0.12
 -------- 00:00 0.11 ---- 0.08 1.78 0.12
 -------- 01:00 0.09 ---- 0.07 1.78 0.09
 -------- 02:00 0.07 ---- 0.05 1.79 0.08
 -------- 03:00 0.06 ---- 0.08 1.78 0.07
 08.12.12 04:00 0.08 ---- 0.07 1.79 0.08
 -------- 05:00 0.08 ---- 0.08 1.80 0.08
 -------- 06:00 0.08 ---- 0.08 1.82 0.09
 -------- 07:00 0.08 ---- 0.09 1.81 0.10
 -------- 08:00 0.09 ---- 0.09 1.81 0.11
 08.12.12 09:00 0.10 ---- 0.11 1.84 0.13
 -------- 10:00 0.11 ---- 0.14 1.88 0.17
 -------- 11:00 0.12 0.01 0.10 1.90 0.17
 -------- 12:00 0.14 ---- 0.14 1.99 0.20
 -------- 13:00 0.15 0.01 0.18 1.88 0.23
 08.12.12 14:00 0.12 ---- 0.06 1.72 0.18
 -------- 15:00 0.12 0.01 0.04 1.71 0.15
 -------- 16:00 0.11 0.02 0.05 1.75 0.13
 -------- 17:00 0.10 0.03 0.05 1.75 0.12
 -------- 18:00 0.09 ---- 0.06 1.70 0.10
 08.12.12 19:00 0.13 ---- 0.10 1.76 0.14
 -------- 20:00 0.14 ---- 0.09 1.77 0.15
 -------- 21:00 0.12 ---- 0.07 1.74 0.14
 -------- 22:00 0.11 ---- 0.08 1.75 0.14
 -------- 23:00 0.12 ---- 0.12 1.79 0.17
 09.12.12 00:00 0.11 ---- 0.06 1.78 0.14
 -------- 01:00 0.10 ---- 0.04 1.81 0.12
 -------- 02:00 0.13 ---- 0.07 1.87 0.14
 -------- 03:00 0.13 0.01 0.12 1.97 0.17
 -------- 04:00 0.15 ---- 0.13 1.99 0.19
 09.12.12 05:00 0.17 ---- 0.10 2.09 0.19
 -------- 06:00 0.18 ---- 0.10 2.12 0.19
 -------- 07:00 0.12 ---- 0.03 1.84 0.14
 -------- 08:00 0.12 ---- 0.07 1.83 0.16
 -------- 09:00 0.08 ---- 0.01 1.65 0.09
 09.12.12 10:00 0.08 0.01 0.03 1.62 0.07
 -------- 14:00 0.04 0.12 ---- 0.66 ----
 -------- 15:00 0.04 0.11 ---- 1.55 ----
 -------- 16:00 0.06 0.04 ---- 1.57 ----
 -------- 17:00 0.08 0.01 ---- 1.63 ----
 09.12.12 18:00 0.14 0.01 ---- 1.65 ----
 -------- 19:00 0.09 0.01 ---- 1.66 ----
 -------- 20:00 0.13 ---- ---- 1.76 ----
 -------- 21:00 0.11 ---- ---- 1.25 ----
 -------- 22:00 0.12 ---- ---- 1.67 ----
