 Date Time CO OZ CHX
 18.12.12 12:00 0.10 0.03 1.86
 -------- 13:00 0.10 0.04 1.82
 -------- 14:00 0.09 0.03 1.75
 -------- 15:00 0.09 0.02 1.74
 -------- 16:00 0.09 0.01 1.74
 18.12.12 17:00 0.08 0.01 1.69
 -------- 18:00 0.06 0.01 1.67
 -------- 19:00 0.06 0.01 1.67
 -------- 20:00 0.06 0.01 1.65
 -------- 21:00 0.06 0.01 1.66
 18.12.12 22:00 0.05 0.02 1.68
 -------- 23:00 0.04 0.02 1.70
 -------- 00:00 0.04 0.03 1.67
 -------- 01:00 0.04 0.04 1.62
 -------- 02:00 0.04 0.05 1.60
 19.12.12 03:00 0.03 0.04 1.60
 -------- 04:00 0.03 0.04 1.64
 -------- 05:00 0.03 0.01 1.64
 -------- 06:00 0.04 0.01 1.64
 -------- 07:00 0.05 ---- 1.65
 19.12.12 08:00 0.06 ---- 1.69
 -------- 09:00 0.08 ---- 1.71
 -------- 10:00 0.08 0.01 1.73
 -------- 11:00 0.08 0.02 1.72
 -------- 12:00 0.08 0.03 1.72
 19.12.12 13:00 0.08 0.04 1.73
 -------- 14:00 0.08 0.03 1.72
 -------- 15:00 0.08 0.03 1.69
 -------- 16:00 0.09 0.02 1.72
 -------- 17:00 0.09 0.01 1.71
 19.12.12 18:00 0.08 ---- 1.69
 -------- 19:00 0.07 0.01 1.68
 -------- 20:00 0.07 ---- 1.68
 -------- 21:00 0.08 ---- 1.69
 -------- 22:00 0.07 ---- 1.67
 19.12.12 23:00 0.06 0.01 1.68
 -------- 00:00 0.06 ---- 1.70
 -------- 01:00 0.06 ---- 1.67
 -------- 02:00 0.06 ---- 1.66
 -------- 03:00 0.06 ---- 1.70
 20.12.12 04:00 0.06 0.01 1.88
 -------- 05:00 0.06 ---- 1.94
 -------- 06:00 0.06 ---- 1.92
 -------- 07:00 0.07 ---- 1.92
 -------- 08:00 0.11 0.01 2.01
 20.12.12 09:00 0.13 0.01 2.00
 -------- 10:00 0.12 0.01 1.96
 -------- 11:00 0.12 0.02 1.96
