 Date Time CO OZ CHX
 21.12.12 00:00 0.09 ---- 1.85
 -------- 01:00 0.09 0.01 1.91
 -------- 02:00 0.08 0.01 1.96
 -------- 03:00 0.09 0.01 2.07
 -------- 04:00 0.09 ---- 2.16
 21.12.12 05:00 0.08 0.01 2.15
 -------- 06:00 0.09 0.01 2.13
 -------- 07:00 0.10 0.01 2.12
 -------- 08:00 0.13 0.01 2.15
 -------- 09:00 0.14 0.01 2.18
 21.12.12 10:00 0.14 0.01 2.12
 -------- 11:00 0.15 0.01 2.13
 -------- 12:00 0.14 0.02 2.10
 -------- 13:00 0.14 0.02 2.13
 -------- 14:00 0.15 0.02 2.22
 21.12.12 15:00 0.17 0.02 2.27
 -------- 16:00 0.21 0.01 2.28
 -------- 17:00 0.17 0.01 2.18
 -------- 18:00 0.23 0.01 2.17
 -------- 19:00 0.20 0.01 2.06
 21.12.12 20:00 0.17 0.01 1.99
 -------- 21:00 0.13 0.01 1.99
 -------- 22:00 0.12 0.01 2.03
 -------- 23:00 0.11 0.01 1.99
 -------- 00:00 0.10 0.01 1.92
 22.12.12 01:00 0.11 0.01 1.94
 -------- 02:00 0.11 0.01 1.92
 -------- 03:00 0.10 0.01 1.91
 -------- 04:00 0.08 ---- 1.88
 -------- 05:00 0.07 ---- 1.86
 22.12.12 06:00 0.08 ---- 1.84
 -------- 07:00 0.09 ---- 1.86
 -------- 08:00 0.09 ---- 1.84
 -------- 09:00 0.09 0.01 1.84
 -------- 10:00 0.09 0.01 1.83
 22.12.12 11:00 0.08 0.03 1.78
 -------- 12:00 0.08 0.05 1.75
 -------- 13:00 0.11 0.04 1.75
 -------- 14:00 0.11 0.04 1.74
 -------- 15:00 0.12 0.03 1.80
 22.12.12 16:00 0.09 0.02 1.74
 -------- 17:00 0.09 0.01 1.72
 -------- 18:00 0.09 0.01 1.72
 -------- 19:00 0.09 0.01 1.74
 -------- 20:00 0.08 ---- 1.71
 22.12.12 21:00 0.08 0.01 1.67
 -------- 22:00 0.06 ---- 1.66
 -------- 23:00 0.07 ---- 1.66
