 Date Time CO OZ CHX
 14.12.12 12:00 0.04 0.11 1.58
 -------- 13:00 0.05 0.10 1.60
 -------- 14:00 0.05 0.11 1.59
 -------- 15:00 0.05 0.11 1.59
 -------- 16:00 0.06 0.10 1.60
 14.12.12 17:00 0.05 0.08 1.60
 -------- 18:00 0.04 0.13 1.58
 -------- 19:00 0.04 0.13 1.59
 -------- 20:00 0.04 0.14 2.02
 -------- 21:00 0.05 0.12 2.74
 14.12.12 22:00 0.04 0.10 1.80
 -------- 23:00 0.04 0.08 1.60
 -------- 00:00 0.03 0.07 1.60
 -------- 01:00 0.02 0.07 1.60
 -------- 02:00 0.02 0.08 1.61
 15.12.12 03:00 0.02 0.10 1.24
 -------- 04:00 0.02 0.09 1.61
 -------- 05:00 0.02 0.08 1.62
 -------- 06:00 0.02 0.07 1.63
 -------- 07:00 0.03 0.03 1.65
 15.12.12 08:00 0.06 0.01 1.66
 -------- 09:00 0.06 ---- 1.67
 -------- 10:00 0.06 0.02 1.69
 -------- 11:00 0.06 0.03 1.70
 -------- 12:00 0.06 0.05 1.69
 15.12.12 13:00 0.08 0.06 1.72
 -------- 14:00 0.08 0.06 1.73
 -------- 15:00 0.08 0.05 1.60
 -------- 16:00 0.08 0.03 1.71
 -------- 17:00 0.07 0.01 1.71
 15.12.12 18:00 0.06 ---- 1.73
 -------- 19:00 0.06 ---- 1.71
 -------- 20:00 0.06 ---- 1.70
 -------- 21:00 0.06 ---- 1.72
 -------- 22:00 0.06 ---- 1.74
 15.12.12 23:00 0.05 0.04 1.69
 -------- 00:00 0.04 0.06 1.73
 -------- 01:00 0.04 0.08 1.68
 -------- 02:00 0.04 0.09 1.69
 -------- 03:00 0.04 0.09 1.66
 16.12.12 04:00 0.04 0.08 1.72
 -------- 05:00 0.04 0.06 1.36
 -------- 06:00 0.04 0.02 ----
 -------- 07:00 0.04 0.01 0.57
 -------- 08:00 0.04 ---- ----
 16.12.12 09:00 0.04 ---- ----
 -------- 10:00 0.06 0.02 ----
 -------- 11:00 0.06 0.02 1.61
