 Date Time CO OZ CHX
 24.12.12 12:00 0.26 0.02 2.48
 -------- 13:00 0.15 0.01 1.92
 -------- 14:00 0.11 0.02 1.78
 -------- 15:00 0.11 0.01 1.73
 -------- 16:00 0.11 0.01 1.73
 24.12.12 17:00 0.13 0.01 1.86
 -------- 18:00 0.10 ---- 1.81
 -------- 19:00 0.10 0.01 1.82
 -------- 20:00 0.13 0.01 1.83
 -------- 21:00 0.11 0.01 1.86
 24.12.12 22:00 0.10 0.01 1.74
 -------- 23:00 0.07 0.03 1.63
 -------- 00:00 0.06 0.02 1.62
 -------- 01:00 0.06 0.03 1.62
 -------- 02:00 0.06 0.07 1.60
 25.12.12 03:00 0.05 0.08 1.59
 -------- 04:00 0.05 0.09 1.59
 -------- 05:00 0.06 0.09 1.59
 -------- 06:00 0.07 0.01 1.63
 -------- 07:00 0.08 0.02 1.66
 25.12.12 08:00 0.07 0.05 1.74
 -------- 09:00 0.07 0.04 1.70
 -------- 10:00 0.06 0.05 1.72
 -------- 11:00 0.06 0.09 1.69
 -------- 12:00 0.06 0.13 1.63
 25.12.12 13:00 0.06 0.13 1.62
 -------- 14:00 0.05 0.14 1.62
 -------- 15:00 0.05 0.14 1.64
 -------- 16:00 0.06 0.12 1.65
 -------- 17:00 0.06 0.10 1.66
 25.12.12 18:00 0.06 0.07 1.68
 -------- 19:00 0.06 0.08 1.69
 -------- 20:00 0.06 0.08 1.75
 -------- 21:00 0.06 0.09 1.85
 -------- 22:00 0.06 0.10 1.83
 25.12.12 23:00 0.05 0.12 1.70
 -------- 00:00 0.04 0.15 1.62
 -------- 01:00 0.04 0.15 1.61
 -------- 02:00 0.04 0.17 1.60
 -------- 03:00 0.04 0.19 1.60
 26.12.12 04:00 0.04 0.18 1.60
 -------- 05:00 0.04 0.17 1.61
 -------- 06:00 0.05 0.15 1.62
 -------- 07:00 0.05 0.14 1.63
 -------- 08:00 0.07 0.12 1.65
 26.12.12 09:00 0.08 0.08 1.65
 -------- 10:00 0.07 0.08 1.64
 -------- 11:00 0.06 0.11 1.64
