 Date Time CO OZ NO2 CHX NO
 20.01.13 12:00 0.31 0.01 1.59 2.84 0.57
 -------- 13:00 0.31 0.01 1.52 2.66 0.53
 -------- 14:00 0.27 0.01 1.41 2.85 0.48
 -------- 15:00 0.25 0.01 1.48 2.64 0.52
 -------- 16:00 0.22 0.01 1.20 2.52 0.38
 20.01.13 17:00 0.23 0.01 1.18 2.26 0.38
 -------- 18:00 0.23 ---- 1.15 2.14 0.37
 -------- 19:00 0.21 0.01 1.07 2.05 0.33
 -------- 20:00 0.23 0.01 1.07 2.08 0.34
 -------- 21:00 0.17 ---- 0.90 1.91 0.24
 20.01.13 22:00 0.16 ---- 0.80 1.85 0.20
 -------- 23:00 0.11 ---- 0.61 1.75 0.10
 -------- 00:00 0.12 ---- 0.64 1.79 0.13
 -------- 01:00 0.12 ---- 0.63 1.86 0.14
 -------- 02:00 0.12 ---- 0.61 1.92 0.14
 21.01.13 03:00 0.12 ---- 0.59 1.82 0.13
 -------- 04:00 0.10 ---- 0.52 1.76 0.10
 -------- 05:00 0.10 ---- 0.51 1.76 0.11
 -------- 06:00 0.11 ---- 0.52 1.78 0.11
 -------- 07:00 0.13 ---- 0.59 1.81 0.15
 21.01.13 08:00 0.15 ---- 0.62 1.87 0.17
 -------- 09:00 0.14 ---- 0.60 1.85 0.14
 -------- 10:00 0.12 0.01 0.55 1.89 0.12
 -------- 11:00 0.10 0.01 0.45 1.88 0.10
 -------- 12:00 0.08 0.03 0.30 1.78 0.06
 21.01.13 13:00 0.08 0.06 0.26 1.65 0.05
 -------- 14:00 0.08 0.06 0.29 1.62 0.05
 -------- 15:00 0.06 0.10 0.25 1.57 0.03
 -------- 16:00 0.13 0.09 0.27 1.78 0.03
 -------- 17:00 0.09 0.04 0.24 2.18 0.04
 21.01.13 18:00 0.09 0.01 0.25 1.78 0.04
 -------- 19:00 0.08 0.02 0.24 1.62 0.04
 -------- 20:00 0.10 0.09 0.19 1.55 0.01
 -------- 21:00 0.10 0.05 0.21 1.55 0.01
 -------- 22:00 0.08 0.04 0.19 1.55 0.01
 21.01.13 23:00 0.07 0.03 0.20 1.53 0.01
 -------- 00:00 0.07 0.05 0.20 1.54 0.02
 -------- 01:00 0.05 0.09 0.17 1.51 0.01
 -------- 02:00 0.04 0.14 0.14 1.49 ----
 -------- 03:00 0.04 0.14 0.15 1.49 ----
 22.01.13 04:00 0.04 0.11 0.17 1.51 ----
 -------- 05:00 0.04 0.08 0.19 1.50 0.01
 -------- 06:00 0.06 0.06 0.20 1.56 0.01
 -------- 07:00 0.07 0.06 0.20 1.56 0.02
 -------- 08:00 0.10 0.04 0.22 1.60 0.04
 22.01.13 09:00 0.11 0.03 0.24 1.63 0.05
 -------- 10:00 0.13 0.01 0.27 1.69 0.17
 -------- 11:00 0.14 0.03 0.19 1.68 0.17
