 Date Time CO OZ CHX
 19.12.12 00:00 0.04 0.03 1.66
 -------- 01:00 0.04 0.04 1.62
 -------- 02:00 0.04 0.05 1.60
 -------- 03:00 0.03 0.04 1.60
 -------- 04:00 0.03 0.04 1.64
 19.12.12 05:00 0.03 0.01 1.64
 -------- 06:00 0.04 0.01 1.64
 -------- 07:00 0.05 ---- 1.65
 -------- 08:00 0.06 ---- 1.69
 -------- 09:00 0.08 ---- 1.71
 19.12.12 10:00 0.08 0.01 1.73
 -------- 11:00 0.08 0.02 1.72
 -------- 12:00 0.08 0.03 1.72
 -------- 13:00 0.08 0.04 1.73
 -------- 14:00 0.08 0.03 1.72
 19.12.12 15:00 0.08 0.03 1.69
 -------- 16:00 0.09 0.02 1.72
 -------- 17:00 0.09 0.01 1.71
 -------- 18:00 0.08 ---- 1.69
 -------- 19:00 0.07 0.01 1.68
 19.12.12 20:00 0.07 ---- 1.68
 -------- 21:00 0.08 ---- 1.69
 -------- 22:00 0.07 ---- 1.67
 -------- 23:00 0.06 0.01 1.68
 -------- 00:00 0.06 ---- 1.70
 20.12.12 01:00 0.06 ---- 1.67
 -------- 02:00 0.06 ---- 1.66
 -------- 03:00 0.06 ---- 1.70
 -------- 04:00 0.06 0.01 1.88
 -------- 05:00 0.06 ---- 1.94
 20.12.12 06:00 0.06 ---- 1.92
 -------- 07:00 0.07 ---- 1.92
 -------- 08:00 0.11 0.01 2.01
 -------- 09:00 0.13 0.01 2.00
 -------- 10:00 0.12 0.01 1.96
 20.12.12 11:00 0.12 0.02 1.96
 -------- 12:00 0.11 0.03 1.91
 -------- 13:00 0.14 0.03 1.90
 -------- 14:00 0.13 0.03 1.90
 -------- 15:00 0.13 0.03 2.03
 20.12.12 16:00 0.17 0.01 2.13
 -------- 17:00 0.18 0.01 2.22
 -------- 18:00 0.14 0.01 2.24
 -------- 19:00 0.13 0.01 2.18
 -------- 20:00 0.13 0.01 2.15
 20.12.12 21:00 0.12 0.01 2.05
 -------- 22:00 0.10 0.01 1.97
 -------- 23:00 0.10 0.01 1.93
