 Date Time CO OZ CHX
 17.12.12 12:00 0.19 0.01 2.07
 -------- 13:00 0.17 0.02 1.96
 -------- 14:00 0.14 0.02 1.87
 -------- 15:00 0.14 0.02 1.88
 -------- 16:00 0.13 0.01 1.91
 17.12.12 17:00 0.12 0.01 1.82
 -------- 18:00 0.11 0.01 1.82
 -------- 19:00 0.10 0.01 1.92
 -------- 20:00 0.09 0.01 1.90
 -------- 21:00 0.08 0.01 1.79
 17.12.12 22:00 0.07 0.02 1.63
 -------- 23:00 0.08 0.01 1.65
 -------- 00:00 0.07 0.01 1.64
 -------- 01:00 0.06 0.02 1.62
 -------- 02:00 0.06 0.01 1.61
 18.12.12 03:00 0.06 0.01 1.65
 -------- 04:00 0.06 0.01 1.62
 -------- 05:00 0.06 0.02 1.61
 -------- 06:00 0.06 0.04 1.62
 -------- 07:00 0.06 0.01 1.66
 18.12.12 08:00 0.08 ---- 1.65
 -------- 09:00 0.08 ---- 1.67
 -------- 10:00 0.09 0.01 1.69
 -------- 11:00 0.08 0.02 1.88
 -------- 12:00 0.09 0.03 1.84
 18.12.12 13:00 0.10 0.04 1.82
 -------- 14:00 0.09 0.03 1.75
 -------- 15:00 0.09 0.02 1.74
 -------- 16:00 0.09 0.01 1.74
 -------- 17:00 0.08 0.01 1.69
 18.12.12 18:00 0.06 0.01 1.67
 -------- 19:00 0.06 0.01 1.67
 -------- 20:00 0.06 0.01 1.65
 -------- 21:00 0.06 0.01 1.66
 -------- 22:00 0.05 0.02 1.68
 18.12.12 23:00 0.04 0.02 1.70
 -------- 00:00 0.04 0.03 1.67
 -------- 01:00 0.04 0.04 1.62
 -------- 02:00 0.04 0.05 1.60
 -------- 03:00 0.03 0.04 1.60
 19.12.12 04:00 0.03 0.04 1.64
 -------- 05:00 0.03 0.01 1.64
 -------- 06:00 0.04 0.01 1.64
 -------- 07:00 0.05 ---- 1.65
 -------- 08:00 0.06 ---- 1.69
 19.12.12 09:00 0.08 ---- 1.71
 -------- 10:00 0.08 0.01 1.73
 -------- 11:00 0.08 0.02 1.73
