 Date Time CO OZ NO2 CHX NO
 02.12.12 23:00 0.05 0.08 0.07 1.48 0.01
 -------- 00:00 0.06 0.07 0.07 1.48 0.02
 -------- 01:00 0.04 0.10 0.05 1.46 0.02
 -------- 02:00 0.04 0.12 0.06 1.46 0.01
 -------- 03:00 0.04 0.10 0.07 1.49 0.01
 03.12.12 04:00 0.05 0.07 0.09 1.48 0.01
 -------- 05:00 0.07 0.02 0.16 1.55 0.02
 -------- 06:00 0.08 ---- 0.17 1.63 0.04
 -------- 07:00 0.07 ---- 0.16 1.57 0.07
 -------- 08:00 0.09 ---- 0.21 1.68 0.10
 03.12.12 09:00 0.10 ---- 0.19 1.68 0.09
 -------- 10:00 0.11 ---- 0.20 1.63 0.14
 -------- 11:00 0.10 0.01 0.18 1.65 0.14
 -------- 12:00 0.10 0.01 0.17 1.68 0.13
 -------- 13:00 0.11 0.01 0.16 1.65 0.12
 03.12.12 14:00 0.09 0.02 0.16 1.57 0.12
 -------- 15:00 0.10 0.01 0.17 1.64 0.11
 -------- 16:00 0.10 0.01 0.16 1.57 0.08
 -------- 17:00 0.09 ---- 0.17 1.59 0.06
 -------- 18:00 0.09 ---- 0.16 1.59 0.06
 03.12.12 19:00 0.08 0.01 0.13 1.57 0.04
 -------- 20:00 0.06 0.04 0.12 1.56 0.03
 -------- 21:00 0.06 0.05 0.10 1.69 0.03
 -------- 22:00 0.07 0.05 0.13 1.60 0.03
 -------- 23:00 0.06 0.02 0.13 1.57 0.03
 04.12.12 00:00 0.05 0.04 0.13 1.57 0.03
 -------- 01:00 0.04 0.13 0.06 1.57 0.02
 -------- 02:00 0.04 0.10 0.08 1.53 0.02
 -------- 03:00 0.04 0.10 0.09 1.47 0.02
 -------- 04:00 0.04 0.07 0.09 1.48 0.02
 04.12.12 05:00 0.04 0.06 0.09 1.51 0.02
 -------- 06:00 0.04 0.05 0.09 1.54 0.02
 -------- 07:00 0.06 0.06 0.09 1.62 0.03
 -------- 08:00 0.07 0.03 0.10 1.64 0.04
 -------- 09:00 0.06 0.02 0.08 1.62 0.04
 04.12.12 10:00 0.08 0.01 0.09 1.62 0.06
 -------- 11:00 0.09 ---- 0.11 1.67 0.10
 -------- 12:00 0.10 0.04 0.11 1.68 0.12
 -------- 13:00 0.11 ---- 0.09 1.66 0.12
 -------- 14:00 0.09 ---- 0.07 1.61 0.12
 04.12.12 15:00 0.09 ---- 0.09 1.68 0.12
 -------- 16:00 0.11 ---- 0.05 1.62 0.10
 -------- 17:00 0.10 ---- 0.04 1.59 0.08
 -------- 18:00 0.06 0.06 0.05 1.52 0.04
 -------- 19:00 0.05 0.09 0.05 1.48 0.03
 04.12.12 20:00 0.04 0.12 0.04 1.47 0.03
