 Date Time CO OZ NO2 CHX NO
 28.03.13 12:00 0.06 0.34 0.01 1.48 0.08
 -------- 13:00 0.04 0.39 0.01 1.45 0.07
 -------- 14:00 0.04 0.43 0.01 1.43 0.06
 -------- 15:00 0.05 0.41 0.01 1.43 0.06
 -------- 16:00 0.05 0.41 0.01 1.44 0.06
 28.03.13 17:00 0.06 0.41 0.02 1.44 0.06
 -------- 18:00 0.09 0.39 0.05 1.47 0.06
 -------- 19:00 0.09 0.26 0.14 1.50 0.06
 -------- 20:00 0.11 0.09 0.24 1.55 0.06
 -------- 21:00 0.10 0.20 0.16 1.53 0.06
 28.03.13 22:00 0.11 0.19 0.17 1.55 0.06
 -------- 23:00 0.07 0.16 0.19 1.51 0.06
 -------- 00:00 0.06 0.11 0.22 1.51 0.06
 -------- 01:00 0.06 0.08 0.24 1.51 0.07
 -------- 02:00 0.07 0.03 0.27 1.56 0.09
 29.03.13 03:00 0.07 0.04 0.26 1.55 0.08
 -------- 04:00 0.06 0.09 0.23 1.54 0.06
 -------- 05:00 0.06 0.06 0.25 1.56 0.07
 -------- 06:00 0.11 0.01 0.29 1.62 0.11
 -------- 07:00 0.11 0.05 0.29 1.60 0.14
 29.03.13 08:00 0.10 0.08 0.26 1.57 0.13
 -------- 09:00 0.08 0.17 0.19 1.55 0.11
 -------- 10:00 0.09 0.19 0.17 1.56 0.12
 -------- 11:00 0.06 0.29 0.10 1.51 0.10
 -------- 12:00 0.04 0.45 0.01 1.45 0.07
 29.03.13 13:00 0.04 0.49 0.01 1.43 0.06
 -------- 14:00 0.04 0.51 0.01 1.42 0.06
 -------- 15:00 0.04 0.52 0.01 1.41 0.05
 -------- 16:00 0.05 0.53 0.01 1.41 0.05
 -------- 17:00 0.05 0.48 0.04 1.42 0.05
 29.03.13 18:00 0.07 0.45 0.06 1.42 0.04
 -------- 19:00 0.11 0.20 0.22 1.54 0.06
 -------- 20:00 0.21 0.02 0.35 1.69 0.17
 -------- 21:00 0.45 0.02 0.35 2.02 0.48
 -------- 22:00 0.76 0.03 0.38 2.39 0.99
 29.03.13 23:00 0.99 0.05 0.44 2.72 1.48
 -------- 00:00 1.04 0.05 0.54 2.96 1.97
 -------- 01:00 0.51 0.03 0.59 2.44 1.09
 -------- 02:00 0.37 0.03 0.51 2.55 0.79
 -------- 03:00 0.25 0.01 0.49 2.39 0.57
 30.03.13 04:00 0.16 0.01 0.45 2.16 0.35
 -------- 05:00 0.13 ---- 0.42 2.08 0.26
 -------- 06:00 0.07 ---- 0.39 1.80 0.13
 -------- 07:00 0.11 0.01 0.37 1.84 0.16
 -------- 08:00 0.14 0.02 0.36 2.17 0.26
 30.03.13 09:00 0.09 0.10 0.32 1.98 0.14
 -------- 10:00 0.07 0.22 0.24 1.81 0.11
 -------- 11:00 0.04 0.35 0.13 1.71 0.08
