 Date Time CO OZ NO2 CHX NO
 26.09.12 00:00 0.06 0.06 0.05 1.42 0.00
 -------- 01:00 0.06 0.06 0.04 1.43 0.00
 -------- 02:00 0.05 0.05 0.04 1.42 ----
 -------- 03:00 0.04 0.04 0.04 1.44 ----
 -------- 04:00 0.04 0.03 0.04 1.44 ----
 26.09.12 05:00 0.05 0.01 0.06 1.46 0.00
 -------- 06:00 0.05 0.01 0.06 1.45 0.01
 -------- 07:00 0.06 ---- 0.05 1.46 0.02
 -------- 08:00 0.10 ---- 0.07 1.50 0.06
 -------- 09:00 0.09 0.01 0.06 1.51 0.04
 26.09.12 10:00 0.05 0.03 0.05 1.45 0.02
 -------- 11:00 0.05 0.08 0.04 1.44 0.01
 -------- 12:00 0.05 0.13 0.07 1.43 0.00
 -------- 13:00 0.04 0.12 0.07 1.44 0.01
 -------- 14:00 0.05 0.14 0.06 1.44 0.01
 26.09.12 15:00 0.05 0.15 0.08 1.43 0.00
 -------- 16:00 0.04 0.12 0.07 1.44 0.01
 -------- 17:00 0.04 0.15 0.05 1.43 0.00
 -------- 18:00 0.06 0.06 0.13 1.46 0.01
 -------- 19:00 0.09 0.01 0.19 1.52 0.05
 26.09.12 20:00 0.14 ---- 0.18 1.59 0.07
 -------- 21:00 0.18 ---- 0.17 1.62 0.13
 -------- 22:00 0.17 ---- 0.16 1.59 0.12
 -------- 23:00 0.23 ---- 0.17 1.80 0.32
 -------- 00:00 0.27 ---- 0.16 1.82 0.36
 27.09.12 01:00 0.37 ---- 0.15 2.02 0.55
 -------- 02:00 0.47 0.01 0.13 2.31 0.69
 -------- 03:00 0.41 ---- 0.14 2.56 0.97
 -------- 04:00 0.43 0.01 0.15 2.61 0.99
 -------- 05:00 0.47 0.01 0.14 2.67 0.93
 27.09.12 06:00 0.43 ---- 0.13 2.72 0.83
 -------- 07:00 0.36 ---- 0.16 2.35 0.64
 -------- 08:00 0.75 0.01 0.22 2.69 1.12
 -------- 09:00 0.50 ---- 0.28 2.46 0.76
 -------- 10:00 0.13 ---- 0.21 1.68 0.13
 27.09.12 11:00 0.09 0.02 0.19 1.54 0.06
 -------- 12:00 0.07 0.03 0.18 1.53 0.06
 -------- 13:00 0.06 0.06 0.15 1.48 0.03
 -------- 14:00 0.06 0.07 0.16 1.49 0.02
 -------- 15:00 0.06 0.08 0.16 1.49 0.02
 27.09.12 16:00 0.09 0.07 0.17 1.51 0.02
 -------- 17:00 0.10 0.06 0.17 1.52 0.02
 -------- 18:00 0.10 0.05 0.19 1.52 0.02
 -------- 19:00 0.11 0.04 0.20 1.50 0.01
 -------- 20:00 0.09 0.04 0.20 1.49 0.01
 27.09.12 21:00 0.11 0.04 0.20 1.49 0.01
 -------- 22:00 0.11 0.01 0.24 1.50 0.03
 -------- 23:00 0.10 0.01 0.23 1.51 0.04
