 Date Time CO OZ NO2 CHX NO
 28.01.13 12:00 0.11 0.03 0.19 1.60 0.15
 -------- 13:00 0.09 0.07 0.15 1.65 0.07
 -------- 14:00 0.09 0.06 0.15 1.64 0.08
 -------- 15:00 0.08 0.07 0.15 1.66 0.06
 -------- 16:00 0.08 0.08 0.14 1.70 0.04
 28.01.13 17:00 0.08 0.09 0.13 1.63 0.02
 -------- 18:00 0.08 0.06 0.14 1.63 0.02
 -------- 19:00 0.11 0.03 0.16 1.74 0.02
 -------- 20:00 0.10 0.04 0.15 1.67 0.03
 -------- 21:00 0.08 0.04 0.15 1.67 0.02
 28.01.13 22:00 0.08 0.04 0.14 1.66 0.02
 -------- 23:00 0.08 0.03 0.15 1.65 0.02
 -------- 00:00 0.08 0.01 0.16 1.64 0.02
 -------- 01:00 0.08 0.05 0.12 1.63 0.01
 -------- 02:00 0.10 0.10 0.09 1.62 ----
 29.01.13 03:00 0.06 0.07 0.10 1.60 0.00
 -------- 04:00 0.06 0.09 0.09 1.59 0.00
 -------- 05:00 0.06 0.09 0.09 1.60 0.00
 -------- 06:00 0.07 0.03 0.14 1.63 0.03
 -------- 07:00 0.10 ---- 0.16 1.85 0.08
 29.01.13 08:00 0.12 0.01 0.16 1.82 0.12
 -------- 09:00 0.12 ---- 0.17 1.88 0.10
 -------- 10:00 0.11 0.01 0.15 1.81 0.09
 -------- 11:00 0.12 0.03 0.14 1.71 0.10
 -------- 12:00 0.11 0.04 0.13 1.68 0.08
 29.01.13 13:00 0.09 0.07 0.11 1.66 0.06
 -------- 14:00 0.11 0.04 0.14 1.71 0.09
 -------- 15:00 0.09 0.04 0.14 1.70 0.08
 -------- 16:00 0.09 0.04 0.15 1.76 0.08
 -------- 17:00 0.11 0.02 0.17 1.84 0.08
 29.01.13 18:00 0.13 0.01 0.19 1.95 0.08
 -------- 19:00 0.11 0.01 0.18 1.76 0.07
 -------- 20:00 0.13 0.01 0.17 2.10 0.06
 -------- 21:00 0.11 0.01 0.18 1.79 0.08
 -------- 22:00 0.13 0.01 0.18 1.84 0.06
 29.01.13 23:00 0.09 0.01 0.16 1.74 0.03
 -------- 00:00 0.09 0.01 0.18 1.83 0.06
 -------- 01:00 0.08 ---- 0.18 1.69 0.06
 -------- 02:00 0.08 0.01 0.16 1.72 0.04
 -------- 03:00 0.08 0.01 0.15 1.78 0.03
 30.01.13 04:00 0.06 0.01 0.14 1.70 0.04
 -------- 05:00 0.07 ---- 0.14 1.63 0.06
 -------- 06:00 0.09 ---- 0.15 1.65 0.06
 -------- 07:00 0.12 0.01 0.16 1.70 0.11
 -------- 08:00 0.14 ---- 0.17 1.76 0.18
 30.01.13 09:00 0.15 ---- 0.18 1.81 0.22
 -------- 10:00 0.16 0.01 0.18 1.78 0.20
 -------- 11:00 0.15 0.02 0.16 1.80 0.21
