 Date Time CO OZ NO2 CHX NO
 18.11.12 12:00 0.06 0.15 0.08 1.44 0.01
 -------- 13:00 0.07 0.14 0.09 1.46 0.01
 -------- 14:00 0.06 0.16 0.08 1.44 0.01
 -------- 15:00 0.06 0.15 0.08 1.44 0.01
 -------- 16:00 0.06 0.16 0.09 1.44 0.01
 18.11.12 17:00 0.06 0.13 0.08 1.45 0.01
 -------- 18:00 0.06 0.13 0.09 1.43 0.01
 -------- 19:00 0.06 0.14 0.08 1.44 0.01
 -------- 20:00 0.05 0.14 0.08 1.43 0.01
 -------- 21:00 0.05 0.16 0.07 1.43 0.01
 18.11.12 22:00 0.04 0.17 0.07 1.42 0.01
 -------- 23:00 0.04 0.17 0.07 1.42 0.01
 -------- 00:00 0.04 0.16 0.07 1.42 0.01
 -------- 01:00 0.05 0.17 0.06 1.43 0.01
 -------- 02:00 0.04 0.16 0.06 1.42 0.00
 19.11.12 03:00 0.04 0.17 0.06 1.42 0.01
 -------- 04:00 0.04 0.18 0.05 1.43 0.01
 -------- 05:00 0.04 0.17 0.06 1.43 0.01
 -------- 06:00 0.05 0.13 0.06 1.44 0.01
 -------- 07:00 0.06 0.10 0.08 1.45 0.01
 19.11.12 08:00 0.06 0.12 0.08 1.45 0.01
 -------- 09:00 0.06 0.09 0.08 1.46 0.02
 -------- 10:00 0.06 0.07 0.08 1.49 0.02
 -------- 11:00 0.07 0.07 0.09 1.51 0.02
 -------- 12:00 0.07 0.07 0.09 1.49 0.02
 19.11.12 13:00 0.07 0.08 0.07 1.51 0.02
 -------- 14:00 0.06 0.06 0.08 1.50 0.03
 -------- 15:00 0.07 0.06 0.10 1.51 0.03
 -------- 16:00 0.06 0.04 0.10 1.50 0.03
 -------- 17:00 0.07 0.01 0.11 1.52 0.03
 19.11.12 18:00 0.07 0.02 0.10 1.52 0.04
 -------- 19:00 0.06 0.03 0.10 1.50 0.03
 -------- 20:00 0.07 0.01 0.08 1.51 0.03
 -------- 21:00 0.07 0.03 0.08 1.51 0.02
 -------- 22:00 0.07 0.02 0.08 1.52 0.03
 19.11.12 23:00 0.06 0.02 0.07 1.51 0.02
 -------- 00:00 0.06 0.03 0.07 1.50 0.01
 -------- 01:00 0.06 0.03 0.05 1.49 0.01
 -------- 02:00 0.06 0.02 0.06 1.51 0.01
 -------- 03:00 0.06 0.02 0.06 1.50 0.01
 20.11.12 04:00 0.06 0.01 0.06 1.50 0.01
 -------- 05:00 0.06 0.01 0.07 1.51 0.02
 -------- 06:00 0.07 0.01 0.07 1.50 0.02
 -------- 07:00 0.08 0.01 0.07 1.49 0.04
 -------- 08:00 0.11 0.01 0.07 1.51 0.04
 20.11.12 09:00 0.09 0.02 0.07 1.49 0.03
 -------- 10:00 0.09 0.04 0.06 1.52 0.04
 -------- 11:00 0.08 0.05 0.06 1.52 0.04
