 Date Time CO OZ NO2 CHX NO
 13.10.12 00:00 0.08 0.04 0.12 1.44 0.00
 -------- 01:00 0.06 0.06 0.09 1.46 ----
 -------- 02:00 0.05 0.07 0.08 1.45 ----
 -------- 03:00 0.04 0.08 0.07 1.42 ----
 -------- 04:00 0.05 0.06 0.07 1.52 ----
 13.10.12 05:00 0.04 0.08 0.07 1.46 ----
 -------- 06:00 0.05 0.05 0.08 1.47 ----
 -------- 07:00 0.06 0.03 0.08 1.48 0.00
 -------- 08:00 0.06 0.01 0.09 1.55 0.01
 -------- 09:00 0.07 0.02 0.09 1.51 0.01
 13.10.12 10:00 0.06 0.04 0.09 1.49 0.01
 -------- 11:00 0.06 0.04 0.08 1.47 0.02
 -------- 12:00 0.06 0.08 0.06 1.43 0.01
 -------- 13:00 0.06 0.10 0.08 1.42 0.00
 -------- 14:00 0.05 0.12 0.07 1.43 0.00
 13.10.12 15:00 0.06 0.12 0.07 1.43 0.00
 -------- 16:00 0.07 0.10 0.10 1.43 0.00
 -------- 17:00 0.06 0.10 0.10 1.42 0.01
 -------- 18:00 0.09 0.03 0.16 1.49 0.02
 -------- 19:00 0.16 ---- 0.19 1.61 0.11
 13.10.12 20:00 0.22 ---- 0.18 1.68 0.15
 -------- 21:00 0.21 ---- 0.17 1.66 0.14
 -------- 22:00 0.14 ---- 0.16 1.57 0.08
 -------- 23:00 0.10 ---- 0.17 1.54 0.05
 -------- 00:00 0.10 ---- 0.15 1.52 0.02
 14.10.12 01:00 0.11 0.01 0.12 1.52 0.02
 -------- 02:00 0.06 0.01 0.09 1.49 ----
 -------- 03:00 0.06 0.01 0.09 1.50 0.01
 -------- 04:00 0.07 0.01 0.09 1.54 0.03
 -------- 05:00 0.11 ---- 0.10 1.74 0.11
 14.10.12 06:00 0.15 ---- 0.09 1.71 0.17
 -------- 07:00 0.12 ---- 0.09 1.60 0.12
 -------- 08:00 0.15 ---- 0.11 1.66 0.17
 -------- 09:00 0.17 ---- 0.12 1.65 0.16
 -------- 10:00 0.11 0.01 0.14 1.57 0.08
 14.10.12 11:00 0.07 0.05 0.11 1.52 0.03
 -------- 12:00 0.06 0.11 0.10 1.49 0.01
 -------- 13:00 0.07 0.10 0.12 1.47 0.01
 -------- 14:00 0.06 0.10 0.12 1.46 0.01
 -------- 15:00 0.07 0.08 0.13 1.47 0.01
 14.10.12 16:00 0.07 0.09 0.12 1.48 0.01
 -------- 17:00 0.09 0.04 0.15 1.51 0.02
 -------- 18:00 0.11 0.01 0.20 1.70 0.04
 -------- 19:00 0.15 ---- 0.21 1.67 0.06
 -------- 20:00 0.15 ---- 0.19 1.92 0.07
 14.10.12 21:00 0.13 0.01 0.19 1.92 0.04
 -------- 22:00 0.10 0.01 0.17 1.53 0.02
 -------- 23:00 0.11 ---- 0.19 1.54 0.03
