 Date Time CO OZ NO2 CHX NO
 23.10.12 12:00 0.08 0.03 0.19 1.50 0.03
 -------- 13:00 0.08 0.04 0.19 1.51 0.03
 -------- 14:00 0.06 0.03 0.19 1.46 0.02
 -------- 15:00 0.07 0.03 0.19 1.47 0.03
 -------- 16:00 0.07 0.02 0.19 1.49 0.03
 23.10.12 17:00 0.07 0.03 0.19 1.46 0.02
 -------- 18:00 0.06 0.03 0.18 1.46 0.01
 -------- 19:00 0.06 0.07 0.15 1.47 0.01
 -------- 20:00 0.06 0.06 0.15 1.44 0.01
 -------- 21:00 0.08 0.09 0.13 1.44 0.01
 23.10.12 22:00 0.06 0.05 0.16 1.47 0.00
 -------- 23:00 0.07 0.02 0.19 1.46 0.01
 -------- 00:00 0.06 0.01 0.19 1.47 0.01
 -------- 01:00 0.06 0.02 0.20 1.45 0.02
 -------- 02:00 0.06 0.02 0.18 1.46 0.01
 24.10.12 03:00 0.06 0.01 0.18 1.59 0.02
 -------- 04:00 0.06 ---- 0.17 1.69 0.01
 -------- 05:00 0.06 ---- 0.17 1.58 0.03
 -------- 06:00 0.06 0.01 0.18 1.61 0.03
 -------- 07:00 0.08 ---- 0.19 1.59 0.06
 24.10.12 08:00 0.11 ---- 0.18 1.64 0.10
 -------- 09:00 0.10 ---- 0.19 1.66 0.10
 -------- 10:00 0.09 ---- 0.19 1.61 0.09
 -------- 11:00 0.07 0.02 0.16 1.55 0.04
 -------- 12:00 0.05 0.10 0.12 1.51 0.01
 24.10.12 13:00 0.05 0.09 0.11 1.52 0.01
 -------- 14:00 0.06 0.12 0.10 1.49 0.01
 -------- 15:00 0.06 0.11 0.11 1.49 0.01
 -------- 16:00 0.07 0.06 0.13 1.52 0.02
 -------- 17:00 0.06 0.09 0.11 1.54 0.01
 24.10.12 18:00 0.07 0.10 0.13 1.49 0.01
 -------- 19:00 0.09 0.07 0.17 1.48 0.01
 -------- 20:00 0.11 0.01 0.22 1.54 0.05
 -------- 21:00 0.09 0.01 0.20 1.51 0.04
 -------- 22:00 0.09 0.01 0.19 1.49 0.03
 24.10.12 23:00 0.08 0.02 0.17 1.50 0.02
 -------- 00:00 0.06 0.06 0.13 1.46 0.00
 -------- 01:00 0.04 0.08 0.10 1.45 ----
 -------- 02:00 0.04 0.09 0.10 1.45 ----
 -------- 03:00 0.04 0.09 0.09 1.45 ----
 25.10.12 04:00 0.04 0.12 0.07 1.45 ----
 -------- 05:00 0.04 0.11 0.08 1.44 ----
 -------- 06:00 0.05 0.09 0.09 1.44 0.00
 -------- 07:00 0.06 0.07 0.13 1.46 0.01
 -------- 08:00 0.07 0.06 0.13 1.46 0.01
 25.10.12 09:00 0.06 0.10 0.13 1.44 0.01
 -------- 10:00 0.06 0.13 0.12 1.44 0.01
 -------- 11:00 0.06 0.15 0.10 1.44 0.01
