 Date Time CO OZ CHX
 25.12.12 12:00 0.06 0.13 1.62
 -------- 13:00 0.06 0.13 1.62
 -------- 14:00 0.05 0.14 1.62
 -------- 15:00 0.05 0.14 1.64
 -------- 16:00 0.06 0.12 1.65
 25.12.12 17:00 0.06 0.10 1.66
 -------- 18:00 0.06 0.07 1.68
 -------- 19:00 0.06 0.08 1.69
 -------- 20:00 0.06 0.08 1.75
 -------- 21:00 0.06 0.09 1.85
 25.12.12 22:00 0.06 0.10 1.83
 -------- 23:00 0.05 0.12 1.70
 -------- 00:00 0.04 0.15 1.62
 -------- 01:00 0.04 0.15 1.61
 -------- 02:00 0.04 0.17 1.60
 26.12.12 03:00 0.04 0.19 1.60
 -------- 04:00 0.04 0.18 1.60
 -------- 05:00 0.04 0.17 1.61
 -------- 06:00 0.05 0.15 1.62
 -------- 07:00 0.05 0.14 1.63
 26.12.12 08:00 0.07 0.12 1.65
 -------- 09:00 0.08 0.08 1.65
 -------- 10:00 0.07 0.08 1.64
 -------- 11:00 0.06 0.10 1.63
 -------- 12:00 0.06 0.09 1.64
 26.12.12 13:00 0.07 0.07 1.65
 -------- 14:00 0.09 0.06 1.66
 -------- 15:00 0.08 0.03 1.66
 -------- 16:00 0.08 0.02 1.68
 -------- 17:00 0.08 0.03 1.67
 26.12.12 18:00 0.09 0.02 1.68
 -------- 19:00 0.07 0.05 1.63
 -------- 20:00 0.07 0.08 1.61
 -------- 21:00 0.06 0.12 1.57
 -------- 22:00 0.06 0.14 1.57
 26.12.12 23:00 0.06 0.12 1.57
 -------- 00:00 0.05 0.15 1.54
 -------- 01:00 0.05 0.16 1.54
 -------- 02:00 0.04 0.20 1.52
 -------- 03:00 0.05 0.12 1.57
 27.12.12 04:00 0.06 0.05 1.56
 -------- 05:00 0.06 0.06 1.55
 -------- 06:00 0.06 0.02 1.58
 -------- 07:00 0.07 0.05 1.59
 -------- 08:00 0.08 0.04 1.59
 27.12.12 09:00 0.08 0.03 1.58
 -------- 10:00 0.08 0.01 1.59
 -------- 11:00 0.08 0.01 1.62
