 Date Time CO OZ NO2 CHX NO
 06.02.13 00:00 0.09 0.05 0.10 1.54 0.02
 -------- 01:00 0.06 0.11 0.06 1.51 0.01
 -------- 02:00 0.06 0.14 0.04 1.48 0.00
 -------- 03:00 0.05 0.15 0.03 1.47 0.00
 -------- 04:00 0.04 0.17 0.02 1.44 ----
 06.02.13 05:00 0.04 0.14 0.04 1.44 0.00
 -------- 06:00 0.06 0.12 0.06 1.45 0.01
 -------- 07:00 0.07 0.12 0.07 1.47 0.01
 -------- 08:00 0.08 0.07 0.10 1.47 0.01
 -------- 09:00 0.08 0.11 0.09 1.46 0.01
 06.02.13 10:00 0.09 0.13 0.08 1.46 0.01
 -------- 11:00 0.08 0.14 0.07 1.47 0.01
 -------- 12:00 0.08 0.14 0.07 1.46 0.02
 -------- 13:00 0.08 0.13 0.09 1.47 0.02
 -------- 14:00 0.08 0.10 0.12 1.51 0.03
 06.02.13 15:00 0.09 0.11 0.13 1.69 0.03
 -------- 16:00 0.10 0.07 0.18 1.54 0.02
 -------- 17:00 0.11 0.10 0.12 1.54 0.01
 -------- 18:00 0.09 0.08 0.13 1.55 0.01
 -------- 19:00 0.11 0.08 0.12 1.56 0.02
 06.02.13 20:00 0.10 0.06 0.10 1.55 0.02
 -------- 21:00 0.09 0.06 0.10 1.53 0.02
 -------- 22:00 0.10 0.08 0.08 1.51 0.01
 -------- 23:00 0.09 0.09 0.09 1.50 0.01
 -------- 00:00 0.11 0.06 0.10 1.51 0.01
 07.02.13 01:00 0.08 0.04 0.12 1.58 0.01
 -------- 02:00 0.06 0.14 0.06 1.55 ----
 -------- 03:00 0.06 0.19 0.02 1.54 ----
 -------- 04:00 0.06 0.15 0.04 1.51 ----
 -------- 05:00 0.06 0.18 0.01 1.46 ----
 07.02.13 06:00 0.07 0.14 0.04 1.49 ----
 -------- 07:00 0.08 0.10 0.07 1.51 0.00
 -------- 08:00 0.08 0.06 0.09 1.53 0.01
 -------- 09:00 0.10 0.04 0.11 1.54 0.02
 -------- 10:00 0.09 0.05 0.10 1.52 0.02
 07.02.13 11:00 0.09 0.05 0.11 1.52 0.03
 -------- 12:00 0.08 0.11 0.06 1.51 0.02
 -------- 13:00 0.07 0.16 0.06 1.56 0.01
 -------- 14:00 0.08 0.11 0.08 1.53 0.02
 -------- 15:00 0.09 0.10 0.09 1.52 0.02
 07.02.13 16:00 0.08 0.12 0.08 1.49 0.02
 -------- 17:00 0.08 0.09 0.09 1.50 0.02
 -------- 18:00 0.08 0.08 0.09 1.50 0.01
 -------- 19:00 0.07 0.14 0.05 1.48 0.01
 -------- 20:00 0.08 0.15 0.04 1.49 0.01
 07.02.13 21:00 0.07 0.14 0.06 1.49 0.01
 -------- 22:00 0.08 0.13 0.04 1.50 0.00
 -------- 23:00 0.06 0.13 0.03 1.48 0.00
