 Date Time CO OZ NO2 CHX NO
 22.09.12 12:00 0.10 0.06 0.12 1.25 0.04
 -------- 13:00 0.10 0.10 0.12 1.28 0.03
 -------- 14:00 0.10 0.13 0.13 1.24 0.02
 -------- 15:00 0.10 0.13 0.15 1.23 0.02
 -------- 16:00 0.11 0.11 0.17 1.28 0.02
 22.09.12 17:00 0.13 0.09 0.20 1.33 0.01
 -------- 18:00 0.15 0.02 0.26 1.29 0.03
 -------- 19:00 0.13 0.02 0.24 1.14 0.03
 -------- 20:00 0.11 0.03 0.21 1.15 0.02
 -------- 21:00 0.13 ---- 0.23 1.33 0.05
 22.09.12 22:00 0.14 ---- 0.22 1.41 0.06
 -------- 23:00 0.09 0.02 0.19 1.21 0.02
 -------- 00:00 0.07 0.07 0.12 1.16 0.01
 -------- 01:00 0.07 0.05 0.13 1.23 0.03
 -------- 02:00 0.05 0.09 0.10 1.13 ----
 23.09.12 03:00 0.05 0.12 0.08 1.10 0.00
 -------- 04:00 0.11 0.14 0.09 1.14 ----
 -------- 05:00 0.04 0.12 0.09 1.14 0.00
 -------- 06:00 0.06 0.17 0.06 1.13 0.00
 -------- 07:00 0.07 0.11 0.09 1.14 0.00
 23.09.12 08:00 0.07 0.05 0.13 1.11 0.01
 -------- 09:00 0.07 0.09 0.12 1.13 0.01
 -------- 10:00 0.06 0.05 0.15 1.08 0.02
 -------- 11:00 0.06 0.05 0.14 1.10 0.02
 -------- 12:00 0.05 0.05 0.14 0.19 0.02
 23.09.12 13:00 0.02 0.02 0.14 ---- 0.03
 -------- 14:00 ---- 0.01 0.12 ---- 0.03
 -------- 15:00 ---- 0.01 0.09 ---- 0.02
 -------- 16:00 ---- 0.01 0.09 ---- 0.02
 -------- 17:00 ---- 0.01 0.09 ---- 0.02
 23.09.12 18:00 ---- 0.01 0.07 ---- 0.02
 -------- 19:00 ---- ---- 0.07 ---- 0.02
 -------- 20:00 ---- 0.01 0.08 ---- 0.02
 -------- 21:00 ---- 0.05 0.09 ---- 0.01
 -------- 22:00 0.08 0.03 0.12 ---- 0.01
 23.09.12 23:00 0.09 0.04 0.10 ---- 0.01
 -------- 00:00 0.09 0.02 0.11 ---- 0.00
 -------- 01:00 0.09 0.05 0.06 ---- 0.00
 -------- 02:00 0.08 0.09 0.02 ---- ----
 -------- 03:00 0.08 0.09 0.02 ---- ----
 24.09.12 04:00 0.08 0.08 0.02 0.53 ----
 -------- 05:00 0.18 0.09 0.02 1.12 ----
 -------- 06:00 0.27 0.10 0.03 1.01 0.00
 -------- 07:00 0.32 0.05 0.07 0.99 0.01
 -------- 08:00 0.11 0.01 0.11 1.08 0.05
 24.09.12 09:00 0.09 0.03 0.09 1.11 0.02
 -------- 10:00 0.09 0.04 0.08 1.11 0.02
 -------- 11:00 0.09 0.03 0.11 1.19 0.02
