 Date Time CO OZ CHX
 21.12.12 12:00 0.14 0.02 2.10
 -------- 13:00 0.14 0.02 2.13
 -------- 14:00 0.15 0.02 2.22
 -------- 15:00 0.17 0.02 2.27
 -------- 16:00 0.21 0.01 2.28
 21.12.12 17:00 0.17 0.01 2.18
 -------- 18:00 0.23 0.01 2.17
 -------- 19:00 0.20 0.01 2.06
 -------- 20:00 0.17 0.01 1.99
 -------- 21:00 0.13 0.01 1.99
 21.12.12 22:00 0.12 0.01 2.03
 -------- 23:00 0.11 0.01 1.99
 -------- 00:00 0.10 0.01 1.92
 -------- 01:00 0.11 0.01 1.94
 -------- 02:00 0.11 0.01 1.92
 22.12.12 03:00 0.10 0.01 1.91
 -------- 04:00 0.08 ---- 1.88
 -------- 05:00 0.07 ---- 1.86
 -------- 06:00 0.08 ---- 1.84
 -------- 07:00 0.09 ---- 1.86
 22.12.12 08:00 0.09 ---- 1.84
 -------- 09:00 0.09 0.01 1.84
 -------- 10:00 0.09 0.01 1.83
 -------- 11:00 0.08 0.03 1.78
 -------- 12:00 0.08 0.05 1.75
 22.12.12 13:00 0.11 0.04 1.75
 -------- 14:00 0.11 0.04 1.74
 -------- 15:00 0.12 0.03 1.80
 -------- 16:00 0.09 0.02 1.74
 -------- 17:00 0.09 0.01 1.72
 22.12.12 18:00 0.09 0.01 1.72
 -------- 19:00 0.09 0.01 1.74
 -------- 20:00 0.08 ---- 1.71
 -------- 21:00 0.08 0.01 1.67
 -------- 22:00 0.06 ---- 1.66
 22.12.12 23:00 0.07 ---- 1.66
 -------- 00:00 0.06 ---- 1.64
 -------- 01:00 0.06 ---- 1.69
 -------- 02:00 0.06 ---- 1.71
 -------- 03:00 0.06 0.01 1.72
 23.12.12 04:00 0.06 ---- 1.71
 -------- 05:00 0.06 ---- 1.69
 -------- 06:00 0.06 ---- 1.68
 -------- 07:00 0.06 ---- 1.69
 -------- 08:00 0.07 ---- 1.68
 23.12.12 09:00 0.09 0.01 1.71
 -------- 10:00 0.09 0.01 1.76
 -------- 11:00 0.10 0.02 1.79
