 Date Time CO OZ NO2 CHX NO
 27.11.12 00:00 0.07 ---- 0.07 1.54 0.04
 -------- 01:00 0.07 ---- 0.07 1.54 0.03
 -------- 02:00 0.06 0.01 0.06 1.60 0.03
 -------- 03:00 0.06 0.01 0.07 1.60 0.02
 -------- 04:00 0.06 ---- 0.07 1.57 0.03
 27.11.12 05:00 0.06 ---- 0.06 1.56 0.04
 -------- 06:00 0.07 ---- 0.07 1.56 0.05
 -------- 07:00 0.08 ---- 0.06 1.57 0.06
 -------- 08:00 0.09 ---- 0.06 1.56 0.04
 -------- 09:00 0.11 ---- 0.07 1.57 0.06
 27.11.12 10:00 0.09 ---- 0.07 1.56 0.05
 -------- 11:00 0.08 0.01 0.06 1.55 0.06
 -------- 12:00 0.09 0.01 0.06 1.54 0.04
 -------- 13:00 0.08 0.01 0.07 1.55 0.05
 -------- 14:00 0.09 0.02 0.08 1.52 0.04
 27.11.12 15:00 0.11 0.01 0.09 1.54 0.05
 -------- 16:00 0.08 0.01 0.09 1.52 0.04
 -------- 17:00 0.08 0.01 0.08 1.52 0.04
 -------- 18:00 0.08 0.01 0.10 1.54 0.05
 -------- 19:00 0.08 ---- 0.10 1.55 0.05
 27.11.12 20:00 0.09 0.01 0.10 1.54 0.04
 -------- 21:00 0.15 ---- 0.10 1.58 0.06
 -------- 22:00 0.20 0.01 0.11 1.57 0.04
 -------- 23:00 0.07 0.01 0.09 1.53 0.03
 -------- 00:00 0.07 0.03 0.10 1.52 0.03
 28.11.12 01:00 0.06 0.01 0.09 1.51 0.02
 -------- 02:00 0.06 0.01 0.09 1.51 0.02
 -------- 03:00 0.06 0.01 0.08 1.50 0.02
 -------- 04:00 0.05 0.01 0.10 1.50 0.02
 -------- 05:00 0.07 ---- 0.09 1.60 0.04
 28.11.12 06:00 0.11 ---- 0.11 1.66 0.13
 -------- 07:00 0.13 ---- 0.12 1.67 0.13
 -------- 08:00 0.14 ---- 0.14 1.72 0.14
 -------- 09:00 0.17 0.03 0.14 1.71 0.19
 -------- 10:00 0.19 0.03 0.16 1.83 0.23
 28.11.12 11:00 0.16 ---- 0.15 1.71 0.19
 -------- 12:00 0.09 0.01 0.12 1.60 0.07
 -------- 13:00 0.09 ---- 0.13 1.58 0.08
 -------- 14:00 0.12 0.03 0.13 1.60 0.10
 -------- 15:00 0.09 0.01 0.15 1.54 0.06
 28.11.12 16:00 0.09 0.01 0.16 1.56 0.06
 -------- 17:00 0.11 ---- 0.16 1.58 0.08
 -------- 18:00 0.11 0.01 0.12 1.58 0.08
 -------- 19:00 0.08 0.03 0.12 1.55 0.05
 -------- 20:00 0.08 ---- 0.11 1.54 0.04
 28.11.12 21:00 0.08 ---- 0.12 1.52 0.03
 -------- 22:00 0.09 ---- 0.11 1.52 0.02
 -------- 23:00 0.07 ---- 0.11 1.58 0.05
