 Date Time Формальдегид
 -------- 06:00 0.01
 -------- 08:00 0.03
 19.11.12 09:00 0.02
 -------- 11:00 0.03
 -------- 12:00 0.03
 -------- 13:00 0.01
 -------- 15:00 0.02
 19.11.12 16:00 0.03
 -------- 17:00 0.01
 -------- 18:00 0.02
 -------- 19:00 0.01
 -------- 21:00 0.00
 20.11.12 10:00 0.00
 -------- 11:00 0.03
 -------- 12:00 0.02
 -------- 13:00 0.07
 -------- 14:00 0.16
 20.11.12 15:00 0.13
 -------- 16:00 0.11
 -------- 17:00 0.10
 -------- 18:00 0.09
 -------- 19:00 0.07
 20.11.12 20:00 0.12
 -------- 21:00 0.08
 -------- 22:00 0.11
 -------- 23:00 0.07
