 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 14.02.13 00:00 0.01 0.10 0.34 0.42 ---- 0.09 0.00 ----
 -------- 01:00 0.01 0.11 0.37 0.41 ---- 0.08 0.00 ----
 -------- 02:00 0.01 0.11 0.36 0.42 ---- 0.09 0.00 ----
 -------- 03:00 0.01 0.10 0.35 0.42 0.01 0.08 0.00 ----
 -------- 04:00 0.01 0.11 0.30 0.38 ---- 0.09 0.00 ----
 14.02.13 05:00 0.01 0.13 0.31 0.34 0.00 0.08 0.00 ----
 -------- 06:00 0.01 0.13 0.30 0.34 0.00 0.08 0.00 ----
 -------- 07:00 0.01 0.11 0.30 0.36 ---- 0.08 0.00 ----
 -------- 08:00 0.01 0.11 0.30 0.37 ---- 0.09 0.00 ----
 -------- 09:00 0.02 0.12 0.31 0.38 ---- 0.06 0.00 ----
 14.02.13 10:00 0.02 0.14 0.30 0.36 ---- 0.07 0.00 ----
 -------- 11:00 0.01 0.17 0.27 0.35 0.00 0.08 0.00 ----
 -------- 12:00 0.01 0.18 0.31 0.35 0.01 0.07 0.00 ----
 -------- 13:00 0.01 0.19 0.36 0.35 ---- 0.07 0.00 ----
 -------- 14:00 0.01 0.20 0.35 0.35 0.02 0.09 0.00 ----
 14.02.13 15:00 0.01 0.22 0.30 0.34 0.01 0.06 0.00 ----
 -------- 16:00 0.02 0.18 0.33 0.42 0.00 0.07 0.00 0.00
 -------- 17:00 0.02 0.17 0.31 0.45 0.00 0.11 0.00 ----
 -------- 18:00 0.02 0.15 0.32 0.48 ---- 0.29 0.00 ----
 -------- 19:00 0.01 0.13 0.30 0.44 ---- 0.09 0.00 ----
 14.02.13 20:00 0.01 0.13 0.30 0.44 ---- 0.08 0.00 ----
 -------- 21:00 0.02 0.15 0.30 0.43 ---- 0.14 0.00 ----
 -------- 22:00 0.02 0.15 0.28 0.42 0.00 0.10 0.00 ----
 -------- 23:00 0.05 0.13 0.29 0.47 ---- 0.10 0.00 ----
 -------- 00:00 0.08 0.13 0.27 0.47 0.01 0.20 0.00 ----
 15.02.13 01:00 0.12 0.14 0.23 0.45 0.04 0.53 0.00 ----
 -------- 02:00 0.10 0.15 0.23 0.43 0.03 0.46 ---- ----
 -------- 03:00 0.05 0.14 0.23 0.40 0.00 0.07 0.00 ----
 -------- 04:00 0.06 0.15 0.20 0.40 0.01 0.04 0.00 ----
 -------- 05:00 0.06 0.14 0.21 0.39 0.01 0.04 0.00 ----
 15.02.13 06:00 0.20 0.21 0.21 0.40 0.03 0.38 0.00 ----
 -------- 07:00 0.08 0.13 0.23 0.43 0.01 0.06 0.00 ----
 -------- 08:00 0.07 0.14 0.21 0.45 0.01 0.14 0.00 ----
 -------- 09:00 0.05 0.13 0.20 0.47 ---- 0.11 0.00 ----
 -------- 10:00 0.02 0.12 0.22 0.44 ---- 0.24 0.00 ----
 15.02.13 11:00 0.02 0.13 0.25 0.44 ---- 0.31 0.00 ----
 -------- 12:00 0.02 0.12 0.23 0.47 ---- 0.17 0.00 ----
 -------- 13:00 0.02 0.14 0.26 0.45 ---- 0.08 0.00 ----
 -------- 14:00 0.01 0.15 0.31 0.45 ---- 0.09 0.00 ----
 -------- 15:00 0.01 0.16 0.36 0.43 0.00 0.16 0.00 ----
 15.02.13 16:00 0.01 0.15 0.28 0.43 ---- 0.08 0.00 ----
 -------- 17:00 0.01 0.13 0.32 0.52 ---- 0.09 0.00 ----
 -------- 18:00 0.01 0.12 0.32 0.51 ---- 0.09 0.00 ----
 -------- 19:00 0.01 0.11 0.23 0.50 ---- 0.10 0.00 ----
 -------- 20:00 0.02 0.13 0.28 0.47 ---- 0.10 0.00 ----
 15.02.13 21:00 0.02 0.12 0.30 0.48 ---- 0.09 0.00 ----
 -------- 22:00 0.05 0.13 0.28 0.49 0.00 0.15 0.00 ----
 -------- 23:00 0.02 0.11 0.26 0.46 ---- 0.12 0.00 ----
