 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 05.02.13 12:00 0.01 0.18 0.17 0.35 0.01 0.10 0.00 ----
 -------- 13:00 0.01 0.20 0.14 0.30 0.02 0.10 0.00 ----
 -------- 14:00 0.01 0.21 0.20 0.28 0.01 0.09 0.00 ----
 -------- 15:00 0.01 0.21 0.17 0.27 0.01 0.13 0.00 ----
 -------- 16:00 0.01 0.20 0.14 0.26 0.01 0.09 0.00 ----
 05.02.13 17:00 0.01 0.22 0.13 0.27 ---- 0.11 0.00 ----
 -------- 18:00 0.01 0.17 0.16 0.32 0.00 0.11 0.00 ----
 -------- 19:00 0.01 0.19 0.13 0.29 ---- 0.13 0.00 ----
 -------- 20:00 0.01 0.22 0.14 0.22 ---- 0.10 0.00 ----
 -------- 21:00 0.01 0.21 0.15 0.21 0.02 0.10 0.00 ----
 05.02.13 22:00 0.01 0.19 0.13 0.21 0.01 0.11 0.00 ----
 -------- 23:00 0.01 0.12 0.14 0.28 0.01 0.15 0.00 ----
 -------- 00:00 0.01 0.14 0.14 0.25 0.03 0.11 0.00 ----
 -------- 01:00 0.00 0.18 0.14 0.19 0.01 0.10 0.00 ----
 -------- 02:00 0.00 0.20 0.12 0.17 0.02 0.10 0.00 ----
 06.02.13 03:00 0.00 0.19 0.11 0.18 0.02 0.14 0.00 ----
 -------- 04:00 0.00 0.20 0.11 0.17 0.02 0.13 0.00 ----
 -------- 05:00 0.00 0.20 0.11 0.21 0.03 0.10 0.00 ----
 -------- 06:00 0.00 0.17 0.09 0.24 0.01 0.11 0.00 ----
 -------- 07:00 0.00 0.17 0.07 0.25 0.02 0.10 0.00 ----
 06.02.13 08:00 0.00 0.15 0.13 0.29 0.01 0.11 0.00 ----
 -------- 09:00 0.00 0.17 0.16 0.28 0.01 0.11 0.00 ----
 -------- 10:00 0.00 0.21 0.17 0.26 0.02 0.09 0.00 ----
 -------- 11:00 0.00 0.22 0.17 0.22 0.02 0.12 0.00 ----
 -------- 12:00 0.01 0.22 0.12 0.25 0.02 0.18 0.00 ----
 06.02.13 13:00 0.01 0.25 0.11 0.23 0.02 0.13 0.00 ----
 -------- 14:00 0.01 0.22 0.14 0.27 0.02 0.10 0.00 ----
 -------- 15:00 0.01 0.18 0.17 0.36 0.01 0.09 0.00 ----
 -------- 16:00 0.01 0.15 0.20 0.39 0.01 0.14 0.00 ----
 -------- 17:00 0.01 0.20 0.17 0.29 0.01 0.17 0.00 ----
 06.02.13 18:00 0.01 0.20 0.17 0.26 0.01 0.11 0.00 ----
 -------- 19:00 0.01 0.20 0.17 0.23 0.02 0.10 0.00 ----
 -------- 20:00 0.01 0.20 0.12 0.23 0.02 0.10 0.00 ----
 -------- 21:00 0.01 0.20 0.18 0.20 0.02 0.10 0.00 ----
 -------- 22:00 0.01 0.20 0.21 0.20 0.02 0.10 0.00 ----
 06.02.13 23:00 0.01 0.21 0.14 0.22 0.02 0.10 0.00 ----
 -------- 00:00 0.01 0.19 0.12 0.23 0.01 0.10 0.00 ----
 -------- 01:00 0.01 0.17 0.15 0.24 0.01 0.14 0.00 ----
 -------- 02:00 0.01 0.22 0.16 0.21 0.03 0.09 0.00 ----
 -------- 03:00 0.01 0.23 0.19 0.17 0.03 0.14 0.00 ----
 07.02.13 04:00 0.01 0.20 0.17 0.21 0.02 0.10 0.00 ----
 -------- 05:00 0.01 0.19 0.19 0.23 0.02 0.10 0.00 ----
 -------- 06:00 0.01 0.21 0.21 0.20 0.03 0.09 0.00 ----
 -------- 07:00 0.02 0.16 0.21 0.23 0.01 0.10 0.00 ----
 -------- 08:00 0.01 0.19 0.20 0.19 0.01 0.10 0.00 ----
 07.02.13 09:00 0.01 0.19 0.20 0.22 0.02 0.10 0.00 ----
 -------- 10:00 0.01 0.19 0.20 0.19 0.01 0.10 0.00 ----
 -------- 11:00 0.01 0.18 0.25 0.23 0.02 0.15 0.00 ----
