 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 06.03.13 00:00 0.02 0.12 0.26 0.59 ---- 0.07 0.00 ----
 -------- 01:00 0.02 0.12 0.26 0.57 ---- 0.07 0.00 ----
 -------- 02:00 0.02 0.11 0.20 0.59 ---- 0.06 0.00 ----
 -------- 03:00 0.01 0.11 0.26 0.59 ---- 0.06 0.00 ----
 -------- 04:00 0.01 0.12 0.25 0.58 ---- 0.07 0.00 ----
 06.03.13 05:00 0.02 0.12 0.19 0.54 ---- 0.07 0.00 ----
 -------- 06:00 0.02 0.12 0.18 0.52 ---- 0.07 0.00 ----
 -------- 07:00 0.02 0.13 0.21 0.51 ---- 0.06 0.00 ----
 -------- 08:00 0.02 0.11 0.16 0.51 ---- 0.07 0.00 ----
 -------- 09:00 0.02 0.13 0.17 0.50 ---- 0.06 0.00 ----
 06.03.13 10:00 0.02 0.16 0.19 0.48 ---- 0.06 0.00 ----
 -------- 11:00 0.02 0.18 0.15 0.46 ---- 0.06 0.00 ----
 -------- 12:00 0.02 0.19 0.12 0.39 ---- 0.07 0.00 ----
 -------- 13:00 0.02 0.23 0.09 0.40 ---- 0.07 0.00 ----
 -------- 14:00 0.01 0.30 0.04 0.28 ---- 0.13 0.00 ----
 06.03.13 15:00 0.01 0.30 0.02 0.30 ---- 0.08 0.00 ----
 -------- 16:00 0.01 0.35 ---- 0.22 0.01 0.40 0.00 ----
 -------- 17:00 0.01 0.35 0.15 0.22 0.04 0.52 0.00 ----
 -------- 18:00 0.01 0.34 0.16 0.24 0.04 0.40 0.00 ----
 -------- 19:00 0.01 0.33 0.16 0.25 0.04 0.28 0.00 ----
 06.03.13 20:00 0.01 0.32 0.17 0.27 0.04 0.31 0.00 ----
 -------- 21:00 0.02 0.31 0.15 0.25 0.04 0.34 0.00 ----
 -------- 22:00 0.02 0.30 0.11 0.25 0.05 0.41 0.00 ----
 -------- 23:00 0.01 0.30 0.12 0.25 0.04 0.16 0.00 ----
 -------- 00:00 0.01 0.28 0.08 0.28 0.04 0.27 0.00 ----
 07.03.13 01:00 0.01 0.31 0.07 0.23 0.04 0.41 0.00 ----
 -------- 02:00 0.01 0.35 0.10 0.16 0.05 0.44 0.00 ----
 -------- 03:00 0.01 0.40 0.08 0.15 0.04 0.47 0.00 ----
 -------- 04:00 0.01 0.43 0.08 0.14 0.03 0.51 0.00 ----
 -------- 05:00 0.01 0.40 0.07 0.17 0.03 0.49 ---- ----
 07.03.13 06:00 0.01 0.39 0.13 0.18 0.05 0.45 0.00 ----
 -------- 07:00 0.01 0.31 0.17 0.25 ---- 0.36 0.00 ----
 -------- 08:00 0.01 0.26 0.16 0.31 0.04 0.28 0.00 ----
 -------- 09:00 0.01 0.26 0.15 0.28 0.04 0.17 0.00 ----
 -------- 10:00 0.01 0.31 0.35 0.20 ---- 0.36 0.00 ----
 07.03.13 11:00 0.00 0.31 0.42 0.16 0.04 0.39 0.00 ----
 -------- 12:00 0.00 0.30 0.49 0.12 ---- 0.32 0.00 ----
 -------- 13:00 0.00 0.32 0.68 0.11 ---- 0.28 0.00 ----
 -------- 14:00 0.00 0.32 0.81 0.10 ---- 0.34 0.00 ----
 -------- 15:00 0.01 0.32 0.81 0.11 ---- 0.46 0.00 ----
 07.03.13 16:00 0.00 0.35 0.68 0.12 0.05 0.55 ---- ----
 -------- 17:00 0.00 0.33 0.51 0.12 0.05 0.31 0.00 ----
 -------- 18:00 0.00 0.32 0.36 0.18 0.05 0.33 0.00 ----
 -------- 19:00 0.00 0.28 0.30 0.23 0.04 0.23 0.00 ----
 -------- 20:00 0.00 0.28 0.25 0.22 0.03 0.30 0.00 ----
 07.03.13 21:00 0.00 0.22 0.25 0.29 0.03 0.08 0.00 ----
 -------- 22:00 0.00 0.18 0.27 0.34 0.01 0.08 0.00 ----
 -------- 23:00 0.00 0.21 0.23 0.29 0.02 0.09 0.00 ----
