 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 31.03.13 00:00 0.01 0.29 0.48 0.34 ---- 0.11 0.00 0.86 ----
 -------- 01:00 0.01 0.30 0.47 0.25 ---- 0.26 0.00 0.80 ----
 -------- 02:00 0.01 0.28 0.49 0.27 ---- 0.08 0.00 1.26 ----
 -------- 03:00 0.01 0.27 0.47 0.29 ---- 0.07 0.00 0.70 ----
 -------- 04:00 0.01 0.25 0.45 0.31 ---- 0.06 0.00 0.73 ----
 31.03.13 05:00 0.01 0.23 0.46 0.29 ---- 0.05 0.00 0.47 ----
 -------- 06:00 0.01 0.31 0.43 0.19 ---- 0.26 0.00 1.10 ----
 -------- 07:00 0.01 0.28 0.45 0.24 0.02 0.11 0.00 0.80 ----
 -------- 08:00 0.01 0.27 0.46 0.23 0.03 0.19 0.00 1.34 ----
 -------- 09:00 0.01 0.33 0.44 0.17 0.05 0.16 0.00 0.10 ----
 31.03.13 10:00 0.01 0.27 0.42 0.23 0.03 0.07 0.00 1.27 ----
 -------- 11:00 0.01 0.25 0.42 0.22 0.03 0.14 0.00 0.85 ----
 -------- 12:00 0.01 0.27 0.58 0.20 0.04 0.10 0.00 1.23 ----
 -------- 13:00 0.01 0.27 0.63 0.17 0.04 0.05 0.00 1.08 ----
 -------- 14:00 0.01 0.28 0.66 0.15 0.04 0.05 0.00 0.83 ----
 31.03.13 15:00 0.00 0.28 0.70 0.17 0.04 0.05 0.00 1.21 ----
 -------- 16:00 0.00 0.28 0.75 0.18 0.04 0.18 0.00 0.96 ----
 -------- 17:00 0.00 0.32 0.78 0.17 0.04 0.49 0.00 1.05 ----
 -------- 18:00 0.00 0.35 0.75 0.17 0.05 0.55 ---- 0.62 ----
 -------- 19:00 0.00 0.29 0.68 0.24 0.04 0.21 0.00 1.79 ----
 31.03.13 20:00 0.00 0.21 0.68 0.35 0.03 0.06 0.00 0.94 ----
 -------- 21:00 0.00 0.19 0.64 0.36 0.02 0.11 0.00 2.14 ----
 -------- 22:00 0.01 0.14 0.65 0.42 0.01 0.07 0.00 1.51 ----
 -------- 23:00 0.01 0.10 0.63 0.51 0.00 0.09 0.00 1.95 ----
 -------- 00:00 0.01 0.14 0.72 0.46 0.01 0.09 0.00 1.58 ----
 01.04.13 01:00 0.01 0.13 0.72 0.47 ---- 0.13 0.00 2.10 ----
 -------- 02:00 0.01 0.12 0.78 0.46 0.00 0.08 0.00 1.91 ----
 -------- 03:00 0.02 0.11 0.80 0.48 ---- 0.61 0.00 2.05 ----
 -------- 04:00 0.01 0.11 0.80 0.39 ---- 0.08 0.00 1.62 ----
 -------- 05:00 0.01 0.11 0.78 0.37 ---- 0.07 0.00 2.15 ----
 01.04.13 06:00 0.02 0.11 0.74 0.37 ---- 0.09 0.00 2.02 ----
 -------- 07:00 0.02 0.09 0.75 0.36 ---- 0.07 0.00 2.02 ----
 -------- 08:00 0.03 0.13 0.76 0.36 0.01 0.06 0.00 2.26 ----
 -------- 09:00 0.06 0.15 0.78 0.36 ---- 0.13 0.00 1.80 ----
 -------- 10:00 0.04 0.19 0.77 0.30 ---- 0.05 0.00 2.01 ----
 01.04.13 11:00 0.03 0.17 0.68 0.26 ---- 0.06 0.00 1.91 ----
 -------- 12:00 0.04 0.17 0.57 0.29 ---- 0.07 0.00 2.62 ----
 -------- 13:00 0.10 0.17 0.47 0.32 0.04 ---- 0.00 ---- 0.02
 -------- 14:00 0.02 0.23 0.80 0.24 0.02 ---- 0.00 ---- 0.02
 -------- 15:00 0.02 0.26 0.68 0.25 0.02 ---- 0.00 ---- 0.02
 01.04.13 16:00 0.02 0.23 0.69 0.26 0.02 ---- 0.00 ---- 0.02
 -------- 17:00 0.01 0.17 0.70 0.33 0.01 ---- 0.00 ---- 0.02
 -------- 18:00 0.01 0.14 0.73 0.38 0.00 ---- 0.00 ---- 0.02
 -------- 19:00 0.01 0.15 0.79 0.39 ---- ---- 0.00 ---- 0.02
 -------- 20:00 0.01 0.13 0.80 0.42 ---- ---- 0.00 ---- 0.02
 01.04.13 21:00 0.01 0.13 0.84 0.44 ---- ---- 0.00 ---- 0.02
 -------- 22:00 0.01 0.16 0.87 0.41 0.00 ---- 0.00 ---- 0.02
