 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 16.03.13 12:00 0.01 0.14 0.78 0.32 ---- 0.14 0.00 1.01 ----
 -------- 13:00 0.01 0.18 0.76 0.27 0.04 0.25 0.00 1.53 ----
 -------- 14:00 0.01 0.27 1.09 0.12 0.04 0.21 0.00 0.47 ----
 -------- 15:00 0.01 0.26 0.95 0.13 0.04 0.04 0.00 1.21 ----
 -------- 16:00 0.01 0.24 0.90 0.19 0.04 0.04 0.00 1.57 ----
 16.03.13 17:00 0.01 0.23 0.81 0.17 0.03 0.06 0.00 1.42 ----
 -------- 18:00 0.00 0.20 0.75 0.20 0.03 0.07 0.00 1.57 ----
 -------- 19:00 0.00 0.21 0.67 0.21 0.02 0.11 0.00 1.62 ----
 -------- 20:00 0.00 0.19 0.68 0.22 0.03 0.07 0.00 2.30 ----
 -------- 21:00 0.00 0.20 0.66 0.21 0.02 0.07 0.00 1.74 ----
 16.03.13 22:00 0.00 0.17 0.65 0.24 0.01 0.07 0.00 1.99 ----
 -------- 23:00 0.00 0.20 0.64 0.22 0.02 0.07 0.00 1.87 ----
 -------- 00:00 0.00 0.23 0.58 0.20 0.03 0.10 0.00 2.08 ----
 -------- 01:00 0.00 0.26 0.53 0.18 0.03 0.06 0.00 1.66 ----
 -------- 02:00 0.00 0.27 0.48 0.17 0.04 0.05 0.00 2.10 ----
 17.03.13 03:00 0.00 0.29 0.43 0.13 0.04 0.10 0.00 2.09 ----
 -------- 04:00 0.00 0.32 0.36 0.14 0.04 0.38 0.00 1.77 ----
 -------- 05:00 0.01 0.32 0.33 0.13 0.05 0.25 0.00 1.86 ----
 -------- 06:00 0.01 0.31 0.29 0.13 0.05 0.17 0.00 1.63 ----
 -------- 07:00 0.01 0.29 0.26 0.17 0.04 0.10 0.00 1.76 ----
 17.03.13 08:00 0.01 0.29 0.24 0.18 0.04 0.06 0.00 1.10 ----
 -------- 09:00 0.00 0.27 0.26 0.20 0.04 0.14 0.00 1.85 ----
 -------- 10:00 0.00 0.30 0.25 0.18 0.04 0.23 0.00 1.43 ----
 -------- 11:00 0.01 0.30 0.26 0.18 0.04 0.13 0.00 1.83 ----
 -------- 12:00 0.01 0.32 0.25 0.16 0.04 0.17 0.00 0.77 ----
 17.03.13 13:00 0.00 0.32 0.26 0.16 0.04 0.29 0.00 1.76 ----
 -------- 14:00 0.01 0.32 0.26 0.18 0.04 0.25 0.00 0.83 ----
 -------- 15:00 0.01 0.32 0.26 0.17 0.04 0.21 0.00 1.68 ----
 -------- 16:00 0.01 0.30 0.27 0.19 0.04 0.13 0.00 0.76 ----
 -------- 17:00 0.01 0.29 0.24 0.22 0.04 0.15 0.00 1.39 ----
 17.03.13 18:00 0.01 0.25 0.26 0.27 0.03 0.10 0.00 1.22 ----
 -------- 19:00 0.01 0.23 0.30 0.31 0.02 0.08 0.00 1.55 ----
 -------- 20:00 0.01 0.21 0.31 0.32 0.02 0.07 0.00 1.57 ----
 -------- 21:00 0.01 0.24 0.27 0.27 0.02 0.08 0.00 1.72 ----
 -------- 22:00 0.01 0.20 0.28 0.30 0.02 0.08 0.00 1.63 ----
 17.03.13 23:00 0.01 0.24 0.26 0.25 ---- 0.08 0.00 1.55 ----
 -------- 00:00 0.01 0.24 0.26 0.25 ---- 0.07 0.00 1.20 ----
 -------- 01:00 0.01 0.26 0.24 0.25 ---- 0.07 0.00 0.89 ----
 -------- 02:00 0.01 0.18 0.25 0.32 ---- 0.07 0.00 0.50 ----
 -------- 03:00 0.01 0.18 0.27 0.31 ---- 0.07 0.00 1.10 ----
 18.03.13 04:00 0.01 0.17 0.22 0.33 ---- 0.07 0.00 0.81 ----
 -------- 05:00 0.01 0.13 0.22 0.37 ---- 0.08 0.00 1.00 ----
 -------- 06:00 0.01 0.14 0.23 0.38 ---- 0.06 0.00 0.88 ----
 -------- 07:00 0.01 0.10 0.23 0.43 ---- 0.08 0.00 1.20 ----
 -------- 08:00 0.01 0.13 0.22 0.40 ---- 0.07 0.00 0.82 ----
 18.03.13 09:00 0.01 0.16 0.27 0.40 ---- 0.08 0.00 1.55 ----
 -------- 10:00 0.01 0.16 0.30 0.40 ---- 0.07 0.00 0.46 ----
 -------- 11:00 0.01 0.18 0.31 0.40 ---- 0.06 0.00 1.53 ----
