 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 13.12.12 10:00 0.03 0.21 ---- 0.31 0.02 0.06 0.00 ---- 0.00
 -------- 11:00 0.04 0.20 ---- 0.34 0.01 0.05 0.00 ---- 0.00
 -------- 12:00 0.05 0.21 ---- 0.32 0.02 0.04 0.00 ---- ----
 -------- 13:00 0.05 0.22 ---- 0.30 0.03 0.03 0.00 ---- 0.00
 -------- 14:00 0.04 0.27 0.00 0.27 0.03 0.06 0.00 ---- ----
 13.12.12 15:00 0.03 0.28 0.01 0.26 0.02 0.05 0.00 ---- ----
 -------- 16:00 0.03 0.28 0.01 0.25 0.03 0.06 0.00 ---- 0.00
 -------- 17:00 0.03 0.28 0.01 0.24 0.03 0.09 0.00 ---- 0.00
 -------- 18:00 0.02 0.28 0.01 0.22 0.04 0.06 0.00 ---- ----
 -------- 19:00 0.02 0.29 0.01 0.22 0.03 0.06 0.00 ---- ----
 13.12.12 20:00 0.02 0.28 0.01 0.24 0.03 0.07 0.00 ---- ----
 -------- 21:00 0.02 0.26 0.01 0.24 0.03 0.06 0.00 ---- ----
 -------- 22:00 0.02 0.26 0.03 0.21 0.03 0.06 0.00 ---- ----
 -------- 23:00 0.02 0.25 0.01 0.21 0.02 0.06 0.00 ---- ----
 -------- 00:00 0.02 0.27 0.02 0.18 0.03 0.05 0.00 ---- ----
 14.12.12 01:00 0.02 0.28 0.00 0.17 0.03 0.06 0.00 ---- ----
 -------- 02:00 0.02 0.28 ---- 0.17 0.04 0.06 0.00 ---- ----
 -------- 03:00 0.02 0.29 0.01 0.17 0.04 0.05 0.00 ---- ----
 -------- 04:00 0.02 0.29 0.01 0.16 0.04 0.04 0.00 ---- ----
 -------- 05:00 0.03 0.29 0.05 0.17 0.04 0.05 0.00 ---- ----
 14.12.12 06:00 0.02 0.27 0.01 0.20 0.03 0.05 0.00 ---- ----
 -------- 07:00 0.03 0.24 0.03 0.22 0.04 0.06 0.00 ---- ----
 -------- 08:00 0.03 0.24 0.04 0.23 0.02 0.05 0.00 ---- ----
 -------- 09:00 0.03 0.23 0.04 0.23 0.02 0.06 0.00 ---- ----
 -------- 10:00 0.03 0.23 0.03 0.25 0.02 0.04 0.00 ---- ----
 14.12.12 11:00 0.03 0.24 0.02 0.25 0.02 0.05 0.00 ---- ----
 -------- 12:00 0.04 0.26 0.03 0.24 0.03 0.03 0.00 ---- ----
 -------- 13:00 0.04 0.27 0.03 0.24 0.03 0.04 0.00 0.79 ----
 -------- 14:00 0.04 0.23 0.04 0.29 0.02 0.03 0.00 1.47 0.00
 -------- 15:00 0.05 0.21 0.02 0.32 0.02 0.02 0.00 0.66 ----
 14.12.12 16:00 0.05 0.20 0.02 0.35 0.02 0.04 0.00 0.45 ----
 -------- 17:00 0.06 0.19 0.04 0.40 0.02 0.03 0.00 0.43 ----
 -------- 18:00 0.03 0.19 0.04 0.36 0.01 0.04 0.00 0.31 0.01
 -------- 19:00 0.02 0.23 0.02 0.32 0.02 0.04 0.00 0.29 0.01
 -------- 20:00 0.02 0.21 0.02 0.35 0.02 0.06 0.00 0.26 ----
 14.12.12 21:00 0.02 0.24 0.01 0.32 0.03 0.06 0.00 ---- 0.00
 -------- 22:00 0.02 0.17 0.02 0.39 0.01 0.04 0.00 0.71 0.01
 -------- 23:00 0.02 0.21 0.02 0.33 0.01 0.05 0.00 0.87 ----
 -------- 00:00 0.02 0.22 0.00 0.30 0.01 0.06 0.00 0.25 ----
 -------- 01:00 0.02 0.21 0.00 0.28 0.02 0.04 0.00 0.23 0.01
 15.12.12 02:00 0.03 0.18 0.01 0.33 0.01 0.05 0.00 0.37 ----
 -------- 03:00 0.03 0.16 ---- 0.35 0.01 0.04 0.00 0.13 ----
 -------- 04:00 0.02 0.19 ---- 0.30 0.01 0.05 0.00 0.68 ----
 -------- 05:00 0.03 0.18 ---- 0.30 0.01 0.03 0.00 0.24 0.01
 -------- 06:00 0.04 0.19 ---- 0.30 0.01 0.04 0.00 0.59 ----
 15.12.12 07:00 0.04 0.20 ---- 0.30 ---- 0.04 0.00 ---- ----
 -------- 08:00 0.04 0.18 0.02 0.31 ---- 0.03 0.00 0.33 ----
 -------- 09:00 0.04 0.19 0.01 0.33 ---- 0.02 0.00 0.16 ----
