 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 12.11.12 00:00 0.01 0.21 ---- 0.17 0.01 0.10 0.00 1.74 ----
 -------- 01:00 0.01 0.21 ---- 0.14 0.01 0.12 0.00 1.93 ----
 -------- 02:00 0.01 0.23 ---- 0.12 0.02 0.14 0.00 2.07 ----
 -------- 03:00 0.01 0.23 ---- 0.11 0.01 0.11 0.00 1.71 ----
 -------- 04:00 0.01 0.23 ---- 0.12 0.01 0.11 0.00 2.21 ----
 12.11.12 05:00 0.01 0.22 ---- 0.11 0.02 0.10 0.00 1.84 ----
 -------- 06:00 0.01 0.20 ---- 0.14 0.00 0.11 0.00 2.07 ----
 -------- 07:00 0.01 0.16 ---- 0.17 0.01 0.11 0.00 2.01 ----
 -------- 08:00 0.01 0.17 ---- 0.19 0.00 0.12 0.00 1.99 ----
 -------- 09:00 0.01 0.15 ---- 0.20 0.01 0.11 0.00 2.19 ----
 12.11.12 10:00 0.01 0.15 ---- 0.20 0.01 0.12 0.00 1.98 ----
 -------- 11:00 0.01 0.15 ---- 0.21 0.01 0.17 0.00 2.19 ----
 -------- 12:00 0.01 0.14 ---- 0.20 0.01 0.17 0.00 1.78 ----
 -------- 13:00 0.01 0.10 ---- 0.21 0.01 0.18 0.00 2.09 ----
 -------- 14:00 0.01 0.09 ---- 0.21 0.01 0.19 0.00 2.04 ----
 12.11.12 15:00 0.01 0.11 ---- 0.19 0.01 0.17 0.00 1.91 ----
 -------- 16:00 0.01 0.07 ---- 0.21 0.01 0.14 0.00 2.20 ----
 -------- 17:00 0.00 0.07 ---- 0.22 0.00 0.14 0.00 1.96 ----
 -------- 18:00 0.00 0.07 ---- 0.22 0.00 0.18 0.00 2.27 ----
 -------- 19:00 0.01 0.10 ---- 0.19 0.01 0.13 0.00 2.08 ----
 12.11.12 20:00 0.00 0.09 ---- 0.19 0.01 0.18 0.00 2.18 ----
 -------- 21:00 0.00 0.07 ---- 0.21 0.01 0.17 0.00 2.10 ----
 -------- 22:00 0.00 0.11 ---- 0.18 0.01 0.13 0.00 2.00 ----
 -------- 23:00 0.00 0.06 ---- 0.22 0.01 0.18 0.00 2.21 ----
 -------- 00:00 0.00 0.08 ---- 0.21 0.01 0.17 0.00 1.77 ----
 13.11.12 01:00 0.01 0.10 ---- 0.20 0.01 0.18 0.00 2.23 ----
 -------- 02:00 0.00 0.11 ---- 0.18 0.01 0.22 0.00 2.04 ----
 -------- 03:00 0.00 0.12 ---- 0.17 0.01 0.18 0.00 2.12 ----
 -------- 04:00 0.00 0.13 ---- 0.16 0.01 0.18 0.00 2.22 ----
 -------- 05:00 0.00 0.15 ---- 0.14 0.00 0.16 0.00 2.07 ----
 13.11.12 06:00 0.00 0.14 ---- 0.19 0.01 0.17 0.00 2.32 ----
 -------- 07:00 0.00 0.12 ---- 0.20 0.01 0.24 0.00 2.07 ----
 -------- 08:00 0.00 0.12 ---- 0.22 0.01 0.47 ---- 2.27 ----
 -------- 09:00 0.01 0.12 0.02 0.30 0.01 0.17 0.00 2.00 ----
 -------- 10:00 0.01 0.10 0.01 0.29 0.01 0.37 0.00 2.15 ----
 13.11.12 11:00 0.00 0.12 0.03 0.25 0.02 0.18 0.00 2.25 ----
 -------- 12:00 0.01 0.15 0.03 0.22 0.01 0.23 0.00 1.94 ----
 -------- 13:00 0.00 0.15 0.22 0.20 0.02 0.42 0.00 2.35 ----
 -------- 14:00 0.00 0.19 0.24 0.20 0.02 0.10 0.00 2.12 ----
 -------- 15:00 0.00 0.17 0.22 0.20 0.02 0.37 0.00 2.35 ----
 13.11.12 16:00 0.00 0.15 0.21 0.24 0.02 0.28 0.00 2.29 ----
 -------- 17:00 0.00 0.11 0.20 0.27 0.01 0.42 0.00 2.35 ----
 -------- 18:00 0.00 0.12 0.17 0.23 0.01 0.39 0.00 2.45 ----
 -------- 19:00 0.00 0.15 0.18 0.24 0.01 0.11 0.00 2.25 ----
 -------- 20:00 0.00 0.16 0.18 0.23 0.01 0.44 0.00 2.52 ----
 13.11.12 21:00 0.00 0.14 0.17 0.21 0.01 0.15 0.00 2.09 ----
 -------- 22:00 0.00 0.16 0.17 0.19 0.02 0.20 0.00 2.32 ----
 -------- 23:00 0.00 0.19 0.14 0.18 0.01 0.61 ---- 2.23 ----
