 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 01.03.13 00:00 0.00 0.17 0.65 0.24 0.02 0.07 0.00 ----
 -------- 01:00 0.00 0.19 0.65 0.21 0.03 0.11 0.00 ----
 -------- 02:00 0.01 0.19 0.60 0.22 0.02 0.07 0.00 ----
 -------- 03:00 0.01 0.22 0.55 0.19 0.02 0.20 0.00 ----
 -------- 04:00 0.00 0.22 0.56 0.17 0.03 0.06 0.00 ----
 01.03.13 05:00 0.00 0.23 0.55 0.16 0.03 0.07 0.00 ----
 -------- 06:00 0.00 0.22 0.53 0.21 0.02 0.07 0.00 ----
 -------- 07:00 0.00 0.16 0.53 0.26 0.02 0.14 0.00 ----
 -------- 08:00 0.00 0.16 0.55 0.27 0.02 0.08 0.00 ----
 -------- 09:00 0.00 0.14 0.59 0.28 0.01 0.07 0.00 ----
 01.03.13 10:00 0.00 0.17 0.64 0.24 ---- 0.06 0.00 ----
 -------- 11:00 0.00 0.18 0.61 0.23 0.02 0.07 0.00 ----
 -------- 12:00 0.00 0.17 0.64 0.22 0.01 0.06 0.00 ----
 -------- 13:00 0.00 0.20 0.58 0.22 0.02 0.11 0.00 ----
 -------- 14:00 0.00 0.20 0.60 0.20 0.02 0.07 0.00 ----
 01.03.13 15:00 0.00 0.20 0.62 0.20 0.02 0.07 0.00 ----
 -------- 16:00 0.00 0.21 0.64 0.19 0.02 0.06 0.00 ----
 -------- 17:00 0.00 0.22 0.62 0.18 ---- 0.10 0.00 ----
 -------- 18:00 0.00 0.22 0.58 0.20 ---- 0.06 0.00 ----
 -------- 19:00 0.00 0.20 0.58 0.18 ---- 0.11 0.00 ----
 01.03.13 20:00 0.00 0.18 0.56 0.20 ---- 0.07 0.00 ----
 -------- 21:00 0.00 0.19 0.52 0.21 ---- 0.07 0.00 ----
 -------- 22:00 0.00 0.18 0.53 0.21 ---- 0.07 0.00 ----
 -------- 23:00 0.00 0.19 0.43 0.20 0.02 0.08 0.00 ----
 -------- 00:00 0.01 0.14 0.44 0.25 0.01 0.09 0.00 ----
 02.03.13 01:00 0.01 0.16 0.41 0.24 0.02 0.10 0.00 ----
 -------- 02:00 0.01 0.18 0.34 0.23 0.02 0.09 0.00 ----
 -------- 03:00 0.00 0.19 0.30 0.22 0.02 0.16 0.00 ----
 -------- 04:00 0.01 0.24 0.24 0.19 0.03 0.08 0.00 ----
 -------- 05:00 0.01 0.22 0.25 0.19 0.03 0.07 0.00 ----
 02.03.13 06:00 0.01 0.23 0.22 0.19 0.02 0.08 0.00 ----
 -------- 07:00 0.01 0.22 0.20 0.24 0.03 0.07 0.00 ----
 -------- 08:00 0.01 0.22 0.20 0.25 ---- 0.10 0.00 ----
 -------- 09:00 0.01 0.23 0.18 0.25 0.02 0.11 0.00 ----
 -------- 10:00 0.01 0.25 0.16 0.19 ---- 0.09 0.00 ----
 02.03.13 11:00 0.01 0.26 0.16 0.24 0.04 0.09 0.00 ----
 -------- 12:00 0.01 0.30 0.10 0.20 0.04 0.21 0.00 ----
 -------- 13:00 0.01 0.28 0.16 0.23 0.03 0.06 0.00 ----
 -------- 14:00 0.01 0.29 0.13 0.24 0.03 0.07 0.00 ----
 -------- 15:00 0.01 0.28 0.12 0.25 0.03 0.05 0.00 ----
 02.03.13 16:00 0.01 0.29 0.11 0.23 0.02 0.14 0.00 ----
 -------- 17:00 0.01 0.30 0.12 0.24 0.03 0.14 0.00 ----
 -------- 18:00 0.01 0.29 0.13 0.27 0.03 0.10 0.00 ----
 -------- 19:00 0.01 0.22 0.13 0.36 0.01 0.08 0.00 ----
 -------- 20:00 0.01 0.21 0.16 0.36 0.03 0.08 0.00 ----
 02.03.13 21:00 0.01 0.23 0.14 0.34 0.01 0.07 0.00 ----
 -------- 22:00 0.01 0.19 0.17 0.37 0.02 0.08 0.00 ----
 -------- 23:00 0.01 0.15 0.17 0.43 ---- 0.08 0.00 ----
