 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 10.01.13 00:00 0.01 0.23 0.12 0.16 0.02 0.07 0.00 1.85 ----
 -------- 01:00 0.01 0.24 0.07 0.13 0.02 0.06 0.00 1.76 ----
 -------- 02:00 0.01 0.22 0.05 0.13 0.03 0.06 0.00 1.17 ----
 -------- 03:00 0.01 0.24 0.05 0.11 0.03 0.07 0.00 1.67 ----
 -------- 04:00 0.01 0.20 0.07 0.13 0.02 0.07 0.00 1.66 ----
 10.01.13 05:00 0.01 0.21 0.06 0.14 0.03 0.07 0.00 1.83 ----
 -------- 06:00 0.01 0.24 0.07 0.13 0.03 0.07 0.00 1.47 ----
 -------- 07:00 0.01 0.20 0.11 0.20 0.01 0.07 0.00 1.74 ----
 -------- 08:00 0.01 0.18 0.09 0.25 0.01 0.06 0.00 1.15 ----
 -------- 09:00 0.01 0.17 0.09 0.27 0.01 0.09 0.00 1.52 ----
 10.01.13 10:00 0.01 0.17 0.12 0.27 0.02 0.08 0.00 1.12 ----
 -------- 11:00 0.01 0.18 0.10 0.25 0.02 0.08 0.00 1.82 ----
 -------- 12:00 0.01 0.21 0.11 0.24 0.01 0.07 0.00 1.43 ----
 -------- 13:00 0.01 0.21 0.11 0.21 0.02 0.09 0.00 1.69 ----
 -------- 14:00 0.01 0.20 0.09 0.22 0.01 0.07 0.00 1.20 ----
 10.01.13 15:00 0.01 0.21 0.09 0.22 0.02 0.09 0.00 1.62 ----
 -------- 16:00 0.01 0.22 0.10 0.22 0.02 0.06 0.00 1.72 ----
 -------- 17:00 0.01 0.21 0.08 0.21 0.02 0.08 0.00 1.49 ----
 -------- 18:00 0.01 0.19 0.09 0.28 0.01 0.07 0.00 1.56 ----
 -------- 19:00 0.01 0.20 0.08 0.22 0.03 0.08 0.00 1.44 ----
 10.01.13 20:00 0.01 0.22 0.09 0.20 0.01 0.08 0.00 1.74 ----
 -------- 21:00 0.01 0.22 0.08 0.19 0.02 0.08 0.00 1.37 ----
 -------- 22:00 0.02 0.20 0.12 0.23 0.02 0.06 0.00 1.75 ----
 -------- 23:00 0.02 0.21 0.09 0.21 0.02 0.07 0.00 1.63 ----
 -------- 00:00 0.01 0.21 0.09 0.21 0.02 0.07 0.00 1.78 ----
 11.01.13 01:00 0.01 0.22 0.07 0.21 0.03 0.06 0.00 0.87 ----
 -------- 02:00 0.02 0.17 0.11 0.27 0.02 0.06 0.00 1.65 ----
 -------- 03:00 0.01 0.20 0.09 0.22 0.02 0.08 0.00 1.28 ----
 -------- 04:00 0.01 0.19 0.09 0.24 0.03 0.09 0.00 1.69 ----
 -------- 05:00 0.01 0.14 0.11 0.31 0.01 0.07 0.00 1.11 ----
 11.01.13 06:00 0.02 0.12 0.12 0.33 ---- 0.07 0.00 1.31 ----
 -------- 07:00 0.04 0.17 0.16 0.32 ---- 0.18 0.00 1.54 ----
 -------- 08:00 0.03 0.15 0.16 0.35 ---- 0.06 0.00 1.69 ----
 -------- 09:00 0.02 0.14 0.14 0.37 ---- 0.06 0.00 1.46 ----
 -------- 10:00 0.03 0.14 0.15 0.38 ---- 0.06 0.00 1.65 ----
 11.01.13 11:00 0.04 0.16 0.16 0.36 0.02 0.07 0.00 1.46 ----
 -------- 12:00 0.03 0.18 0.15 0.34 0.01 0.05 0.00 1.37 ----
 -------- 13:00 0.06 0.19 0.14 0.33 0.01 0.05 0.00 1.47 ----
 -------- 14:00 0.12 0.20 0.21 0.36 ---- 0.19 0.00 1.64 ----
 -------- 15:00 0.10 0.19 0.20 0.38 ---- 0.20 0.00 1.54 ----
 11.01.13 16:00 0.12 0.18 0.18 0.38 0.03 0.35 0.00 1.73 ----
 -------- 17:00 0.05 0.16 0.23 0.38 ---- 0.18 0.00 1.66 ----
 -------- 18:00 0.04 0.15 0.17 0.36 ---- 0.16 0.00 1.52 ----
 -------- 19:00 0.04 0.14 0.18 0.34 ---- 0.16 0.00 1.75 ----
 -------- 20:00 0.07 0.16 0.16 0.34 ---- 0.09 0.00 1.61 ----
 11.01.13 21:00 0.06 0.14 0.15 0.31 0.02 0.06 0.00 1.70 ----
 -------- 22:00 0.05 0.15 0.14 0.30 0.01 0.07 0.00 1.22 ----
 -------- 23:00 0.04 0.15 0.14 0.30 0.00 0.13 0.00 1.71 ----
