 Date Time Формальдегид
 -------- 16:00 0.03
 -------- 17:00 0.06
 29.10.12 18:00 0.03
 -------- 19:00 0.06
 -------- 20:00 0.05
 -------- 21:00 0.04
 -------- 22:00 0.04
 29.10.12 23:00 0.05
 -------- 00:00 0.03
 -------- 01:00 0.07
 -------- 02:00 0.05
 -------- 03:00 0.06
 30.10.12 04:00 0.03
 -------- 06:00 0.03
 -------- 07:00 0.03
 -------- 08:00 0.03
 -------- 09:00 0.04
 30.10.12 10:00 ----
 -------- 11:00 0.03
 -------- 12:00 0.03
 -------- 13:00 0.04
 -------- 14:00 0.04
 30.10.12 15:00 ----
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.09
 -------- 19:00 0.10
 30.10.12 20:00 0.08
 -------- 21:00 0.16
 -------- 22:00 0.14
 -------- 23:00 0.08
 -------- 00:00 0.04
 31.10.12 01:00 0.05
 -------- 02:00 0.06
 -------- 03:00 ----
 -------- 04:00 0.03
 -------- 05:00 0.03
 31.10.12 06:00 0.04
 -------- 07:00 0.03
 -------- 08:00 0.03
 -------- 09:00 0.04
 -------- 10:00 0.07
 31.10.12 11:00 0.07
