 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 10.02.13 12:00 0.02 0.17 0.18 0.22 0.01 0.09 0.00 ----
 -------- 13:00 0.02 0.15 0.23 0.24 0.00 0.09 0.00 ----
 -------- 14:00 0.01 0.13 0.22 0.24 0.02 0.11 0.00 ----
 -------- 15:00 0.01 0.13 0.24 0.21 0.01 0.10 0.00 ----
 -------- 16:00 0.01 0.15 0.36 0.20 0.01 0.10 0.00 ----
 10.02.13 17:00 0.01 0.12 0.33 0.23 0.01 0.09 0.00 ----
 -------- 18:00 0.01 0.11 0.34 0.26 ---- 0.10 0.00 ----
 -------- 19:00 0.00 0.12 0.35 0.25 ---- 0.10 0.00 ----
 -------- 20:00 0.00 0.12 0.36 0.24 0.00 0.11 0.00 ----
 -------- 21:00 0.01 0.11 0.35 0.24 ---- 0.09 0.00 ----
 10.02.13 22:00 0.00 0.09 0.35 0.25 0.01 0.10 0.00 ----
 -------- 23:00 0.01 0.13 0.31 0.18 0.01 0.09 0.00 ----
 -------- 00:00 0.01 0.15 0.32 0.14 0.01 0.09 0.00 ----
 -------- 01:00 0.01 0.15 0.28 0.14 0.01 0.09 0.00 ----
 -------- 02:00 0.01 0.11 0.24 0.16 0.01 0.10 0.00 ----
 11.02.13 03:00 0.01 0.14 0.24 0.17 0.01 0.09 0.00 ----
 -------- 04:00 0.01 0.17 0.24 0.13 0.02 0.10 0.00 ----
 -------- 05:00 0.01 0.14 0.26 0.17 0.02 0.10 0.00 ----
 -------- 06:00 0.01 0.13 0.24 0.20 0.00 0.10 0.00 ----
 -------- 07:00 0.01 0.09 0.24 0.24 0.00 0.10 0.00 ----
 11.02.13 08:00 0.01 0.09 0.18 0.28 0.00 0.10 0.00 ----
 -------- 09:00 0.01 0.10 0.22 0.32 ---- 0.10 0.00 ----
 -------- 10:00 0.01 0.09 0.21 0.34 ---- 0.10 0.00 ----
 -------- 11:00 0.01 0.09 0.22 0.34 ---- 0.10 0.00 ----
 -------- 12:00 0.01 0.09 0.24 0.36 ---- 0.10 0.00 ----
 11.02.13 13:00 0.01 0.09 0.25 0.34 ---- 0.09 0.00 ----
 -------- 14:00 0.01 0.11 0.25 0.34 ---- 0.10 0.00 ----
 -------- 15:00 0.02 0.10 0.23 0.35 ---- 0.10 0.00 ----
 -------- 16:00 0.02 0.12 0.34 0.35 ---- 0.10 0.00 ----
 -------- 17:00 0.04 0.10 0.29 0.33 ---- 0.12 0.00 ----
 11.02.13 18:00 0.06 0.10 0.36 0.30 0.01 0.09 0.00 ----
 -------- 19:00 0.02 0.10 0.32 0.28 ---- 0.09 0.00 ----
 -------- 20:00 0.03 0.11 0.37 0.26 0.00 0.09 0.00 ----
 -------- 21:00 0.02 0.09 0.34 0.25 ---- 0.09 0.00 ----
 -------- 22:00 0.01 0.10 0.35 0.25 0.00 0.09 0.00 ----
 11.02.13 23:00 0.01 0.10 0.37 0.27 ---- 0.13 0.00 ----
 -------- 00:00 0.05 0.12 0.39 0.27 0.00 0.07 0.00 ----
 -------- 01:00 0.03 0.12 0.40 0.27 0.00 0.08 0.00 ----
 -------- 02:00 0.02 0.14 0.38 0.23 0.00 0.08 0.00 ----
 -------- 03:00 0.02 0.15 0.35 0.27 0.01 0.12 0.00 ----
 12.02.13 04:00 0.02 0.12 0.31 0.30 0.01 0.11 0.00 ----
 -------- 05:00 0.01 0.11 0.34 0.30 0.00 0.09 0.00 ----
 -------- 06:00 0.01 0.09 0.38 0.28 ---- 0.09 0.00 ----
 -------- 07:00 0.01 0.11 0.42 0.26 ---- 0.09 0.00 ----
 -------- 08:00 0.01 0.10 0.41 0.24 0.00 0.10 0.00 ----
 12.02.13 09:00 0.01 0.09 0.42 0.26 ---- 0.14 0.00 ----
 -------- 10:00 0.01 0.11 0.43 0.25 ---- 0.10 0.00 ----
 -------- 11:00 0.01 0.11 0.44 0.27 ---- 0.09 0.00 ----
