 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 03.04.13 12:00 0.01 0.20 1.15 0.36 0.01 ---- 0.00 0.02
 -------- 13:00 0.01 0.20 1.19 0.35 0.01 ---- 0.00 0.02
 -------- 14:00 0.01 0.21 1.16 0.33 0.01 ---- 0.00 0.02
 -------- 15:00 0.01 0.23 1.16 0.32 0.02 ---- 0.00 0.02
 -------- 16:00 0.01 0.26 1.14 0.31 0.02 ---- 0.00 0.02
 03.04.13 17:00 0.01 0.26 1.11 0.32 0.02 ---- 0.00 0.02
 -------- 18:00 0.01 0.27 1.08 0.35 0.02 ---- 0.00 0.02
 -------- 19:00 0.01 0.28 0.92 0.31 0.03 ---- 0.00 0.02
 -------- 20:00 0.01 0.31 0.91 0.32 0.03 ---- 0.00 0.02
 -------- 21:00 0.01 0.31 0.84 0.29 0.03 ---- 0.00 0.02
 03.04.13 22:00 0.01 0.29 0.83 0.31 0.03 ---- 0.00 0.02
 -------- 23:00 0.01 0.20 0.82 0.44 0.00 ---- 0.00 0.02
 -------- 00:00 0.01 0.19 0.75 0.44 0.01 ---- 0.00 0.02
 -------- 01:00 0.01 0.24 0.72 0.34 0.02 ---- 0.00 0.02
 -------- 02:00 0.01 0.24 0.67 0.35 0.02 ---- 0.00 0.02
 04.04.13 03:00 0.01 0.25 0.72 0.34 0.03 ---- 0.00 0.02
 -------- 04:00 0.01 0.25 0.71 0.34 0.02 ---- 0.00 0.02
 -------- 05:00 0.01 0.28 0.67 0.30 0.03 ---- 0.00 0.02
 -------- 06:00 0.01 0.26 0.66 0.33 0.02 ---- 0.00 0.02
 -------- 07:00 0.01 0.24 0.60 0.38 0.02 ---- 0.00 0.02
 04.04.13 08:00 0.02 0.27 0.81 0.37 0.02 ---- 0.00 0.02
 -------- 09:00 0.01 0.32 1.04 0.32 0.03 ---- 0.00 0.02
 -------- 10:00 0.01 0.34 0.99 0.31 0.03 ---- 0.00 0.02
 -------- 11:00 0.01 0.35 0.95 0.33 0.03 ---- 0.00 0.02
 -------- 12:00 0.01 0.40 0.99 0.26 0.04 ---- 0.00 0.02
 04.04.13 13:00 0.01 0.37 0.52 0.25 ---- 0.44 0.00 0.02
 -------- 14:00 0.01 0.33 0.04 0.30 0.00 0.10 0.00 0.02
 -------- 15:00 0.01 0.32 0.02 0.32 0.00 0.03 0.00 0.02
 -------- 16:00 0.01 0.31 0.06 0.32 ---- 0.08 0.00 0.02
 -------- 17:00 0.01 0.34 0.12 0.29 0.01 0.06 0.00 0.02
 04.04.13 18:00 0.01 0.28 0.20 0.35 0.01 0.07 0.00 0.02
 -------- 19:00 0.01 0.29 0.26 0.34 ---- 0.10 0.00 0.02
 -------- 20:00 0.01 0.29 0.30 0.31 0.01 0.06 0.00 0.02
 -------- 21:00 0.01 0.28 0.35 0.32 ---- 0.06 0.00 0.02
 -------- 22:00 0.01 0.18 0.42 0.50 0.01 ---- 0.00 0.02
 04.04.13 23:00 0.01 0.18 0.45 0.49 0.01 ---- 0.00 0.02
 -------- 00:00 0.02 0.19 0.44 0.47 0.00 ---- 0.00 0.02
 -------- 01:00 0.02 0.21 0.43 0.42 0.00 0.07 0.00 0.02
 -------- 02:00 0.03 0.22 0.47 0.44 0.01 0.11 0.00 0.02
 -------- 03:00 0.05 0.19 0.46 0.51 0.01 ---- 0.00 0.02
 05.04.13 04:00 0.05 0.17 0.46 0.52 ---- 0.11 ---- 0.02
 -------- 05:00 0.03 0.18 0.43 0.46 ---- ---- 0.00 0.02
 -------- 06:00 0.04 0.17 0.48 0.52 0.01 0.16 0.00 0.02
 -------- 07:00 0.06 0.16 0.53 0.57 0.01 0.06 0.00 0.03
 -------- 08:00 0.07 0.17 0.56 0.59 0.00 0.06 0.00 0.02
 05.04.13 09:00 0.11 0.16 0.54 0.64 0.01 0.11 0.00 0.02
 -------- 10:00 0.16 0.14 0.46 0.67 0.01 0.06 0.00 0.02
 -------- 11:00 0.16 0.16 0.40 0.67 0.01 0.10 0.00 0.03
