 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 12.02.13 00:00 0.05 0.12 0.39 0.26 0.00 0.07 0.00 ----
 -------- 01:00 0.03 0.12 0.40 0.27 0.00 0.08 0.00 ----
 -------- 02:00 0.02 0.14 0.38 0.23 0.00 0.08 0.00 ----
 -------- 03:00 0.02 0.15 0.35 0.27 0.01 0.12 0.00 ----
 -------- 04:00 0.02 0.12 0.31 0.30 0.01 0.11 0.00 ----
 12.02.13 05:00 0.01 0.11 0.34 0.30 0.00 0.09 0.00 ----
 -------- 06:00 0.01 0.09 0.38 0.28 ---- 0.09 0.00 ----
 -------- 07:00 0.01 0.11 0.42 0.26 ---- 0.09 0.00 ----
 -------- 08:00 0.01 0.10 0.41 0.24 0.00 0.10 0.00 ----
 -------- 09:00 0.01 0.09 0.42 0.26 ---- 0.14 0.00 ----
 12.02.13 10:00 0.01 0.11 0.43 0.25 ---- 0.10 0.00 ----
 -------- 11:00 0.01 0.11 0.44 0.27 ---- 0.09 0.00 ----
 -------- 12:00 0.01 0.15 0.44 0.27 0.01 0.09 0.00 ----
 -------- 13:00 0.01 0.20 0.41 0.27 0.02 0.07 0.00 ----
 -------- 14:00 0.01 0.18 0.44 0.31 0.01 0.08 0.00 ----
 12.02.13 15:00 0.01 0.19 0.42 0.29 0.01 0.08 0.00 ----
 -------- 16:00 0.01 0.21 0.42 0.26 0.02 0.07 0.00 ----
 -------- 17:00 0.01 0.23 0.40 0.25 0.02 0.07 0.00 ----
 -------- 18:00 0.01 0.22 0.40 0.24 0.03 0.12 0.00 ----
 -------- 19:00 0.01 0.20 0.41 0.27 0.01 0.08 0.00 ----
 12.02.13 20:00 0.01 0.18 0.44 0.29 0.01 0.09 0.00 ----
 -------- 21:00 0.01 0.15 0.42 0.33 0.01 0.09 0.00 ----
 -------- 22:00 0.01 0.16 0.39 0.30 0.01 0.09 0.00 ----
 -------- 23:00 0.01 0.15 0.38 0.31 0.01 0.10 0.00 ----
 -------- 00:00 0.01 0.16 0.40 0.31 0.01 0.08 0.00 ----
 13.02.13 01:00 0.01 0.17 0.40 0.31 0.01 0.09 0.00 ----
 -------- 02:00 0.02 0.14 0.38 0.31 0.01 0.08 0.00 ----
 -------- 03:00 0.01 0.14 0.40 0.30 0.00 0.18 0.00 ----
 -------- 04:00 0.02 0.14 0.38 0.30 0.01 0.09 0.00 ----
 -------- 05:00 0.01 0.13 0.36 0.31 ---- 0.10 0.00 ----
 13.02.13 06:00 0.02 0.13 0.37 0.34 0.00 0.07 0.00 ----
 -------- 07:00 0.02 0.13 0.37 0.37 0.01 0.08 0.00 ----
 -------- 08:00 0.05 0.12 0.34 0.38 0.00 0.06 0.00 ----
 -------- 09:00 0.11 0.15 0.39 0.40 0.01 0.29 0.00 ----
 -------- 10:00 0.10 0.14 0.38 0.44 0.02 0.28 0.00 ----
 13.02.13 11:00 0.04 0.12 0.39 0.45 ---- 0.10 0.00 ----
 -------- 12:00 0.07 0.16 0.41 0.38 0.01 0.14 0.00 ----
 -------- 13:00 0.09 0.19 0.40 0.40 0.02 0.21 0.00 ----
 -------- 14:00 0.03 0.17 0.43 0.40 0.01 0.07 0.00 ----
 -------- 15:00 0.02 0.15 0.40 0.38 0.01 0.08 0.00 ----
 13.02.13 16:00 0.02 0.15 0.41 0.39 0.00 0.09 0.00 ----
 -------- 17:00 0.03 0.13 0.44 0.43 ---- 0.06 0.00 ----
 -------- 18:00 0.03 0.12 0.45 0.47 ---- 0.07 0.00 ----
 -------- 19:00 0.03 0.10 0.40 0.49 ---- 0.06 0.00 ----
 -------- 20:00 0.02 0.11 0.42 0.45 ---- 0.13 0.00 ----
 13.02.13 21:00 0.01 0.17 0.37 0.35 0.01 0.08 0.00 ----
 -------- 22:00 0.01 0.16 0.39 0.35 0.01 0.08 0.00 ----
 -------- 23:00 0.01 0.14 0.35 0.37 ---- 0.07 0.00 ----
