 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 07.11.12 12:00 0.00 0.17 0.11 0.17 0.02 0.36 0.00 1.80 ----
 -------- 13:00 0.00 0.19 0.13 0.18 0.02 0.37 0.00 2.16 ----
 -------- 14:00 0.00 0.18 0.14 0.17 0.02 0.15 0.00 1.46 ----
 -------- 15:00 0.00 0.16 0.15 0.17 0.02 0.40 0.00 2.11 ----
 -------- 16:00 0.00 0.18 0.14 0.16 0.02 0.42 0.00 1.97 ----
 07.11.12 17:00 0.01 0.15 0.11 0.20 0.01 0.32 0.00 1.97 ----
 -------- 18:00 0.01 0.12 0.10 0.25 0.00 0.16 0.00 2.03 ----
 -------- 19:00 0.00 0.16 0.07 0.18 0.01 0.12 0.00 1.84 ----
 -------- 20:00 0.00 0.18 0.06 0.17 0.03 0.42 0.00 2.08 ----
 -------- 21:00 0.00 0.20 0.04 0.13 0.04 0.49 ---- 1.77 ----
 07.11.12 22:00 0.00 0.20 0.04 0.14 0.04 0.28 0.00 1.95 ----
 -------- 23:00 0.00 0.20 0.04 0.12 0.04 0.30 0.00 1.74 ----
 -------- 00:00 0.01 0.21 0.03 0.12 0.05 0.39 0.00 1.71 ----
 -------- 01:00 0.01 0.23 0.04 0.11 0.04 0.18 0.00 2.04 ----
 -------- 02:00 0.00 0.21 0.05 0.10 0.01 0.22 0.00 1.28 ----
 08.11.12 03:00 0.00 0.18 0.05 0.12 0.00 0.27 0.00 2.00 ----
 -------- 04:00 0.00 0.14 0.05 0.14 0.01 0.21 0.00 1.79 ----
 -------- 05:00 0.00 0.13 0.04 0.15 0.01 0.25 0.00 1.86 ----
 -------- 06:00 0.00 0.15 0.04 0.15 0.01 0.12 0.00 1.81 ----
 -------- 07:00 0.00 0.09 0.01 0.21 0.01 0.30 0.00 1.82 ----
 08.11.12 08:00 0.00 0.12 0.01 0.23 0.01 0.18 0.00 1.96 ----
 -------- 09:00 0.00 0.11 ---- 0.27 0.01 0.12 0.00 1.56 ----
 -------- 10:00 0.00 0.13 0.02 0.25 0.01 0.18 0.00 1.94 ----
 -------- 11:00 0.00 0.13 0.00 0.24 0.01 0.17 0.00 1.51 ----
 -------- 12:00 0.01 0.15 0.06 0.23 0.01 0.19 0.00 1.83 ----
 08.11.12 13:00 0.00 0.12 0.05 0.28 0.01 0.12 0.00 1.95 ----
 -------- 14:00 0.00 0.13 0.01 0.28 0.01 0.11 0.00 1.73 ----
 -------- 15:00 0.00 0.14 ---- 0.25 0.01 0.12 0.00 1.93 ----
 -------- 16:00 0.00 0.13 0.01 0.27 0.01 0.17 0.00 1.71 ----
 -------- 17:00 0.00 0.13 0.01 0.28 0.01 0.17 0.00 1.93 ----
 08.11.12 18:00 0.00 0.12 0.02 0.31 0.01 0.11 0.00 1.62 ----
 -------- 19:00 0.00 0.11 ---- 0.29 0.01 0.16 0.00 1.71 ----
 -------- 20:00 0.00 0.13 ---- 0.25 0.01 0.16 0.00 1.79 ----
 -------- 21:00 0.00 0.12 ---- 0.27 0.01 0.22 0.00 1.51 ----
 -------- 22:00 0.00 0.10 ---- 0.26 0.01 0.18 0.00 2.00 ----
 08.11.12 23:00 0.00 0.12 ---- 0.26 0.01 0.12 0.00 1.57 ----
 -------- 00:00 0.01 0.14 0.01 0.26 0.01 0.16 0.00 1.85 ----
 -------- 01:00 0.01 0.12 0.01 0.26 0.01 0.11 0.00 1.85 ----
 -------- 02:00 0.01 0.19 0.01 0.17 0.02 0.10 0.00 1.58 ----
 -------- 03:00 0.00 0.17 0.00 0.17 0.01 0.10 0.00 1.84 ----
 09.11.12 04:00 0.01 0.18 0.01 0.17 0.01 0.14 0.00 1.50 ----
 -------- 05:00 0.01 0.13 0.02 0.22 0.01 0.10 0.00 1.87 ----
 -------- 06:00 0.01 0.12 0.05 0.25 0.01 0.10 0.00 1.48 ----
 -------- 07:00 0.01 0.11 0.05 0.28 ---- 0.11 0.00 1.92 ----
 -------- 08:00 0.01 0.09 0.02 0.29 0.01 0.10 0.00 1.67 ----
 09.11.12 09:00 0.01 0.09 0.02 0.30 ---- 0.11 0.00 1.64 ----
 -------- 10:00 0.01 0.11 0.05 0.31 ---- 0.12 0.00 2.02 ----
