 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 01.04.13 12:00 0.05 0.17 0.56 0.31 ---- 0.06 0.00 ----
 -------- 13:00 0.10 0.17 0.47 0.32 0.04 ---- 0.00 0.02
 -------- 14:00 0.02 0.23 0.80 0.24 0.02 ---- 0.00 0.02
 -------- 15:00 0.02 0.26 0.68 0.25 0.02 ---- 0.00 0.02
 -------- 16:00 0.02 0.23 0.69 0.26 0.02 ---- 0.00 0.02
 01.04.13 17:00 0.01 0.17 0.70 0.33 0.01 ---- 0.00 0.02
 -------- 18:00 0.01 0.14 0.73 0.38 0.00 ---- 0.00 0.02
 -------- 19:00 0.01 0.15 0.79 0.39 ---- ---- 0.00 0.02
 -------- 20:00 0.01 0.13 0.80 0.42 ---- ---- 0.00 0.02
 -------- 21:00 0.01 0.13 0.84 0.44 ---- ---- 0.00 0.02
 01.04.13 22:00 0.01 0.16 0.87 0.41 0.00 ---- 0.00 0.02
 -------- 23:00 0.01 0.27 0.92 0.28 0.04 ---- 0.00 0.02
 -------- 00:00 0.01 0.32 0.94 0.20 0.04 ---- 0.00 0.02
 -------- 01:00 0.01 0.34 1.00 0.16 0.03 ---- 0.00 0.02
 -------- 02:00 0.01 0.32 1.04 0.18 0.04 ---- 0.00 0.02
 02.04.13 03:00 0.01 0.29 1.21 0.22 0.03 ---- 0.00 0.02
 -------- 04:00 0.01 0.29 1.13 0.22 0.03 ---- 0.00 0.02
 -------- 05:00 0.01 0.22 1.24 0.28 0.02 ---- 0.00 0.02
 -------- 06:00 0.01 0.14 1.21 0.38 0.01 ---- 0.00 0.03
 -------- 07:00 0.00 0.19 1.13 0.26 0.01 ---- 0.00 0.02
 02.04.13 08:00 0.01 0.20 1.11 0.25 0.01 ---- 0.00 0.02
 -------- 09:00 0.01 0.23 1.13 0.25 0.02 ---- 0.00 0.02
 -------- 10:00 0.01 0.25 1.26 0.20 0.01 ---- 0.00 0.02
 -------- 11:00 0.01 0.27 1.17 0.20 0.03 ---- 0.00 0.02
 -------- 12:00 0.01 0.33 1.27 0.15 0.04 ---- 0.00 0.02
 02.04.13 13:00 0.01 0.32 1.22 0.20 0.04 ---- 0.00 0.02
 -------- 14:00 0.01 0.33 1.32 0.14 ---- ---- 0.00 ----
 -------- 15:00 0.01 0.33 1.30 0.19 ---- ---- 0.00 ----
 -------- 16:00 0.01 0.33 1.30 0.22 0.04 ---- 0.00 0.02
 -------- 17:00 0.01 0.35 1.24 0.24 0.04 ---- 0.00 0.02
 02.04.13 18:00 0.01 0.37 1.21 0.22 0.04 ---- 0.00 0.02
 -------- 19:00 0.01 0.35 1.11 0.23 0.04 ---- 0.00 0.02
 -------- 20:00 0.01 0.33 1.07 0.23 0.04 ---- 0.00 0.02
 -------- 21:00 0.00 0.29 1.05 0.30 0.02 ---- 0.00 0.02
 -------- 22:00 0.01 0.35 0.95 0.24 0.04 ---- 0.00 0.02
 02.04.13 23:00 0.01 0.28 0.93 0.30 0.03 ---- 0.00 0.02
 -------- 00:00 0.01 0.28 0.88 0.32 0.03 ---- 0.00 0.02
 -------- 01:00 0.01 0.32 0.92 0.26 0.03 ---- 0.00 0.02
 -------- 02:00 0.01 0.32 0.89 0.27 0.04 ---- 0.00 0.02
 -------- 03:00 0.01 0.31 0.92 0.26 0.04 ---- 0.00 0.02
 03.04.13 04:00 0.01 0.29 0.97 0.30 0.03 ---- 0.00 0.02
 -------- 05:00 0.01 0.27 0.88 0.32 0.03 ---- 0.00 0.02
 -------- 06:00 0.01 0.23 0.96 0.33 0.02 ---- 0.00 0.02
 -------- 07:00 0.01 0.17 0.88 0.41 0.01 ---- 0.00 0.02
 -------- 08:00 0.01 0.19 0.96 0.38 0.01 ---- 0.00 0.02
 03.04.13 09:00 0.01 0.24 0.99 0.37 0.01 ---- 0.00 0.02
 -------- 10:00 0.01 0.22 1.01 0.37 0.01 ---- 0.00 0.02
 -------- 11:00 0.01 0.20 1.11 0.40 0.00 ---- 0.00 0.02
