 Date Time Формальдегид
 -------- 16:00 0.09
 -------- 17:00 0.03
 25.10.12 18:00 0.11
 -------- 19:00 0.07
 -------- 20:00 0.09
 -------- 21:00 0.12
 -------- 22:00 0.11
 25.10.12 23:00 0.12
 -------- 00:00 0.10
 -------- 01:00 0.10
 -------- 02:00 0.12
 -------- 03:00 0.10
 26.10.12 04:00 0.12
 -------- 05:00 0.10
 -------- 06:00 0.09
 -------- 07:00 0.09
 -------- 08:00 0.07
 26.10.12 09:00 0.06
 -------- 10:00 0.10
 -------- 11:00 0.09
 -------- 12:00 0.04
 -------- 13:00 0.07
 26.10.12 14:00 0.15
 -------- 15:00 0.10
 -------- 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.10
 26.10.12 19:00 0.06
 -------- 20:00 0.06
 -------- 21:00 0.03
 -------- 22:00 0.03
 -------- 23:00 0.06
 27.10.12 00:00 0.04
 -------- 01:00 0.06
 -------- 02:00 0.03
 -------- 03:00 ----
 -------- 04:00 0.03
 27.10.12 05:00 ----
 -------- 06:00 0.03
 -------- 09:00 0.06
 -------- 10:00 0.03
 -------- 11:00 0.03
