 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 25.02.13 12:00 0.01 0.27 0.18 0.30 0.03 0.07 0.00 ----
 -------- 13:00 0.01 0.27 0.32 0.26 0.02 0.17 0.00 ----
 -------- 14:00 0.01 0.27 0.66 0.23 0.04 0.03 0.00 ----
 -------- 15:00 0.01 0.31 0.74 0.21 0.04 0.17 0.00 ----
 -------- 16:00 0.01 0.32 0.69 0.22 0.04 0.40 0.00 ----
 25.02.13 17:00 0.01 0.29 0.66 0.23 0.04 0.31 0.00 ----
 -------- 18:00 0.01 0.24 0.64 0.31 0.03 0.10 0.00 ----
 -------- 19:00 0.01 0.19 0.62 0.40 0.02 0.07 0.00 ----
 -------- 20:00 0.01 0.17 0.52 0.39 0.02 0.06 0.00 ----
 -------- 21:00 0.01 0.20 0.48 0.35 0.03 0.06 0.00 ----
 25.02.13 22:00 0.01 0.18 0.43 0.37 0.02 0.06 0.00 ----
 -------- 23:00 0.01 0.18 0.39 0.38 0.02 0.07 0.00 ----
 -------- 00:00 0.01 0.19 0.39 0.38 0.01 0.07 0.00 ----
 -------- 01:00 0.01 0.19 0.36 0.40 0.01 0.11 0.00 ----
 -------- 02:00 0.01 0.16 0.34 0.42 0.01 0.07 0.00 ----
 26.02.13 03:00 0.01 0.17 0.31 0.42 0.01 0.07 0.00 ----
 -------- 04:00 0.01 0.17 0.29 0.40 0.01 0.08 0.00 ----
 -------- 05:00 0.01 0.15 0.31 0.46 0.01 0.08 0.00 ----
 -------- 06:00 0.01 0.12 0.30 0.47 0.00 0.09 0.00 ----
 -------- 07:00 0.02 0.10 0.30 0.55 ---- 0.07 0.00 ----
 26.02.13 08:00 0.01 0.10 0.33 0.56 ---- 0.09 0.00 ----
 -------- 09:00 0.01 0.12 0.35 0.54 ---- 0.08 0.00 ----
 -------- 10:00 0.01 0.15 0.31 0.48 0.00 0.08 0.00 ----
 -------- 11:00 0.01 0.19 0.29 0.45 0.02 0.12 0.00 ----
 -------- 12:00 0.01 0.26 0.32 0.33 0.03 0.07 0.00 ----
 26.02.13 13:00 0.01 0.30 0.52 0.27 0.04 0.21 0.00 ----
 -------- 14:00 0.01 0.27 0.72 0.28 ---- 0.15 0.00 ----
 -------- 15:00 0.01 0.30 0.88 0.20 ---- 0.12 0.00 ----
 -------- 16:00 0.01 0.30 0.89 0.15 0.04 0.19 0.00 ----
 -------- 17:00 0.01 0.27 0.82 0.21 0.05 0.12 0.00 ----
 26.02.13 18:00 0.01 0.25 0.73 0.27 0.04 0.09 0.00 ----
 -------- 19:00 0.01 0.23 0.70 0.28 0.04 0.04 0.00 ----
 -------- 20:00 0.01 0.21 0.65 0.29 0.02 0.05 0.00 ----
 -------- 21:00 0.01 0.21 0.61 0.30 0.02 0.06 0.00 ----
 -------- 22:00 0.01 0.24 0.57 0.26 0.04 0.10 0.00 ----
 26.02.13 23:00 0.01 0.25 0.56 0.24 0.04 0.09 0.00 ----
 -------- 00:00 0.01 0.25 0.56 0.23 0.04 0.09 0.00 ----
 -------- 01:00 0.01 0.28 0.56 0.20 0.04 0.13 0.00 ----
 -------- 02:00 0.01 0.29 0.53 0.18 0.05 0.17 0.00 ----
 -------- 03:00 0.01 0.29 0.54 0.16 0.05 0.08 0.00 ----
 27.02.13 04:00 0.01 0.30 0.52 0.13 0.05 0.08 0.00 ----
 -------- 05:00 0.01 0.32 0.49 0.14 0.05 0.25 0.00 ----
 -------- 06:00 0.01 0.28 0.47 0.20 0.05 0.09 0.00 ----
 -------- 07:00 0.01 0.24 0.46 0.27 0.04 0.06 0.00 ----
 -------- 08:00 0.01 0.23 0.46 0.26 0.03 0.05 0.00 ----
 27.02.13 09:00 0.01 0.23 0.48 0.30 0.03 0.06 0.00 ----
 -------- 10:00 0.01 0.22 0.51 0.29 0.03 0.06 0.00 ----
 -------- 11:00 0.01 0.22 0.51 0.30 0.02 0.07 0.00 ----
