 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 16.03.13 00:00 0.02 0.10 0.54 0.41 ---- 0.10 0.00 1.99 ----
 -------- 01:00 0.02 0.11 0.50 0.41 ---- 0.10 0.00 1.08 ----
 -------- 02:00 0.01 0.11 0.42 0.38 ---- 0.11 0.00 1.66 ----
 -------- 03:00 0.01 0.08 0.43 0.38 ---- 0.11 0.00 1.17 ----
 -------- 04:00 0.01 0.09 0.47 0.36 ---- 0.11 0.00 1.66 ----
 16.03.13 05:00 0.02 0.10 0.50 0.34 ---- 0.09 0.00 1.11 ----
 -------- 06:00 0.04 0.10 0.59 0.36 ---- 0.09 0.00 2.05 ----
 -------- 07:00 0.04 0.11 0.57 0.35 ---- 0.06 0.00 1.71 ----
 -------- 08:00 0.03 0.11 0.58 0.34 ---- 0.08 0.00 2.03 ----
 -------- 09:00 0.02 0.10 0.62 0.36 ---- 0.17 0.00 1.56 ----
 16.03.13 10:00 0.02 0.11 0.62 0.34 ---- 0.07 0.00 ---- ----
 -------- 11:00 0.02 0.12 0.66 0.36 ---- 0.19 0.00 1.74 ----
 -------- 12:00 0.01 0.13 0.75 0.33 ---- 0.12 0.00 1.25 ----
 -------- 13:00 0.01 0.18 0.76 0.27 0.04 0.25 0.00 1.53 ----
 -------- 14:00 0.01 0.27 1.09 0.12 0.04 0.21 0.00 0.47 ----
 16.03.13 15:00 0.01 0.26 0.95 0.13 0.04 0.04 0.00 1.21 ----
 -------- 16:00 0.01 0.24 0.90 0.19 0.04 0.04 0.00 1.57 ----
 -------- 17:00 0.01 0.23 0.81 0.17 0.03 0.06 0.00 1.42 ----
 -------- 18:00 0.00 0.20 0.75 0.20 0.03 0.07 0.00 1.57 ----
 -------- 19:00 0.00 0.21 0.67 0.21 0.02 0.11 0.00 1.62 ----
 16.03.13 20:00 0.00 0.19 0.68 0.22 0.03 0.07 0.00 2.30 ----
 -------- 21:00 0.00 0.20 0.66 0.21 0.02 0.07 0.00 1.74 ----
 -------- 22:00 0.00 0.17 0.65 0.24 0.01 0.07 0.00 1.99 ----
 -------- 23:00 0.00 0.20 0.64 0.22 0.02 0.07 0.00 1.87 ----
 -------- 00:00 0.00 0.23 0.58 0.20 0.03 0.10 0.00 2.08 ----
 17.03.13 01:00 0.00 0.26 0.53 0.18 0.03 0.06 0.00 1.66 ----
 -------- 02:00 0.00 0.27 0.48 0.17 0.04 0.05 0.00 2.10 ----
 -------- 03:00 0.00 0.29 0.43 0.13 0.04 0.10 0.00 2.09 ----
 -------- 04:00 0.00 0.32 0.36 0.14 0.04 0.38 0.00 1.77 ----
 -------- 05:00 0.01 0.32 0.33 0.13 0.05 0.25 0.00 1.86 ----
 17.03.13 06:00 0.01 0.31 0.29 0.13 0.05 0.17 0.00 1.63 ----
 -------- 07:00 0.01 0.29 0.26 0.17 0.04 0.10 0.00 1.76 ----
 -------- 08:00 0.01 0.29 0.24 0.18 0.04 0.06 0.00 1.10 ----
 -------- 09:00 0.00 0.27 0.26 0.20 0.04 0.14 0.00 1.85 ----
 -------- 10:00 0.00 0.30 0.25 0.18 0.04 0.23 0.00 1.43 ----
 17.03.13 11:00 0.01 0.30 0.26 0.18 0.04 0.13 0.00 1.83 ----
 -------- 12:00 0.01 0.32 0.25 0.16 0.04 0.17 0.00 0.77 ----
 -------- 13:00 0.00 0.32 0.26 0.16 0.04 0.29 0.00 1.76 ----
 -------- 14:00 0.01 0.32 0.26 0.18 0.04 0.25 0.00 0.83 ----
 -------- 15:00 0.01 0.32 0.26 0.17 0.04 0.21 0.00 1.68 ----
 17.03.13 16:00 0.01 0.30 0.27 0.19 0.04 0.13 0.00 0.76 ----
 -------- 17:00 0.01 0.29 0.24 0.22 0.04 0.15 0.00 1.39 ----
 -------- 18:00 0.01 0.25 0.26 0.27 0.03 0.10 0.00 1.22 ----
 -------- 19:00 0.01 0.23 0.30 0.31 0.02 0.08 0.00 1.55 ----
 -------- 20:00 0.01 0.21 0.31 0.32 0.02 0.07 0.00 1.57 ----
 17.03.13 21:00 0.01 0.24 0.27 0.27 0.02 0.08 0.00 1.72 ----
 -------- 22:00 0.01 0.20 0.28 0.30 0.02 0.08 0.00 1.63 ----
 -------- 23:00 0.01 0.24 0.26 0.25 ---- 0.08 0.00 1.55 ----
