 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 24.10.12 23:00 0.01 0.11 0.04 0.32 0.01 ---- 0.00 0.43 0.02
 -------- 00:00 0.01 0.12 0.04 0.30 0.00 ---- 0.00 0.79 0.05
 -------- 01:00 0.01 0.13 ---- 0.24 0.00 ---- 0.00 0.23 0.04
 -------- 02:00 0.01 0.16 0.03 0.24 0.00 ---- 0.00 0.53 0.02
 -------- 03:00 0.01 0.16 ---- 0.20 0.01 ---- 0.00 0.39 0.04
 25.10.12 04:00 0.01 0.19 ---- 0.17 ---- ---- 0.00 0.68 0.03
 -------- 05:00 0.01 0.20 ---- 0.17 0.02 ---- 0.00 0.34 0.03
 -------- 06:00 0.01 0.16 ---- 0.19 0.00 ---- 0.00 0.42 0.02
 -------- 07:00 0.01 0.15 ---- 0.23 0.00 ---- 0.00 0.71 0.00
 -------- 08:00 0.01 0.15 ---- 0.22 0.01 ---- 0.00 0.09 0.05
 25.10.12 09:00 0.01 0.14 ---- 0.26 0.01 ---- 0.00 0.63 0.02
 -------- 10:00 0.01 0.15 ---- 0.25 0.01 ---- 0.00 0.42 0.02
 -------- 11:00 0.01 0.16 ---- 0.25 ---- ---- 0.00 0.42 0.04
 -------- 12:00 0.01 0.15 ---- 0.23 0.01 ---- 0.00 0.45 0.04
 -------- 13:00 0.01 0.18 ---- 0.22 0.01 0.10 0.00 0.34 0.03
 25.10.12 14:00 0.01 0.18 0.06 0.22 0.01 0.15 0.00 0.65 0.01
 -------- 15:00 0.01 0.23 0.06 0.22 0.01 0.10 0.00 0.34 0.03
 -------- 16:00 0.01 0.20 0.09 0.25 0.01 0.20 0.00 0.73 0.02
 -------- 17:00 0.01 0.26 0.03 0.19 0.01 0.20 0.00 0.12 0.06
 -------- 18:00 0.01 0.20 0.11 0.18 0.02 0.20 0.00 0.74 0.02
 25.10.12 19:00 0.00 0.22 0.07 0.18 0.01 0.20 0.00 0.67 0.01
 -------- 20:00 0.00 0.26 0.09 0.16 0.02 ---- 0.00 0.48 0.03
 -------- 21:00 0.01 0.26 0.12 0.19 0.02 0.20 0.00 0.89 0.02
 -------- 22:00 0.01 0.29 0.11 0.16 0.03 0.20 0.00 0.58 0.01
 -------- 23:00 0.01 0.30 0.12 0.15 0.02 0.20 0.00 0.74 0.00
 26.10.12 00:00 0.01 0.32 0.10 0.14 0.03 ---- 0.00 0.55 0.03
 -------- 01:00 0.01 0.31 0.10 0.12 0.03 0.10 0.00 0.62 0.04
 -------- 02:00 0.01 0.32 0.12 0.11 0.03 0.13 0.00 0.73 0.01
 -------- 03:00 0.01 0.33 0.10 0.09 0.04 0.10 0.00 0.47 0.02
 -------- 04:00 0.01 0.31 0.12 0.09 0.03 0.10 0.00 0.91 ----
 26.10.12 05:00 0.01 0.30 0.10 0.10 0.02 ---- 0.00 0.34 0.02
 -------- 06:00 0.01 0.25 0.09 0.12 0.02 ---- 0.00 0.72 ----
 -------- 07:00 0.01 0.22 0.09 0.15 0.02 ---- 0.00 0.59 0.03
 -------- 08:00 0.00 0.21 0.07 0.17 0.02 ---- 0.00 0.37 0.04
 -------- 09:00 0.00 0.17 0.06 0.19 0.01 ---- 0.00 0.54 0.03
 26.10.12 10:00 0.00 0.10 0.10 0.27 0.00 ---- 0.00 0.28 0.04
 -------- 11:00 0.00 0.11 0.09 0.26 0.01 0.20 0.00 0.59 0.01
 -------- 12:00 0.01 0.13 0.04 0.24 0.01 0.10 0.00 0.57 0.06
 -------- 13:00 0.00 0.16 0.07 0.23 0.01 ---- 0.00 0.35 0.04
 -------- 14:00 0.00 0.20 0.15 0.19 0.01 0.17 0.00 0.62 0.02
 26.10.12 15:00 0.00 0.22 0.10 0.18 0.01 0.10 0.00 0.51 0.00
 -------- 16:00 0.00 0.16 0.08 0.21 0.01 ---- 0.00 1.07 ----
 -------- 17:00 0.00 0.18 0.07 0.18 0.01 0.10 0.00 0.55 0.03
 -------- 18:00 0.00 0.18 0.10 0.22 0.01 0.10 0.00 0.89 ----
 -------- 19:00 0.00 0.17 0.06 0.27 0.00 ---- 0.00 0.52 0.02
 26.10.12 20:00 0.00 0.18 0.06 0.26 0.00 ---- 0.00 0.50 0.03
 -------- 21:00 0.01 0.19 0.03 0.24 ---- ---- 0.00 0.44 0.04
 -------- 22:00 0.01 0.21 0.03 0.20 0.00 0.10 0.00 0.24 0.03
