 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 22.10.12 23:00 0.01 0.20 0.23 0.24 0.01 ---- 0.01 0.67 0.00
 -------- 00:00 0.01 0.20 0.19 0.21 0.02 ---- 0.00 0.64 0.01
 -------- 01:00 0.01 0.20 0.18 0.22 0.01 ---- 0.01 0.26 0.03
 -------- 02:00 0.01 0.22 0.14 0.19 0.02 ---- 0.00 0.55 0.01
 -------- 03:00 0.01 0.23 0.14 0.21 0.02 ---- 0.00 0.16 0.04
 23.10.12 04:00 0.01 0.24 0.13 0.18 0.02 ---- 0.00 0.25 0.04
 -------- 05:00 0.01 0.20 0.12 0.24 0.01 ---- 0.00 0.23 0.05
 -------- 06:00 0.01 0.19 0.15 0.29 0.01 ---- 0.00 0.40 0.04
 -------- 07:00 0.01 0.16 0.16 0.34 0.02 ---- 0.01 0.20 0.04
 -------- 08:00 0.01 0.15 0.15 0.34 ---- ---- 0.01 0.19 0.04
 23.10.12 09:00 0.03 0.15 0.15 0.37 ---- ---- 0.00 0.43 0.03
 -------- 10:00 0.04 0.16 0.13 0.36 0.02 ---- 0.00 0.10 0.06
 -------- 11:00 0.03 0.15 0.11 0.35 0.01 ---- 0.00 0.43 0.03
 -------- 12:00 0.02 0.17 0.15 0.33 0.01 ---- 0.00 0.12 0.05
 -------- 13:00 0.02 0.17 0.13 0.34 0.01 ---- 0.01 0.13 0.05
 23.10.12 14:00 0.01 0.17 0.14 0.33 0.02 ---- 0.01 0.33 0.05
 -------- 15:00 0.01 0.16 0.14 0.34 0.01 ---- 0.01 ---- 0.07
