 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 27.02.13 00:00 0.01 0.26 0.56 0.21 0.04 0.11 0.00 2.10 ----
 -------- 01:00 0.01 0.28 0.56 0.20 0.04 0.13 0.00 1.98 ----
 -------- 02:00 0.01 0.29 0.53 0.18 0.05 0.17 0.00 2.12 ----
 -------- 03:00 0.01 0.29 0.54 0.16 0.05 0.08 0.00 1.97 ----
 -------- 04:00 0.01 0.30 0.52 0.13 0.05 0.08 0.00 1.72 ----
 27.02.13 05:00 0.01 0.32 0.49 0.14 0.05 0.25 0.00 1.88 ----
 -------- 06:00 0.01 0.28 0.47 0.20 0.05 0.09 0.00 1.68 ----
 -------- 07:00 0.01 0.24 0.46 0.27 0.04 0.06 0.00 2.09 ----
 -------- 08:00 0.01 0.23 0.46 0.26 0.03 0.05 0.00 1.78 ----
 -------- 09:00 0.01 0.23 0.48 0.30 0.03 0.06 0.00 2.08 ----
 27.02.13 10:00 0.01 0.22 0.51 0.29 0.03 0.06 0.00 1.59 ----
 -------- 11:00 0.01 0.22 0.51 0.30 0.02 0.07 0.00 1.96 ----
 -------- 12:00 0.01 0.21 0.52 0.29 0.02 0.07 0.00 2.15 ----
 -------- 13:00 0.01 0.21 0.51 0.28 0.03 0.06 0.00 1.43 ----
 -------- 14:00 0.00 0.19 0.50 0.30 0.02 0.07 0.00 2.23 ----
 27.02.13 15:00 0.00 0.22 0.55 0.24 0.03 0.06 0.00 1.82 ----
 -------- 16:00 0.00 0.19 0.54 0.29 0.02 0.07 0.00 2.04 ----
 -------- 17:00 0.01 0.17 0.50 0.35 0.01 0.07 0.00 2.12 ----
 -------- 18:00 0.01 0.18 0.51 0.38 0.01 0.07 0.00 1.88 ----
 -------- 19:00 0.01 0.18 0.49 0.33 0.01 0.07 0.00 2.03 ----
 27.02.13 20:00 0.01 0.17 0.46 0.37 0.01 0.08 0.00 1.87 ----
 -------- 21:00 0.01 0.20 0.41 0.32 0.02 0.07 0.00 2.21 ----
 -------- 22:00 0.01 0.17 0.40 0.35 0.01 0.07 0.00 1.79 ----
 -------- 23:00 0.01 0.11 0.45 0.50 ---- 0.17 0.00 2.17 ----
 -------- 00:00 0.01 0.10 0.48 0.48 ---- 0.16 0.00 2.01 ----
 28.02.13 01:00 0.01 0.10 0.47 0.38 0.00 0.08 0.00 2.12 ----
 -------- 02:00 0.01 0.14 0.48 0.29 0.01 0.08 0.00 2.14 ----
 -------- 03:00 0.01 0.22 0.47 0.19 0.03 0.06 0.00 2.01 ----
 -------- 04:00 0.01 0.23 0.48 0.15 0.03 0.19 0.00 2.03 ----
 -------- 05:00 0.00 0.24 0.50 0.14 0.03 0.06 0.00 1.32 ----
 28.02.13 06:00 0.00 0.23 0.55 0.14 0.03 0.06 0.00 1.85 ----
 -------- 07:00 0.00 0.18 0.56 0.21 0.03 0.07 0.00 1.71 ----
 -------- 08:00 0.00 0.17 0.55 0.24 0.02 0.06 0.00 2.15 ----
 -------- 09:00 0.00 0.17 0.59 0.23 0.02 0.07 0.00 1.22 ----
 -------- 10:00 0.00 0.18 0.59 0.19 0.03 0.06 0.00 2.31 ----
 28.02.13 11:00 0.00 0.21 0.59 0.19 0.03 0.06 0.00 1.78 ----
 -------- 12:00 0.00 0.20 0.61 0.21 0.02 0.07 0.00 2.00 ----
 -------- 13:00 0.00 0.20 0.64 0.20 0.03 0.06 0.00 1.22 ----
 -------- 14:00 0.00 0.21 0.65 0.19 0.02 0.06 0.00 2.19 ----
 -------- 15:00 0.00 0.20 0.71 0.17 0.04 0.06 0.00 1.39 ----
 28.02.13 16:00 0.00 0.22 0.76 0.16 0.03 0.05 0.00 1.60 ----
 -------- 17:00 0.00 0.21 0.72 0.19 0.03 0.06 0.00 0.73 ----
 -------- 18:00 0.00 0.19 0.70 0.23 0.03 0.07 0.00 1.19 ----
 -------- 19:00 0.00 0.18 0.67 0.28 0.01 0.07 0.00 1.72 ----
 -------- 20:00 0.00 0.15 0.70 0.30 0.01 0.08 0.00 1.59 ----
 28.02.13 21:00 0.00 0.16 0.68 0.28 0.02 0.07 0.00 1.72 ----
 -------- 22:00 0.00 0.13 0.61 0.33 0.01 0.08 0.00 1.91 ----
 -------- 23:00 0.00 0.12 0.63 0.35 0.01 0.10 0.00 2.42 ----
