 Date Time CO NO2 NO
 08.02.13 00:00 0.08 0.24 0.04
 -------- 01:00 0.07 0.18 0.01
 -------- 02:00 0.06 0.16 0.01
 -------- 03:00 0.06 0.13 0.01
 -------- 04:00 0.06 0.10 0.01
 08.02.13 05:00 0.06 0.12 0.01
 -------- 06:00 0.06 0.15 0.01
 -------- 07:00 0.06 0.20 0.01
 -------- 08:00 0.07 0.27 0.03
 -------- 09:00 0.08 0.29 0.04
 08.02.13 10:00 0.08 0.26 0.06
 -------- 11:00 0.09 0.25 0.06
 -------- 12:00 0.08 0.26 0.08
 -------- 13:00 0.08 0.24 0.07
 -------- 14:00 0.09 0.23 0.06
 08.02.13 15:00 0.08 0.25 0.08
 -------- 16:00 0.08 0.25 0.07
 -------- 17:00 0.09 0.28 0.08
 -------- 18:00 0.08 0.28 0.06
 -------- 19:00 0.08 0.30 0.06
 08.02.13 20:00 0.11 0.32 0.05
 -------- 21:00 0.09 0.31 0.03
 -------- 22:00 0.06 0.29 0.03
 -------- 23:00 0.06 0.28 0.02
 -------- 00:00 0.06 0.28 0.03
 09.02.13 01:00 0.06 0.21 0.01
 -------- 02:00 0.06 0.23 0.01
 -------- 03:00 0.04 0.20 0.01
 -------- 04:00 0.04 0.17 0.01
 -------- 05:00 0.04 0.12 0.00
 09.02.13 06:00 0.04 0.11 0.00
 -------- 07:00 0.05 0.12 0.00
 -------- 08:00 0.07 0.22 0.02
 -------- 09:00 0.07 0.28 0.05
 -------- 10:00 0.06 0.23 0.03
 09.02.13 11:00 0.06 0.20 0.03
 -------- 12:00 0.06 0.15 0.02
 -------- 13:00 0.07 0.20 0.04
 -------- 14:00 0.08 0.24 0.05
 -------- 15:00 0.09 0.24 0.04
 09.02.13 16:00 0.08 0.26 0.04
 -------- 17:00 0.08 0.29 0.04
 -------- 18:00 0.07 0.28 0.03
 -------- 19:00 0.08 0.31 0.02
 -------- 20:00 0.06 0.25 0.01
 09.02.13 21:00 0.06 0.23 0.01
 -------- 22:00 0.05 0.19 0.01
 -------- 23:00 0.07 0.18 0.01
 -------- 00:00 0.06 0.13 0.01
