 Date Time CO NO2 NO
 21.12.12 23:00 0.12 0.30 0.12
 -------- 00:00 0.11 0.31 0.12
 -------- 01:00 0.10 0.29 0.08
 -------- 02:00 0.11 0.28 0.06
 -------- 03:00 0.10 0.28 0.06
 22.12.12 04:00 0.10 0.29 0.05
 -------- 05:00 0.10 0.29 0.04
 -------- 06:00 0.09 0.30 0.04
 -------- 07:00 0.11 0.34 0.07
 -------- 08:00 0.10 0.34 0.09
 22.12.12 09:00 0.10 0.34 0.10
 -------- 10:00 0.11 0.30 0.06
 -------- 11:00 0.10 0.28 0.06
 -------- 12:00 0.09 0.28 0.07
 -------- 13:00 0.10 0.30 0.09
 22.12.12 14:00 0.12 0.33 0.10
 -------- 15:00 0.15 0.38 0.13
 -------- 16:00 0.13 0.38 0.10
 -------- 17:00 0.13 0.39 0.07
 -------- 18:00 0.12 0.37 0.06
 22.12.12 19:00 0.10 0.36 0.04
 -------- 20:00 0.09 0.30 0.02
 -------- 21:00 0.09 0.26 0.02
 -------- 22:00 0.08 0.23 0.02
 -------- 23:00 0.08 0.24 0.01
 23.12.12 00:00 0.08 0.27 0.02
 -------- 01:00 0.09 0.28 0.02
 -------- 02:00 0.12 0.33 0.05
 -------- 03:00 0.12 0.33 0.08
 -------- 04:00 0.12 0.33 0.07
 23.12.12 05:00 0.11 0.31 0.05
 -------- 06:00 0.07 0.27 0.01
 -------- 07:00 0.07 0.25 0.01
 -------- 08:00 0.07 0.25 0.01
 -------- 09:00 0.07 0.29 0.05
 23.12.12 10:00 0.08 0.32 0.09
 -------- 11:00 0.10 0.26 0.05
 -------- 12:00 0.12 0.29 0.08
 -------- 13:00 0.17 0.34 0.13
 -------- 14:00 0.18 0.36 0.14
 23.12.12 15:00 0.19 0.38 0.15
 -------- 16:00 0.21 0.40 0.15
 -------- 17:00 0.20 0.41 0.19
 -------- 18:00 0.17 0.40 0.15
 -------- 19:00 0.13 0.39 0.12
 23.12.12 20:00 0.13 0.39 0.10
 -------- 21:00 0.14 0.38 0.11
 -------- 22:00 0.19 0.40 0.18
 -------- 23:00 0.22 0.40 0.26
