 Date Time CO NO2 NO
 20.12.12 00:00 0.08 0.34 0.10
 -------- 01:00 0.08 0.32 0.07
 -------- 02:00 0.08 0.31 0.07
 -------- 03:00 0.08 0.31 0.09
 -------- 04:00 0.08 0.32 0.11
 20.12.12 05:00 0.09 0.32 0.13
 -------- 06:00 0.10 0.35 0.18
 -------- 07:00 0.10 0.32 0.15
 -------- 08:00 0.13 0.38 0.23
 -------- 09:00 0.15 0.40 0.26
 20.12.12 10:00 0.17 0.41 0.32
 -------- 11:00 0.18 0.40 0.39
 -------- 12:00 0.19 0.38 0.29
 -------- 13:00 0.21 0.38 0.29
 -------- 14:00 0.25 0.46 0.41
 20.12.12 15:00 0.26 0.49 0.49
 -------- 16:00 0.24 0.42 0.35
 -------- 17:00 0.22 0.38 0.29
 -------- 18:00 0.18 0.36 0.22
 -------- 19:00 0.19 0.37 0.24
 20.12.12 20:00 0.20 0.37 0.24
 -------- 21:00 0.18 0.35 0.21
 -------- 22:00 0.18 0.34 0.22
 -------- 23:00 0.19 0.34 0.23
 -------- 00:00 0.19 0.35 0.27
 21.12.12 01:00 0.18 0.34 0.27
 -------- 02:00 0.17 0.33 0.23
 -------- 03:00 0.15 0.30 0.17
 -------- 04:00 0.12 0.28 0.13
 -------- 05:00 0.11 0.27 0.12
 21.12.12 06:00 0.15 0.29 0.16
 -------- 07:00 0.15 0.30 0.18
 -------- 08:00 0.19 0.34 0.27
 -------- 09:00 0.23 0.38 0.34
 -------- 10:00 0.25 0.37 0.36
 21.12.12 11:00 0.24 0.35 0.34
 -------- 12:00 0.24 0.35 0.35
 -------- 13:00 0.24 0.36 0.36
 -------- 14:00 0.24 0.35 0.34
 -------- 15:00 0.25 0.37 0.35
 21.12.12 16:00 0.27 0.39 0.36
 -------- 17:00 0.26 0.39 0.33
 -------- 18:00 0.16 0.32 0.18
 -------- 19:00 0.12 0.30 0.14
 -------- 20:00 0.11 0.28 0.11
 21.12.12 21:00 0.12 0.29 0.14
