 Date Time CO NO2 NO
 26.03.13 00:00 0.06 0.16 0.01
 -------- 01:00 0.06 0.16 0.01
 -------- 02:00 0.05 0.15 0.01
 -------- 03:00 0.04 0.14 0.01
 -------- 04:00 0.05 0.15 0.01
 26.03.13 05:00 0.05 0.16 0.01
 -------- 06:00 0.06 0.19 0.01
 -------- 07:00 0.07 0.24 0.02
 -------- 08:00 0.09 0.27 0.03
 -------- 09:00 0.08 0.18 0.03
 26.03.13 10:00 0.07 0.14 0.03
 -------- 11:00 0.06 0.12 0.03
 -------- 12:00 0.06 0.10 0.02
 -------- 13:00 0.06 0.10 0.03
 -------- 14:00 0.06 0.09 0.02
 26.03.13 15:00 0.06 0.10 0.02
 -------- 16:00 0.06 0.11 0.02
 -------- 17:00 0.06 0.11 0.02
 -------- 18:00 0.05 0.12 0.02
 -------- 19:00 0.06 0.21 0.02
 26.03.13 20:00 0.08 0.35 0.02
 -------- 21:00 0.10 0.42 0.05
 -------- 22:00 0.11 0.45 0.07
 -------- 23:00 0.09 0.43 0.06
 -------- 00:00 0.09 0.47 0.11
 27.03.13 01:00 0.08 0.37 0.04
 -------- 02:00 0.11 0.54 0.38
 -------- 03:00 0.14 0.57 0.51
 -------- 04:00 0.11 0.52 0.32
 -------- 05:00 0.11 0.45 0.20
 27.03.13 06:00 0.11 0.44 0.24
 -------- 07:00 0.16 0.45 0.33
 -------- 08:00 0.21 0.48 0.38
 -------- 09:00 0.20 0.46 0.28
 -------- 10:00 0.15 0.38 0.17
 27.03.13 11:00 0.09 0.18 0.05
 -------- 12:00 0.07 0.15 0.04
 -------- 13:00 0.06 0.13 0.03
 -------- 14:00 0.06 0.10 0.02
 -------- 15:00 0.05 0.10 0.02
 27.03.13 16:00 0.05 0.11 0.02
 -------- 17:00 0.06 0.12 0.02
 -------- 18:00 0.06 0.16 0.02
 -------- 19:00 0.06 0.18 0.01
 -------- 20:00 0.08 0.30 0.02
 27.03.13 21:00 0.10 0.47 0.03
 -------- 22:00 0.11 0.51 0.07
 -------- 23:00 0.09 0.50 0.06
 -------- 00:00 0.10 0.41 0.02
