 Date Time CO NO2 NO
 12.04.13 12:00 0.16 0.59 0.22
 -------- 13:00 0.09 0.44 0.15
 -------- 14:00 0.06 0.37 0.10
 -------- 15:00 0.04 0.31 0.12
 -------- 16:00 0.03 0.17 0.02
 12.04.13 17:00 0.03 0.21 0.02
 -------- 18:00 0.02 0.21 0.02
 -------- 19:00 0.02 0.23 0.02
 -------- 20:00 0.04 0.20 0.01
 -------- 21:00 0.08 0.37 0.02
 12.04.13 22:00 0.09 0.37 0.01
 -------- 23:00 0.10 0.53 0.04
 -------- 00:00 0.13 0.58 0.14
 -------- 01:00 0.15 0.49 0.09
 -------- 02:00 0.16 0.54 0.13
 13.04.13 03:00 0.17 0.52 0.20
 -------- 04:00 0.25 0.55 0.40
 -------- 05:00 0.29 0.57 0.55
 -------- 06:00 0.29 0.52 0.59
 -------- 07:00 0.27 0.51 0.56
 13.04.13 08:00 0.20 0.57 0.31
 -------- 09:00 0.13 0.45 0.11
 -------- 10:00 0.10 0.39 0.09
 -------- 11:00 0.06 0.16 0.02
 -------- 12:00 0.04 0.20 0.03
 13.04.13 13:00 0.04 0.22 0.03
 -------- 14:00 0.03 0.19 0.02
 -------- 15:00 0.02 0.23 0.03
 -------- 16:00 0.04 0.17 0.02
 -------- 17:00 0.06 0.15 0.01
 13.04.13 18:00 0.06 0.20 0.02
 -------- 19:00 0.07 0.20 0.01
 -------- 20:00 0.08 0.28 0.01
 -------- 21:00 0.08 0.34 0.01
 -------- 22:00 0.08 0.39 0.02
 13.04.13 23:00 0.10 0.40 0.02
 -------- 00:00 0.10 0.32 0.01
 -------- 01:00 0.10 0.32 0.01
 -------- 02:00 0.09 0.35 0.02
 -------- 03:00 0.06 0.25 0.01
 14.04.13 04:00 0.06 0.19 0.01
 -------- 05:00 0.06 0.22 0.01
 -------- 06:00 0.06 0.21 0.01
 -------- 07:00 0.06 0.27 0.02
 -------- 08:00 0.06 0.30 0.02
 14.04.13 09:00 0.07 0.32 0.03
 -------- 10:00 0.08 0.39 0.08
 -------- 11:00 0.08 0.39 0.08
