 Date Time CO NO2 NO
 27.12.12 00:00 0.08 0.16 0.01
 -------- 01:00 0.08 0.15 0.01
 -------- 02:00 0.07 0.13 0.01
 -------- 03:00 0.06 0.13 0.01
 -------- 04:00 0.06 0.14 0.01
 27.12.12 05:00 0.08 0.17 0.01
 -------- 06:00 0.08 0.18 0.01
 -------- 07:00 0.08 0.19 0.01
 -------- 08:00 0.08 0.17 0.01
 -------- 09:00 0.08 0.17 0.01
 27.12.12 10:00 0.09 0.22 0.03
 -------- 11:00 0.10 0.23 0.03
 -------- 12:00 0.09 0.20 0.03
 -------- 13:00 0.09 0.21 0.03
 -------- 14:00 0.11 0.27 0.11
 27.12.12 15:00 0.15 0.28 0.15
 -------- 16:00 0.16 0.31 0.21
 -------- 17:00 0.16 0.27 0.14
 -------- 18:00 0.17 0.26 0.18
 -------- 19:00 0.18 0.27 0.22
 27.12.12 20:00 0.21 0.27 0.26
 -------- 21:00 0.15 0.24 0.10
 -------- 22:00 0.11 0.19 0.03
 -------- 23:00 0.08 0.18 0.02
 -------- 00:00 0.09 0.22 0.04
 28.12.12 01:00 0.08 0.20 0.03
 -------- 02:00 0.07 0.13 0.02
 -------- 03:00 0.06 0.09 0.01
 -------- 04:00 0.06 0.09 0.01
 -------- 05:00 0.06 0.11 0.01
 28.12.12 06:00 0.06 0.12 0.01
 -------- 07:00 0.07 0.15 0.01
 -------- 08:00 0.08 0.21 0.02
 -------- 09:00 0.08 0.20 0.01
 -------- 10:00 0.08 0.21 0.01
 28.12.12 11:00 0.08 0.19 0.02
 -------- 12:00 0.08 0.18 0.03
 -------- 13:00 0.08 0.22 0.05
 -------- 14:00 0.08 0.19 0.03
 -------- 15:00 0.08 0.19 0.02
 28.12.12 16:00 0.08 0.18 0.02
 -------- 17:00 0.08 0.22 0.02
 -------- 18:00 0.08 0.20 0.01
 -------- 19:00 0.08 0.18 0.01
 -------- 20:00 0.08 0.18 0.01
 28.12.12 21:00 0.07 0.14 0.01
 -------- 22:00 0.05 0.09 0.01
 -------- 23:00 0.04 0.10 0.01
 -------- 00:00 0.04 0.10 0.01
