 Date Time CO NO2 NO
 18.09.12 12:00 0.15 0.28 0.16
 -------- 13:00 0.11 0.23 0.06
 -------- 14:00 0.08 0.17 0.02
 -------- 15:00 0.07 0.14 0.02
 -------- 16:00 0.07 0.12 0.01
 18.09.12 17:00 0.07 0.11 0.01
 -------- 18:00 0.07 0.12 0.01
 -------- 19:00 0.11 0.14 0.01
 -------- 20:00 0.13 0.24 0.13
 -------- 21:00 0.15 0.23 0.14
 18.09.12 22:00 0.16 0.23 0.16
 -------- 23:00 0.15 0.25 0.21
 -------- 00:00 0.13 0.23 0.12
 -------- 01:00 0.13 0.20 0.17
 -------- 02:00 0.21 0.18 0.33
 19.09.12 03:00 0.16 0.21 0.22
 -------- 04:00 0.15 0.20 0.17
 -------- 05:00 0.12 0.20 0.16
 -------- 06:00 0.15 0.28 0.31
 -------- 07:00 0.15 0.20 0.27
 19.09.12 08:00 0.17 0.27 0.39
 -------- 09:00 0.16 0.29 0.27
 -------- 10:00 0.17 0.30 0.17
 -------- 11:00 0.10 0.22 0.05
 -------- 12:00 0.08 0.15 0.03
 19.09.12 13:00 0.06 0.10 0.01
 -------- 14:00 0.05 0.10 0.01
 -------- 15:00 0.07 0.08 0.01
 -------- 16:00 0.05 0.11 0.01
 -------- 17:00 0.05 0.12 0.01
 19.09.12 18:00 0.07 0.12 0.01
 -------- 19:00 0.07 0.18 0.01
 -------- 20:00 0.11 0.33 0.03
 -------- 21:00 0.14 0.37 0.05
 -------- 22:00 0.15 0.38 0.07
 19.09.12 23:00 0.13 0.35 0.05
 -------- 00:00 0.10 0.26 0.02
 -------- 01:00 0.07 0.23 0.02
 -------- 02:00 0.06 0.18 0.01
 -------- 03:00 0.05 0.22 0.03
 20.09.12 04:00 0.06 0.24 0.04
 -------- 05:00 0.05 0.16 0.01
 -------- 06:00 0.06 0.22 0.02
 -------- 07:00 0.07 0.27 0.06
 -------- 08:00 0.09 0.31 0.08
 20.09.12 09:00 0.12 0.30 0.10
 -------- 10:00 0.13 0.31 0.12
