 Date Time CO NO2 NO
 12.02.13 12:00 0.06 0.15 0.03
 -------- 13:00 0.06 0.13 0.02
 -------- 14:00 0.06 0.18 0.03
 -------- 15:00 0.06 0.18 0.02
 -------- 16:00 0.06 0.17 0.02
 12.02.13 17:00 0.06 0.17 0.02
 -------- 18:00 0.07 0.19 0.03
 -------- 19:00 0.07 0.18 0.01
 -------- 20:00 0.07 0.15 0.01
 -------- 21:00 0.08 0.22 0.03
 12.02.13 22:00 0.07 0.20 0.02
 -------- 23:00 0.06 0.20 0.02
 -------- 00:00 0.07 0.24 0.05
 -------- 01:00 0.07 0.22 0.02
 -------- 02:00 0.06 0.23 0.01
 13.02.13 03:00 0.06 0.19 0.01
 -------- 04:00 0.06 0.20 0.01
 -------- 05:00 0.07 0.23 0.02
 -------- 06:00 0.08 0.28 0.04
 -------- 07:00 0.10 0.29 0.06
 13.02.13 08:00 0.11 0.31 0.11
 -------- 09:00 0.14 0.32 0.17
 -------- 10:00 0.14 0.34 0.15
 -------- 11:00 0.11 0.36 0.11
 -------- 12:00 0.12 0.36 0.13
 13.02.13 13:00 0.12 0.35 0.15
 -------- 14:00 0.11 0.34 0.12
 -------- 15:00 0.09 0.32 0.09
 -------- 16:00 0.08 0.36 0.11
 -------- 17:00 0.08 0.37 0.10
 13.02.13 18:00 0.08 0.40 0.07
 -------- 19:00 0.08 0.37 0.05
 -------- 20:00 0.07 0.29 0.02
 -------- 21:00 0.08 0.26 0.02
 -------- 22:00 0.08 0.27 0.01
 13.02.13 23:00 0.09 0.38 0.04
 -------- 00:00 0.09 0.35 0.03
 -------- 01:00 0.08 0.34 0.02
 -------- 02:00 0.11 0.40 0.13
 -------- 03:00 0.10 0.39 0.09
 14.02.13 04:00 0.10 0.38 0.08
 -------- 05:00 0.10 0.37 0.08
 -------- 06:00 0.10 0.36 0.08
 -------- 07:00 0.10 0.35 0.08
